STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ReputationLimit	AcceptReputationLimit	TiaozhanTime
37503			s1440101	5					47027	1		47027						61	SubmitNpcEx_37503		title_37503	context_37503		complete_37503;submit_37503		target_37503		next_37503			CompleteMenu_37503					1	0	1							
37526			s1440101	5						1											title_37526	context_37526	accept_37526_1;menu_37526_1	complete_37526;submit_37526		target_37526			CanAcceptMenu_37526		CompleteMenu_37526					1	0	1							
37521			s1440201	5	npc_dibao_mingjun	npc_dibao_mingjun	15	15					26155	26155				10080	SubmitNpcEx_37521		title_37521	context_37521				target_37521		next_37521								1	0	3	1	1					
37522			s1440201	5	npc_dibao_ma	npc_dibao_ma	15	15					26156	26156				10080	SubmitNpcEx_37522		title_37522	context_37522				target_37522		next_37522								1	0	3	1	1					
37542			s1440301	5		npc_jjwx_laopu		14											SubmitNpcEx_37542		title_37542	context_37542		complete_37542;submit_37542		target_37542					CompleteMenu_37542					1	0	2	1	10000					
37543			s1440301	5		npc_jjwx_laopu		14											SubmitNpcEx_37543		title_37543	context_37543		complete_37543;submit_37543		target_37543					CompleteMenu_37543					1	0	2	1	10000					
37544			s1440301	5		npc_jjwx_laopu		14											SubmitNpcEx_37544		title_37544	context_37544		complete_37544;submit_37544		target_37544					CompleteMenu_37544					1	0	2	1	10000					
37545			s1440301	5		npc_jjwx_laopu		14											SubmitNpcEx_37545		title_37545	context_37545		complete_37545;submit_37545		target_37545					CompleteMenu_37545					1	0	2	1	10000					
37546			s1440301	5		npc_jjwx_laopu		14											SubmitNpcEx_37546		title_37546	context_37546		complete_37546;submit_37546		target_37546					CompleteMenu_37546					1	0	2	1	10000					
37547			s1440301	5		npc_jjwx_laopu		14											SubmitNpcEx_37547		title_37547	context_37547		complete_37547;submit_37547		target_37547					CompleteMenu_37547					1	0	2	1	10000					
37548			s1440301	5		npc_jjwx_laopu		14											SubmitNpcEx_37548		title_37548	context_37548		complete_37548;submit_37548		target_37548					CompleteMenu_37548					1	0	2	1	10000					
37549			s1440301	5		npc_jjwx_laopu		14											SubmitNpcEx_37549		title_37549	context_37549		complete_37549;submit_37549		target_37549					CompleteMenu_37549					1	0	2	1	10000					
37550			s1440301	5		npc_jjwx_laopu		14											SubmitNpcEx_37550		title_37550	context_37550		complete_37550;submit_37550		target_37550					CompleteMenu_37550					1	0	2	1	10000					
37551			s1440301	5		npc_jjwx_laopu		14											SubmitNpcEx_37551		title_37551	context_37551		complete_37551;submit_37551		target_37551					CompleteMenu_37551					1	0	2	1	10000					
37552			s1440301	5		npc_jjwx_laopu		14											SubmitNpcEx_37552		title_37552	context_37552		complete_37552;submit_37552		target_37552					CompleteMenu_37552					1	0	2	1	10000					
37553			s1440301	5		npc_jjwx_laopu		14											SubmitNpcEx_37553		title_37553	context_37553		complete_37553;submit_37553		target_37553					CompleteMenu_37553					1	0	2	1	10000					
37554			s1440301	5		npc_jjwx_laopu		14											SubmitNpcEx_37554		title_37554	context_37554		complete_37554;submit_37554		target_37554					CompleteMenu_37554					1	0	2	1	10000					
37555			s1440301	5		npc_jjwx_laopu		14											SubmitNpcEx_37555		title_37555	context_37555		complete_37555;submit_37555		target_37555			CanAcceptMenu_37555		CompleteMenu_37555					1	0	2	1	10000					
37556			s1440301	5		npc_jjwx_laopu		14								6504			SubmitNpcEx_37556		title_37556	context_37556	accept_37556_1;menu_37556_1	complete_37556;submit_37556		target_37556			CanAcceptMenu_37556		CompleteMenu_37556					1	0	2	1	10000					
37557			s1440301	5		npc_jjwx_laopu		14											SubmitNpcEx_37557		title_37557	context_37557		complete_37557;submit_37557		target_37557					CompleteMenu_37557					1	0	2	1	10000					
37523			s1440201	5	biaoqian_npc_01	biaoqian_npc_01	17	17													title_37523	context_37523	accept_37523_1;menu_37523_1	complete_37523;submit_37523		target_37523		next_37523	CanAcceptMenu_37523		CompleteMenu_37523					1	0	0							
37530			s1440201	5	biaoqian_npc_01	biaoqian_npc_01	17	17					111208								title_37530	context_37530	accept_37530_1;menu_37530_1	complete_37530;submit_37530		target_37530		next_37530	CanAcceptMenu_37530		CompleteMenu_37530					1	0	0	0	0					
