STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel
2001		回壹    寻人(副本)	【1/3】	s950101	6			27	14	14				2002				9327							SubmitNpcEx_2001		title_2001	context_2001	accept_2001_1;menu_2001_1	complete_2001;submit_2001	uncom_2001	target_2001	task_TrackInfo_2001	next_2001		UncompleteMenu_2001	CompleteMenu_2001					1	0	0				
2002		回貳    寻人(副本)	【2/3】	s950101	6			27	14	14		1	2001	2003													title_2002	context_2002	accept_2002_1;menu_2002_1		uncom_2002	target_2002	task_TrackInfo_2002	next_2002		UncompleteMenu_2002						1	0	0				
2003		回叁    寻人(副本)	【3/3】	s950101	6			27	14	14			2002														title_2003	context_2003	accept_2003_1;menu_2003_1	complete_2003;submit_2003	uncom_2003	target_2003	task_TrackInfo_2003	next_2003		UncompleteMenu_2003	CompleteMenu_2003					1	0	0				
2011		回壹    替父报仇(副本)	【1/6】	s950101	6			27	14	14				2012				9327							SubmitNpcEx_2011		title_2011	context_2011	accept_2011_1;menu_2011_1	complete_2011;submit_2011	uncom_2011	target_2011	task_TrackInfo_2011	next_2011		UncompleteMenu_2011						1	0	0				
2012		回贰    替父报仇(副本)	【2/6】	s950101	6			27	14	14			2011	2013											SubmitNpcEx_2012		title_2012	context_2012	accept_2012_1;menu_2012_1	complete_2012;submit_2012	uncom_2012	target_2012	task_TrackInfo_2012	next_2012		UncompleteMenu_2012	CompleteMenu_2012					1	0	0				
2013		回叁    替父报仇(副本)	【3/6】	s950101	6			27	14	14			2012	2014											SubmitNpcEx_2013		title_2013	context_2013	accept_2013_1;menu_2013_1	complete_2013;submit_2013	uncom_2013	target_2013	task_TrackInfo_2013	next_2013		UncompleteMenu_2013						1	0	0				
2014		回肆    替父报仇(副本)	【4/6】	s950101	6			27	14	14			2013	2015								40001			SubmitNpcEx_2014		title_2014	context_2014	accept_2014_1;menu_2014_1	complete_2014;submit_2014	uncom_2014	target_2014	task_TrackInfo_2014	next_2014		UncompleteMenu_2014						1	0	0				
2015		回伍    替父报仇(副本)	【5/6】	s950101	6			27	14	14			2014	2016											SubmitNpcEx_2015		title_2015	context_2015	accept_2015_1;menu_2015_1	complete_2015;submit_2015	uncom_2015	target_2015	task_TrackInfo_2015	next_2015		UncompleteMenu_2015	CompleteMenu_2015					1	0	0				
2016		回陆    替父报仇(副本)	【6/6】	s950101	6			27	14	14			2015														title_2016	context_2016	accept_2016_1;menu_2016_1	complete_2016;submit_2016	uncom_2016	target_2016	task_TrackInfo_2016	next_2016		UncompleteMenu_2016	CompleteMenu_2016					1	0	0				
2017		回壹    百晓生的书(副本)	【1/2】	s950101	6			27	14	14				2018				9327									title_2017	context_2017	accept_2017_1;menu_2017_1	complete_2017;submit_2017	uncom_2017	target_2017	task_TrackInfo_2017	next_2017		UncompleteMenu_2017						1	0	0				
