STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ReputationLimit	AcceptReputationLimit	TiaozhanTime
44001	初入丐帮		s100101	4	WorldNpc03003	WorldNpc03013	6	6			1558	44002	11577;1271			4007			SubmitNpcEx_44001		title_44001	context_44001	accept_44001_1;menu_44001_1	complete_44001;submit_44001|complete_44001_1;submit_44001_1	uncom_44001	target_44001	task_TrackInfo_44001	next_44001	CanAcceptMenu_44001	UncompleteMenu_44001	CompleteMenu_44001	29		gb01_1		0	1		0	0					
44002	初入丐帮		s100101	4	WorldNpc03013	WorldNpc03012	6	6			44001	44003	1271						SubmitNpcEx_44002		title_44002	context_44002	context_44002;menu_44002	complete_44002;submit_44002	uncom_44002	target_44002	task_TrackInfo_44002	next_44002	CanAcceptMenu_44002	UncompleteMenu_44002	CompleteMenu_44002					0	1		0	0					
44003	初入丐帮		s100101	4	WorldNpc03012	WorldNpc03012	6	6			44002	44004	1271						SubmitNpcEx_44003		title_44003	context_44003	context_44003;menu_44003	complete_44003;submit_44003	uncom_44003	target_44003	task_TrackInfo_44003	next_44003	CanAcceptMenu_44003	UncompleteMenu_44003	CompleteMenu_44003					0	1		0	0					900
44004	初入丐帮		s100101	4	WorldNpc03012	WorldNpc03012	6	6			44003	44005	1271						SubmitNpcEx_44004		title_44004	context_44004	context_44004;menu_44004	complete_44004;submit_44004|complete_44004_1;submit_44004_1	uncom_44004	target_44004	task_TrackInfo_44004	next_44004	CanAcceptMenu_44004	UncompleteMenu_44004	CompleteMenu_44004	148				0	1		0	0					
44005	初入丐帮		s100101	4	WorldNpc03012	WorldNpc03155	6	6	44006		44004	44006	1271			4001;4005			SubmitNpcEx_44005		title_44005	context_44005	accept_44005_1;menu_44005_1	complete_44005;submit_44005	uncom_44005	target_44005	task_TrackInfo_44005	next_44005	CanAcceptMenu_44005	UncompleteMenu_44005	CompleteMenu_44005					0	1		0	0					
44006	初入丐帮		s100101	4	WorldNpc03155	WorldNpc03020	6	6	44008	1	44005	44008	1271								title_44006	context_44006	accept_44006_1;menu_44006_1	complete_44006;submit_44006	uncom_44006	target_44006	task_TrackInfo_44006	next_44006	CanAcceptMenu_44006	UncompleteMenu_44006	CompleteMenu_44006					0	1		0	0					
44008	初入丐帮		s100101	4	WorldNpc03020	WorldNpc03020	6	6			44006	44009	1271						SubmitNpcEx_44008		title_44008	context_44008	accept_44008_1;menu_44008_1	complete_44008;submit_44008|complete_44008_1;submit_44008_1	uncom_44008	target_44008	task_TrackInfo_44008	next_44008	CanAcceptMenu_44008	UncompleteMenu_44008	CompleteMenu_44008					0	1		0	0					
44009	初入丐帮		s100101	4	WorldNpc03020	WorldNpc03020	6	6			44008	44011	1271						SubmitNpcEx_44009		title_44009	context_44009	context_44009;menu_44009	complete_44009;submit_44009	uncom_44009	target_44009	task_TrackInfo_44009	next_44009	CanAcceptMenu_44009	UncompleteMenu_44009	CompleteMenu_44009					0	1		0	0					
44010	初入丐帮		s100101	4	WorldNpc03020	WorldNpc03020	6	6			44011	44013	1271						SubmitNpcEx_44010		title_44010	context_44010	accept_44010_1;menu_44010_1	complete_44010;submit_44010	uncom_44010	target_44010	task_TrackInfo_44010	next_44010	CanAcceptMenu_44010	UncompleteMenu_44010	CompleteMenu_44010					0	1		0	0					
44011	初入丐帮		s100101	4	WorldNpc03020	WorldNpc03020	6	6			44009	44010	1271			4110;4111;4112			SubmitNpcEx_44011		title_44011	context_44011	accept_44011_1;menu_44011_1	complete_44011;submit_44011|complete_44011_1;submit_44011_1	uncom_44011	target_44011	task_TrackInfo_44011	next_44011	CanAcceptMenu_44011	UncompleteMenu_44011	CompleteMenu_44011					0	1		0	0					
