STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ReputationLimit	AcceptReputationLimit	TiaozhanTime
46001	心灰意冷		s110101	4	WorldNpc03305	WorldNpc03306	7	7			1561	46003	11579;1272			9000			SubmitNpcEx_46001		title_46001	context_46001	accept_46001_1;menu_46001_1	complete_46001;submit_46001	uncom_46001	target_46001	task_TrackInfo_46001	next_46001	CanAcceptMenu_46001	UncompleteMenu_46001	CompleteMenu_46001	92		jzt01_1		0	1	0	0	0					
46002	心灰意冷		s110101	4		WorldNpc03312	7	7			46001	46003	1272						SubmitNpcEx_46002		title_46002	context_46002	accept_46002_1;menu_46002_1	complete_46002	uncom_46002	target_46002	task_TrackInfo_46002	next_46002	CanAcceptMenu_46002	UncompleteMenu_46002	CompleteMenu_46002					0	1	0	0	0					
46003	心灰意冷		s110101	4	WorldNpc03306	WorldNpc03335	7	7			46001	46005	1272						SubmitNpcEx_46003		title_46003	context_46003	accept_46003_1;menu_46003_1	complete_46003	uncom_46003	target_46003	task_TrackInfo_46003	next_46003	CanAcceptMenu_46003	UncompleteMenu_46003	CompleteMenu_46003					0	1	0	0	0					
46005	心灰意冷		s110101	4	WorldNpc03335	WorldNpc03335	7	7			46003	46006;46007	1272						SubmitNpcEx_46005		title_46005	context_46005	accept_46005_1;menu_46005_1	complete_46005	uncom_46005	target_46005	task_TrackInfo_46005	next_46005	CanAcceptMenu_46005	UncompleteMenu_46005	CompleteMenu_46005					0	1	0	0	0					
46006	心灰意冷		s110101	4		WorldNpc03313	7	7			46005	46008	1272						SubmitNpcEx_46006		title_46006	context_46006	accept_46006_1;menu_46006_1	complete_46006	uncom_46006	target_46006	task_TrackInfo_46006	next_46006	CanAcceptMenu_46006	UncompleteMenu_46006	CompleteMenu_46006					0	1	0	0	0					
46007	心灰意冷		s110101	4		WorldNpc03313	7	7			46005	46008	1272						SubmitNpcEx_46007		title_46007	context_46007	accept_46007_1;menu_46007_1	complete_46007	uncom_46007	target_46007	task_TrackInfo_46007	next_46007	CanAcceptMenu_46007	UncompleteMenu_46007	CompleteMenu_46007					0	1	0	0	0					
46008	心灰意冷		s110101	4	WorldNpc03313	JZTNPC139	7	7			46006;46007	46009	1272						SubmitNpcEx_46008		title_46008	context_46008	accept_46008_1;menu_46008_1	complete_46008	uncom_46008	target_46008	task_TrackInfo_46008	next_46008	CanAcceptMenu_46008	UncompleteMenu_46008	CompleteMenu_46008					0	1	0	0	0					
46009	心灰意冷		s110101	4	JZTNPC139	JZTNPC139	7	7			46008	46010	1272						SubmitNpcEx_46009		title_46009	context_46009	accept_46009_1;menu_46009_1	complete_46009	uncom_46009	target_46009	task_TrackInfo_46009	next_46009	CanAcceptMenu_46009	UncompleteMenu_46009	CompleteMenu_46009					0	1	0	0	0					
46010	心灰意冷		s110101	4	JZTNPC139	WorldNpc03372	7	7			46009	46013	1272						SubmitNpcEx_46010		title_46010	context_46010	accept_46010_1;menu_46010_1	complete_46010;submit_46010	uncom_46010	target_46010	task_TrackInfo_46010	next_46010	CanAcceptMenu_46010	UncompleteMenu_46010	CompleteMenu_46010					0	1	0	0	0					
46013	极乐毒谋		s110102	4	WorldNpc03372	WorldNpc03372	7	7			46010	46014	1272						SubmitNpcEx_46013		title_46013	context_46013	accept_46013_1;menu_46013_1	complete_46013	uncom_46013	target_46013	task_TrackInfo_46013	next_46013	CanAcceptMenu_46013	UncompleteMenu_46013	CompleteMenu_46013			jzt01_21		0	1	0	0	0					
46014	极乐毒谋		s110102	4	WorldNpc03372	WorldNpc03372	7	7			46013	46015	1272						SubmitNpcEx_46014		title_46014	context_46014	accept_46014_1;menu_46014_1	complete_46014;submit_46014	uncom_46014	target_46014	task_TrackInfo_46014	next_46014	CanAcceptMenu_46014	UncompleteMenu_46014	CompleteMenu_46014					0	1	0	0	0					
46015	极乐毒谋		s110102	4	WorldNpc03372	WorldNpc03306	7	7			46014	46016	1272						SubmitNpcEx_46015		title_46015	context_46015	accept_46015_1;menu_46015_1	complete_46015	uncom_46015	target_46015	task_TrackInfo_46015	next_46015	CanAcceptMenu_46015	UncompleteMenu_46015	CompleteMenu_46015					0	1	0	0	0					
46016	极乐毒谋		s110102	4	WorldNpc03306	WorldNpc03305	7	7			46015	46017	1272						SubmitNpcEx_46016		title_46016	context_46016	accept_46016_1;menu_46016_1	complete_46016	uncom_46016	target_46016	task_TrackInfo_46016	next_46016	CanAcceptMenu_46016	UncompleteMenu_46016	CompleteMenu_46016					0	1	0	0	0					
46017	极乐毒谋		s110102	4	WorldNpc03305	WorldNpc03305	7	7			46016	46018	1272						SubmitNpcEx_46017		title_46017	context_46017	accept_46017_1;menu_46017_1	complete_46017	uncom_46017	target_46017	task_TrackInfo_46017	next_46017	CanAcceptMenu_46017	UncompleteMenu_46017	CompleteMenu_46017					0	1	0	0	0					
46018	极乐毒谋		s110102	4	WorldNpc03305	WorldNpc03440	7	7			46017	46021	1272						SubmitNpcEx_46018		title_46018	context_46018	accept_46018_1;menu_46018_1	complete_46018;submit_46018	uncom_46018	target_46018	task_TrackInfo_46018	next_46018	CanAcceptMenu_46018	UncompleteMenu_46018	CompleteMenu_46018					0	1	0	0	0					
46021	极乐毒谋		s110102	4	WorldNpc03440	WorldNpc03441	7	7			46018	46022	1272						SubmitNpcEx_46021		title_46021	context_46021	accept_46021_1;menu_46021_1	complete_46021	uncom_46021	target_46021	task_TrackInfo_46021	next_46021	CanAcceptMenu_46021	UncompleteMenu_46021	CompleteMenu_46021					0	1	0	0	0					
46022	极乐毒谋		s110102	4	WorldNpc03441	WorldNpc03306	7	7			46021	46023	1272						SubmitNpcEx_46022		title_46022	context_46022	accept_46022_1;menu_46022_1	complete_46022	uncom_46022	target_46022	task_TrackInfo_46022	next_46022	CanAcceptMenu_46022	UncompleteMenu_46022	CompleteMenu_46022					0	1	0	0	0					
46023	极乐毒谋		s110102	4	WorldNpc03306	WorldNpc03372	7	7			46022	46020;46024	1272						SubmitNpcEx_46023		title_46023	context_46023	accept_46023_1;menu_46023_1	complete_46023	uncom_46023	target_46023	task_TrackInfo_46023	next_46023	CanAcceptMenu_46023	UncompleteMenu_46023	CompleteMenu_46023					0	1	0	0	0					
46020			s110102	4		WorldNpc03372		7			46023	46025	1272						SubmitNpcEx_46020		title_46020	context_46020		complete_46020;submit_46020		target_46020		next_46020			CompleteMenu_46020					0	1	0	0	0					
46024	极乐毒谋		s110102	4	WorldNpc03372	WorldNpc03372	7	7			46023	46025	1272						SubmitNpcEx_46024		title_46024	context_46024	accept_46024_1;menu_46024_1	complete_46024	uncom_46024	target_46024	task_TrackInfo_46024	next_46024	CanAcceptMenu_46024	UncompleteMenu_46024	CompleteMenu_46024					0	1	0	0	0					
46025	无忧之死		s110103	4	WorldNpc03372	WorldNpc03372	7	7			46020;46024	46026	1272						SubmitNpcEx_46025		title_46025	context_46025	accept_46025_1;menu_46025_1	complete_46025	uncom_46025	target_46025	task_TrackInfo_46025	next_46025	CanAcceptMenu_46025	UncompleteMenu_46025	CompleteMenu_46025			jzt01_41		0	1	0	0	0					
46026	无忧之死		s110103	4	WorldNpc03372	WorldNpc03305	7	7			46025	46027	1272						SubmitNpcEx_46026		title_46026	context_46026	accept_46026_1;menu_46026_1	complete_46026	uncom_46026	target_46026	task_TrackInfo_46026	next_46026	CanAcceptMenu_46026	UncompleteMenu_46026	CompleteMenu_46026					0	1	0	0	0					
46027	无忧之死		s110103	4	WorldNpc03305	WorldNpc03305	7	7			46026	46028	1272			9001			SubmitNpcEx_46027		title_46027	context_46027	accept_46027_1;menu_46027_1	complete_46027	uncom_46027	target_46027	task_TrackInfo_46027	next_46027	CanAcceptMenu_46027	UncompleteMenu_46027	CompleteMenu_46027					0	1	0	0	0					
46028	无忧之死		s110103	4	WorldNpc03305	WorldNpc03373	7	7			46027	46029	1272						SubmitNpcEx_46028		title_46028	context_46028	accept_46028_1;menu_46028_1	complete_46028	uncom_46028	target_46028	task_TrackInfo_46028	next_46028	CanAcceptMenu_46028	UncompleteMenu_46028	CompleteMenu_46028					0	1	0	0	0					
46029	无忧之死		s110103	4	WorldNpc03373	WorldNpc03373	7	7			46028	46030	1272						SubmitNpcEx_46029		title_46029	context_46029	accept_46029_1;menu_46029_1	complete_46029	uncom_46029	target_46029	task_TrackInfo_46029	next_46029	CanAcceptMenu_46029	UncompleteMenu_46029	CompleteMenu_46029					0	1	0	0	0					
46030	无忧之死		s110103	4	WorldNpc03373	WorldNpc03335	7	7			46029	46031	1272						SubmitNpcEx_46030		title_46030	context_46030	accept_46030_1;menu_46030_1	complete_46030	uncom_46030	target_46030	task_TrackInfo_46030	next_46030	CanAcceptMenu_46030	UncompleteMenu_46030	CompleteMenu_46030					0	1	0	0	0					
46031	无忧之死		s110103	4	WorldNpc03335	WorldNpc03335	7	7			46030	46032	1272						SubmitNpcEx_46031		title_46031	context_46031	accept_46031_1;menu_46031_1	complete_46031	uncom_46031	target_46031	task_TrackInfo_46031	next_46031	CanAcceptMenu_46031	UncompleteMenu_46031	CompleteMenu_46031					0	1	0	0	0					
46032	无忧之死		s110103	4	WorldNpc03335	WorldNpc03335	7	7			46031	46033	1272						SubmitNpcEx_46032		title_46032	context_46032	accept_46032_1;menu_46032_1	complete_46032;submit_46032	uncom_46032	target_46032	task_TrackInfo_46032	next_46032	CanAcceptMenu_46032	UncompleteMenu_46032	CompleteMenu_46032					0	1	0	0	0					
46033	无忧之死		s110103	4	WorldNpc03335	WorldNpc03441	7	7			46032	46034	1272						SubmitNpcEx_46033		title_46033	context_46033	accept_46033_1;menu_46033_1	complete_46033;submit_46033	uncom_46033	target_46033	task_TrackInfo_46033	next_46033	CanAcceptMenu_46033	UncompleteMenu_46033	CompleteMenu_46033					0	1	0	0	0					
46034	无忧之死		s110103	4	WorldNpc03441	WorldNpc03441	7	7			46033	46036	1272						SubmitNpcEx_46034		title_46034	context_46034	accept_46034_1;menu_46034_1	complete_46034	uncom_46034	target_46034	task_TrackInfo_46034	next_46034	CanAcceptMenu_46034	UncompleteMenu_46034	CompleteMenu_46034					0	1	0	0	0					
46036	无忧之死		s110103	4	WorldNpc03441	WorldNpc03305	7	7			46034	46037	1272						SubmitNpcEx_46036		title_46036	context_46036	accept_46036_1;menu_46036_1	complete_46036	uncom_46036	target_46036	task_TrackInfo_46036	next_46036	CanAcceptMenu_46036	UncompleteMenu_46036	CompleteMenu_46036					0	1	0	0	0					
46037	绵情似酒		s110104	4	WorldNpc03305	WorldNpc03314	7	7			46036	46038	1272						SubmitNpcEx_46037		title_46037	context_46037	accept_46037_1;menu_46037_1	complete_46037	uncom_46037	target_46037	task_TrackInfo_46037	next_46037	CanAcceptMenu_46037	UncompleteMenu_46037	CompleteMenu_46037			jzt01_61		0	1	0	0	0					
46038	绵情似酒		s110104	4	WorldNpc03314	WorldNpc03314	7	7			46037	46039	1272						SubmitNpcEx_46038		title_46038	context_46038	accept_46038_1;menu_46038_1	complete_46038	uncom_46038	target_46038	task_TrackInfo_46038	next_46038	CanAcceptMenu_46038	UncompleteMenu_46038	CompleteMenu_46038					0	1	0	0	0					
46039	绵情似酒		s110104	4	WorldNpc03314	WorldNpc03335	7	7			46038	46040	1272			9003;9279			SubmitNpcEx_46039		title_46039	context_46039	accept_46039_1;menu_46039_1	complete_46039	uncom_46039	target_46039	task_TrackInfo_46039	next_46039	CanAcceptMenu_46039	UncompleteMenu_46039	CompleteMenu_46039					0	1	0	0	0					
46040	绵情似酒		s110104	4	WorldNpc03335	WorldNpc03421	7	7			46039	46042:46045	1272			9004			SubmitNpcEx_46040		title_46040	context_46040	accept_46040_1;menu_46040_1	complete_46040	uncom_46040	target_46040	task_TrackInfo_46040	next_46040	CanAcceptMenu_46040	UncompleteMenu_46040	CompleteMenu_46040					0	1	0	0	0					
46042	绵情似酒		s110104	4		WorldNpc03335		7			46040	46043	1272						SubmitNpcEx_46042		title_46042	context_46042	accept_46042_1;menu_46042_1	complete_46042	uncom_46042	target_46042	task_TrackInfo_46042	next_46042	CanAcceptMenu_46042	UncompleteMenu_46042	CompleteMenu_46042					0	1	0	0	0					
46043	绵情似酒		s110104	4	WorldNpc03335	WorldNpc03335	7	7			46042	46044	1272						SubmitNpcEx_46043		title_46043	context_46043	accept_46043_1;menu_46043_1	complete_46043	uncom_46043	target_46043	task_TrackInfo_46043	next_46043	CanAcceptMenu_46043	UncompleteMenu_46043	CompleteMenu_46043					0	1	0	0	0					
46044	绵情似酒		s110104	4	WorldNpc03335	WorldNpc03313	7	7			46043	46048	1272						SubmitNpcEx_46044		title_46044	context_46044	accept_46044_1;menu_46044_1	complete_46044	uncom_46044	target_46044	task_TrackInfo_46044	next_46044	CanAcceptMenu_46044	UncompleteMenu_46044	CompleteMenu_46044					0	1	0	0	0					
46045	绵情似酒		s110104	4		WorldNpc03313		7			46040	46046	1272								title_46045	context_46045	accept_46045_1;menu_46045_1	complete_46045	uncom_46045	target_46045	task_TrackInfo_46045	next_46045	CanAcceptMenu_46045	UncompleteMenu_46045	CompleteMenu_46045					0	1	0	0	0					
46046	绵情似酒		s110104	4	WorldNpc03313	WorldNpc03335	7	7			46045	46047	1272			9278			SubmitNpcEx_46046		title_46046	context_46046	accept_46046_1;menu_46046_1	complete_46046	uncom_46046	target_46046	task_TrackInfo_46046	next_46046	CanAcceptMenu_46046	UncompleteMenu_46046	CompleteMenu_46046					0	1	0	0	0					
46047	绵情似酒		s110104	4	WorldNpc03335	WorldNpc03313	7	7			46046	46048	1272						SubmitNpcEx_46047		title_46047	context_46047	accept_46047_1;menu_46047_1	complete_46047	uncom_46047	target_46047	task_TrackInfo_46047	next_46047	CanAcceptMenu_46047	UncompleteMenu_46047	CompleteMenu_46047	136				0	1	0	0	0					
