STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	NeedVip
55501				s1250101	2	npc_4neidh_wd	npc_4neidh_wd		11	11				55502				25398							SubmitNpcEx_55501		title_55501	context_55501	accept_55501_1;menu_55501_1	complete_55501;submit_55501		target_55501		next_55501	CanAcceptMenu_55501		CompleteMenu_55501					0	0						
55502				s1250101	2	npc_4neidh_wd	wd121		11	11			55501	55503				888				56500			SubmitNpcEx_55502		title_55502	context_55502	accept_55502_1;menu_55502_1	complete_55502;submit_55502		target_55502		next_55502	CanAcceptMenu_55502		CompleteMenu_55502					0	0						
55503				s1250101	2	wd121	WorldNpc04876		11	11			55502	55504				888							SubmitNpcEx_55503		title_55503	context_55503	accept_55503_1;menu_55503_1	complete_55503;submit_55503		target_55503		next_55503	CanAcceptMenu_55503		CompleteMenu_55503					0	0						
55504				s1250101	2	WorldNpc04876	WorldNpc04876		11	11			55503	55505				888							SubmitNpcEx_55504		title_55504	context_55504	accept_55504_1;menu_55504_1	complete_55504;submit_55504		target_55504		next_55504	CanAcceptMenu_55504		CompleteMenu_55504					0	0						
55505				s1250101	2	WorldNpc04876			11		55513	1	55504	55513				888							SubmitNpcEx_55505		title_55505	context_55505	accept_55505_1;menu_55505_1	complete_55505;submit_55505		target_55505		next_55505	CanAcceptMenu_55505		CompleteMenu_55505					0	0						
55506				s1250101	2	WorldNpc04401	WorldNpc04435		11	11				55507				25058							SubmitNpcEx_55506		title_55506	context_55506	accept_55506_1;menu_55506_1	complete_55506;submit_55506		target_55506		next_55506	CanAcceptMenu_55506		CompleteMenu_55506					0	0						
55507				s1250101	2	WorldNpc04435	WorldNpc04402		11	11			55506	55508				888				56501			SubmitNpcEx_55507		title_55507	context_55507	accept_55507_1;menu_55507_1	complete_55507;submit_55507		target_55507		next_55507	CanAcceptMenu_55507		CompleteMenu_55507					0	0						
55508				s1250101	2	WorldNpc04402	npc_4nei_lxy		11	11			55507	55509				888							SubmitNpcEx_55508		title_55508	context_55508	accept_55508_1;menu_55508_1	complete_55508;submit_55508		target_55508		next_55508	CanAcceptMenu_55508		CompleteMenu_55508					0	0						
55509				s1250101	2	npc_4nei_lxy	npc_4neidh_wd		11	11			55508	55510				888							SubmitNpcEx_55509		title_55509	context_55509	accept_55509_1;menu_55509_1	complete_55509;submit_55509		target_55509		next_55509	CanAcceptMenu_55509		CompleteMenu_55509					0	0						
