STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ConditionPrize	FastCompleteMoney	FastCompletePrize
38801				s1370201	12	WorldNpc09974	WorldNpc09974		17	17								101993				3500;3501					title_38801	context_38801	accept_38801_1;menu_38801_1	complete_38801;submit_38801		target_38801		next_38801	CanAcceptMenu_38801		CompleteMenu_38801					1	0	3	1	1				10000	box_xjz_rw_011
38814				s1370201	12	WorldNpc09974	WorldNpc09974		17	17								101993;10520;3174									title_38814	context_38814	accept_38814_1;menu_38814_1	complete_38814;submit_38814		target_38814		next_38814	CanAcceptMenu_38814		CompleteMenu_38814					1	0	3	1	1				20000	box_xjz_rw_007
38802				s1370101	12	WorldNpc09857	xjz_task001		17	17	38819	1						103555;101993									title_38802	context_38802	accept_38802_1;menu_38802_1	complete_38802;submit_38802		target_38802		next_38802	CanAcceptMenu_38802		CompleteMenu_38802					1	0	1	1	1					
38803				s1370101	12	WorldNpc09857	xjz_task001		17	17	38820	1						103555;103533;101993				3414					title_38803	context_38803	accept_38803_1;menu_38803_1	complete_38803;submit_38803		target_38803		next_38803	CanAcceptMenu_38803		CompleteMenu_38803					1	0	1	1	1					
38804				s1370101	12	WorldNpc09857	WorldNpc09857		17	17								103555;103533;101993				3400;3401;3402			SubmitNpcEx_38804		title_38804	context_38804	accept_38804_1;menu_38804_1	complete_38804;submit_38804		target_38804		next_38804	CanAcceptMenu_38804		CompleteMenu_38804					1	0	1	1	1				5000	box_xjz_rw_006
38805				s1370101	12	WorldNpc09857	WorldNpc09857		17	17								103555;103533;101993							SubmitNpcEx_38805		title_38805	context_38805	accept_38805_1;menu_38805_1	complete_38805;submit_38805		target_38805		next_38805	CanAcceptMenu_38805		CompleteMenu_38805					1	0	1	1	1				10000	box_xjz_rw_005
38806				s1370101	12	WorldNpc09972	WorldNpc09972		17	17								101993									title_38806	context_38806	accept_38806_1;menu_38806_1	complete_38806;submit_38806		target_38806			CanAcceptMenu_38806		CompleteMenu_38806					1	0	1	1	1				5000	box_xjz_rw_002
38807				s1370101	12				17	17								101993							SubmitNpcEx_38806		title_38807	context_38807	accept_38807_1;menu_38807_1	complete_38807;submit_38807		target_38807		next_38807	CanAcceptMenu_38807		CompleteMenu_38807					1	0	1	1	1					
38808				s1370101	12				17	17								101993							SubmitNpcEx_38806		title_38808	context_38808	accept_38808_1;menu_38808_1	complete_38808;submit_38808		target_38808		next_38808	CanAcceptMenu_38808		CompleteMenu_38808					1	0	1	1	1					
38809				s1370101	12				17	17								101993							SubmitNpcEx_38806		title_38809	context_38809	accept_38809_1;menu_38809_1	complete_38809;submit_38809		target_38809		next_38809	CanAcceptMenu_38809		CompleteMenu_38809					1	0	1	1	1					
38810				s1370101	12				17	17								101993							SubmitNpcEx_38806		title_38809	context_38809	accept_38806_1;menu_38806_1	complete_38806;submit_38806		target_38809			CanAcceptMenu_38806		CompleteMenu_38806					1	0	1	1	1					
38811				s1370101	12				17	17								101993							SubmitNpcEx_38806		title_38806	context_38806	accept_38806_1;menu_38806_1	complete_38806;submit_38806		target_38806			CanAcceptMenu_38806		CompleteMenu_38806					1	0	1	1	1					
38812				s1370101	12				17	17								101993							SubmitNpcEx_38806		title_38806	context_38806	accept_38806_1;menu_38806_1	complete_38806;submit_38806		target_38806			CanAcceptMenu_38806		CompleteMenu_38806					1	0	1	1	1					
