STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	RoundID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ConditionPrize	FastCompleteMoney	FastCompletePrize
39201					s1380301	12	cd526	ChengDqishiNpc003		17	17			84648	39202											SubmitNpcEx_39201		title_39201	context_39201	accept_39201_1;menu_39201_1	complete_39201;submit_39201		target_39201		next_39201	CanAcceptMenu_39201		CompleteMenu_39201					1	0	0	0	0					
39202					s1380301	12	ChengDqishiNpc003	WorldNpc09742		17	17	39203		39201	39203													title_39202	context_39202	accept_39202_1;menu_39202_1	complete_39202;submit_39202		target_39202			CanAcceptMenu_39202		CompleteMenu_39202					1	0	0	0	0					
39203					s1380301	12	baiyinvzi001	WorldNpc09742		17	17	39204		39202	39204											SubmitNpcEx_39203		title_39203	context_39203	accept_39203_1;menu_39203_1	complete_39203;submit_39203		target_39203		next_39203	CanAcceptMenu_39203		CompleteMenu_39203	202				1	0	0	0	0					
39204					s1380301	12	WorldNpc09742	banzhu001		17	17	39205		39203	39205													title_39204	context_39204	accept_39204_1;menu_39204_1	complete_39204;submit_39204		target_39204		next_39204	CanAcceptMenu_39204		CompleteMenu_39204					1	0	0	0	0					
39205					s1380301	12	baiyinvzi001	Transschool09A		17	281			39204														title_39205	context_39205	accept_39205_1;menu_39205_1	complete_39205;submit_39205		target_39205			CanAcceptMenu_39205		CompleteMenu_39205	203				1	0	0	0	0					
39206					s1380201	12		yhg_002		281	281								101991							SubmitNpcEx_39206		title_39206	context_39206	accept_39206_1;menu_39206_1	complete_39206;submit_39206		target_39206		next_39206	CanAcceptMenu_39206		CompleteMenu_39206					1	0	3	1	1				20000	box_yhg_rw_006
39207					s1380201	12		yhg_002		281	281								101991							SubmitNpcEx_39207		title_39207	context_39207	accept_39207_1;menu_39207_1	complete_39207;submit_39207		target_39207		next_39207	CanAcceptMenu_39207		CompleteMenu_39207					1	0	3	1	1					
39209	8				s1380201	12	yhg_005	yhg_005		281	281								101991									title_39209	context_39209	accept_39209_1;menu_39209_1	complete_39209;submit_39209		target_39209		next_39209	CanAcceptMenu_39209		CompleteMenu_39209					1	0	0	0	0					
39430					s1380201	12	yhg_015	yhg_015											101991							SubmitNpcEx_39430		title_39430	context_39430	accept_39430_1;menu_39430_1	complete_39430;submit_39430		target_39430		next_39430	CanAcceptMenu_39430		CompleteMenu_39430					1	0	3	1	1				10000	box_yhg_rw_005
