STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel
17401				s610101																																												
17402				s610101	8		WorldNpc04251		6	5	17403	1															title_17402	context_17402	accept_17402_1;menu_17402_1	complete_17402;submit_17402		target_17402		next_17402	CanAcceptMenu_17402		CompleteMenu_17402		5601			1	0	2	1	999		
17403				s610101	8		WorldNpc03003		5	6			17402														title_17403	context_17403	accept_17403_1;menu_17403_1	complete_17403;submit_17403		target_17403		next_17403			CompleteMenu_17403					1	0	2	1	999		
17404				s610101	8		WorldNpc04359		5	5	17405														SubmitNpcEx_17404		title_17404	context_17404	accept_17404_1;menu_17404_1	complete_17404;submit_17404		target_17404		next_17404	CanAcceptMenu_17404		CompleteMenu_17404					1	0	2	1	999		
17405				s610101	8	WorldNpc04359			5	5	17406	1	17404														title_17405	context_17405				target_17405		next_17405								1	0	0				
17406				s610101	8		WorldNpc04359		5	5			17405														title_17406	context_17406		complete_17406;submit_17406		target_17406		next_17406			CompleteMenu_17406	5602				1	0	2	1	999		
17408				s610101	2		worldnpc04101			5								1273							SubmitNpcEx_17408		title_17408	context_17408	accept_17408_1;menu_17408_1	complete_17408;submit_17408		target_17408		next_17408	CanAcceptMenu_17408		CompleteMenu_17408					1	0	2	1	999		
17409				s610101	2		WorldNpc04104			5								1273							SubmitNpcEx_17409		title_17409	context_17409	accept_17409_1;menu_17409_1	complete_17409;submit_17409		target_17409		next_17409	CanAcceptMenu_17409		CompleteMenu_17409					1	0	2	1	999		
17410				s610101	2		WorldNpc04102			5								1273							SubmitNpcEx_17410		title_17410	context_17410	accept_17410_1;menu_17410_1	complete_17410;submit_17410		target_17410		next_17410	CanAcceptMenu_17410		CompleteMenu_17410					1	0	2	1	999		
17411				s610101	2		WorldNpc04105			5								1273							SubmitNpcEx_17411		title_17411	context_17411	accept_17411_1;menu_17411_1	complete_17411;submit_17411		target_17411		next_17411	CanAcceptMenu_17411		CompleteMenu_17411					1	0	2	1	999		
17412				s610101	2		qyjysmxt			15								1273				29000			SubmitNpcEx_17412	Adventure\jysm\task17412.lua	title_17412	context_17412	accept_17412_1;menu_17412_1	complete_17412;submit_17412		target_17412		next_17412	CanAcceptMenu_17412		CompleteMenu_17412					1	0	2	1	999		
17413				s610101	2		qyjysmxt			15								1273				29001			SubmitNpcEx_17413	Adventure\jysm\task17413.lua	title_17413	context_17413	accept_17413_1;menu_17413_1	complete_17413;submit_17413		target_17413		next_17413	CanAcceptMenu_17413		CompleteMenu_17413					1	0	2	1	999		
17414				s610101	2		worldnpc04101			5								1273				29002			SubmitNpcEx_17414	Adventure\jysm\task17414.lua	title_17414	context_17414	accept_17414_1;menu_17414_1	complete_17414;submit_17414		target_17414		next_17414	CanAcceptMenu_17414		CompleteMenu_17414					1	0	2	1	999		
17415				s610101	2		jl458			15								1273				29003			SubmitNpcEx_17415	Adventure\jysm\task17415.lua	title_17415	context_17415	accept_17415_1;menu_17415_1	complete_17415;submit_17415		target_17415		next_17415	CanAcceptMenu_17415		CompleteMenu_17415					1	0	2	1	999		
17416				s610101	2		qyjysmxt		15	15								1273							SubmitNpcEx_17416		title_17416	context_17416	accept_17416_1;menu_17416_1	complete_17416;submit_17416		target_17416		next_17416	CanAcceptMenu_17416		CompleteMenu_17416					0	0	2	1	999		
17417				s610101	2		WorldNpc04103			5	17431							1273							SubmitNpcEx_17417	Adventure\jysm\task17417.lua	title_17417	context_17417	accept_17417_1;menu_17417_1	complete_17417;submit_17417		target_17417		next_17417	CanAcceptMenu_17417		CompleteMenu_17417					1	0	2	1	999		
