STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ReputationLimit	AcceptArea	AcceptRepLimit	ConditionPrize	AcceptReputationLimit
82150	成都南宫世家		s770303	5			17	17					3174								title_82150	context_82150	accept_82150_1;menu_82150_1	complete_82150		target_82150		next_82150	CanAcceptMenu_82150		CompleteMenu_82150					1	0	1	1	1				83		10416&3715|100044|conditiontext_100044|0|conditiontips_0;10416&3714|100043|conditiontext_100043|14|conditiontips_14;10416&3713|100042|conditiontext_100042|17|conditiontips_17;10416&3711|100040|conditiontext_100040|17|conditiontips_17;10416&3710|100039|conditiontext_100039|13|conditiontips_13;10416&3709|100038|conditiontext_100038|1|conditiontips_1;10416&3708|100037|conditiontext_100037|0|conditiontips_0	repute_jianghu|60418383
82151	成都南宫世家		s770303	5			17	17					3174								title_82151	context_82151	accept_82151_1;menu_82151_1	complete_82151		target_82151		next_82151	CanAcceptMenu_82151		CompleteMenu_82151					1	0	1	1	1				83		10416&3715|100044|conditiontext_100044|0|conditiontips_0;10416&3714|100043|conditiontext_100043|14|conditiontips_14;10416&3713|100042|conditiontext_100042|17|conditiontips_17;10416&3711|100040|conditiontext_100040|17|conditiontips_17;10416&3710|100039|conditiontext_100039|13|conditiontips_13;10416&3709|100038|conditiontext_100038|1|conditiontips_1;10416&3708|100037|conditiontext_100037|0|conditiontips_0	repute_jianghu|60418383
82152	成都南宫世家		s770303	5			17	17					3174								title_82152	context_82152	accept_82152_1;menu_82152_1	complete_82152		target_82152		next_82152	CanAcceptMenu_82152		CompleteMenu_82152					1	0	1	1	1				83		10416&3715|100044|conditiontext_100044|0|conditiontips_0;10416&3714|100043|conditiontext_100043|14|conditiontips_14;10416&3713|100042|conditiontext_100042|17|conditiontips_17;10416&3711|100040|conditiontext_100040|17|conditiontips_17;10416&3710|100039|conditiontext_100039|13|conditiontips_13;10416&3709|100038|conditiontext_100038|1|conditiontips_1;10416&3708|100037|conditiontext_100037|0|conditiontips_0	repute_jianghu|60418383
82153	成都南宫世家		s770303	7			17	17					3174								title_82153	context_82153	accept_82153_1;menu_82153_1	complete_82153		target_82153		next_82153	CanAcceptMenu_82153		CompleteMenu_82153					1	0	1	1	1				83			repute_jianghu|60418383
82154	成都南宫世家		s770303	7			17	17					3174								title_82154	context_82154	accept_82154_1;menu_82154_1	complete_82154		target_82154		next_82154	CanAcceptMenu_82154		CompleteMenu_82154					1	0	1	1	1				83			repute_jianghu|60418383
82155	成都南宫世家		s770303	7			17	17					3174								title_82155	context_82155	accept_82155_1;menu_82155_1	complete_82155		target_82155		next_82155	CanAcceptMenu_82155		CompleteMenu_82155					1	0	1	1	1				83			repute_jianghu|60418383
82156	成都南宫世家		s770303	7			17	17					3174								title_82156	context_82156	accept_82156_1;menu_82156_1	complete_82156		target_82156		next_82156	CanAcceptMenu_82156		CompleteMenu_82156					1	0	1	1	1				83			repute_jianghu|60418383
82157	成都南宫世家		s770303	7			17	17					3174								title_82157	context_82157	accept_82157_1;menu_82157_1	complete_82157		target_82157		next_82157	CanAcceptMenu_82157		CompleteMenu_82157					1	0	1	1	1				83			repute_jianghu|60418383
82158	成都南宫世家		s770303	5			17	17					3174								title_82158	context_82158	accept_82158_1;menu_82158_1	complete_82158		target_82158		next_82158	CanAcceptMenu_82158		CompleteMenu_82158					1	0	1	1	1				83		10416&3715|100044|conditiontext_100044|0|conditiontips_0;10416&3714|100043|conditiontext_100043|14|conditiontips_14;10416&3713|100042|conditiontext_100042|17|conditiontips_17;10416&3711|100040|conditiontext_100040|17|conditiontips_17;10416&3710|100039|conditiontext_100039|13|conditiontips_13;10416&3709|100038|conditiontext_100038|1|conditiontips_1;10416&3708|100037|conditiontext_100037|0|conditiontips_0	repute_jianghu|60418383
