STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ReputationLimit	AcceptArea	AcceptRepLimit	ConditionPrize	AcceptReputationLimit
85101	¶ëÃ¼Ãùº×¹Û		s920404	5			10	10					3174								title_85101	context_85101	accept_85101_1;menu_85101_1	complete_85101		target_85101		next_85101	CanAcceptMenu_85101		CompleteMenu_85101					1	0	1	1	1				234			repute_jianghu|60418383
85103	¶ëÃ¼Ãùº×¹Û		s920404	7			10	10					3174								title_85103	context_85103	accept_85103_1;menu_85103_1	complete_85103		target_85103		next_85103	CanAcceptMenu_85103		CompleteMenu_85103					1	0	1	1	1				234			repute_jianghu|60418383
85104	¶ëÃ¼Ãùº×¹Û		s920404	7			10	10					3174								title_85104	context_85104	accept_85104_1;menu_85104_1	complete_85104		target_85104		next_85104	CanAcceptMenu_85104		CompleteMenu_85104					1	0	1	1	1				234			repute_jianghu|60418383
85105	¶ëÃ¼Ãùº×¹Û		s920404	7			10	10					3174								title_85105	context_85105	accept_85105_1;menu_85105_1	complete_85105		target_85105		next_85105	CanAcceptMenu_85105		CompleteMenu_85105					1	0	1	1	1				234			repute_jianghu|60418383
85107	¶ëÃ¼Ãùº×¹Û		s920404	7			10	10					3174								title_85107	context_85107	accept_85107_1;menu_85107_1	complete_85107		target_85107		next_85107	CanAcceptMenu_85107		CompleteMenu_85107					1	0	1	1	1				234			repute_jianghu|60418383
85108	¶ëÃ¼Ãùº×¹Û		s920404	5			10	10					3174								title_85108	context_85108	accept_85108_1;menu_85108_1	complete_85108		target_85108		next_85108	CanAcceptMenu_85108		CompleteMenu_85108					1	0	1	1	1				234			repute_jianghu|60418383
85109	¶ëÃ¼Ãùº×¹Û		s920404	5			10	10					3174								title_85109	context_85109	accept_85109_1;menu_85109_1	complete_85109		target_85109		next_85109	CanAcceptMenu_85109		CompleteMenu_85109					1	0	1	1	1				234			repute_jianghu|60418383
85110	¶ëÃ¼Ãùº×¹Û		s920404	5			10	10					3174								title_85110	context_85110	accept_85110_1;menu_85110_1	complete_85110		target_85110		next_85110	CanAcceptMenu_85110		CompleteMenu_85110					1	0	1	1	1				234		10416&3724|100053|conditiontext_100053|0|conditiontips_0;10416&3723|100052|conditiontext_100052|14|conditiontips_14;10416&3722|100051|conditiontext_100051|17|conditiontips_17;10416&3721|100050|conditiontext_100050|13|conditiontips_13;10416&3720|100049|conditiontext_100049|17|conditiontips_17;10416&3719|100048|conditiontext_100048|13|conditiontips_13;10416&3718|100047|conditiontext_100047|1|conditiontips_1;10416&3717|100046|conditiontext_100046|0|conditiontips_0	repute_jianghu|60418383
85111	¶ëÃ¼Ãùº×¹Û		s920404	5			10	10					3174								title_85111	context_85111	accept_85111_1;menu_85111_1	complete_85111		target_85111		next_85111	CanAcceptMenu_85111		CompleteMenu_85111					1	0	1	1	1				234		10416&3724|100053|conditiontext_100053|0|conditiontips_0;10416&3723|100052|conditiontext_100052|14|conditiontips_14;10416&3722|100051|conditiontext_100051|17|conditiontips_17;10416&3721|100050|conditiontext_100050|13|conditiontips_13;10416&3720|100049|conditiontext_100049|17|conditiontips_17;10416&3719|100048|conditiontext_100048|13|conditiontips_13;10416&3718|100047|conditiontext_100047|1|conditiontips_1;10416&3717|100046|conditiontext_100046|0|conditiontips_0	repute_jianghu|60418383
85112	¶ëÃ¼Ãùº×¹Û		s920404	5			10	10					3174								title_85112	context_85112	accept_85112_1;menu_85112_1	complete_85112		target_85112		next_85112	CanAcceptMenu_85112		CompleteMenu_85112					1	0	1	1	1				234		10416&3724|100053|conditiontext_100053|0|conditiontips_0;10416&3723|100052|conditiontext_100052|14|conditiontips_14;10416&3722|100051|conditiontext_100051|17|conditiontips_17;10416&3721|100050|conditiontext_100050|13|conditiontips_13;10416&3720|100049|conditiontext_100049|17|conditiontips_17;10416&3719|100048|conditiontext_100048|13|conditiontips_13;10416&3718|100047|conditiontext_100047|1|conditiontips_1;10416&3717|100046|conditiontext_100046|0|conditiontips_0	repute_jianghu|60418383
85113	¶ëÃ¼Ãùº×¹Û		s920404	5			10	10					3174								title_85113	context_85113	accept_85113_1;menu_85113_1	complete_85113		target_85113		next_85113	CanAcceptMenu_85113		CompleteMenu_85113					1	0	1	1	1				234		10416&3724|100053|conditiontext_100053|0|conditiontips_0;10416&3723|100052|conditiontext_100052|14|conditiontips_14;10416&3722|100051|conditiontext_100051|17|conditiontips_17;10416&3721|100050|conditiontext_100050|13|conditiontips_13;10416&3720|100049|conditiontext_100049|17|conditiontips_17;10416&3719|100048|conditiontext_100048|13|conditiontips_13;10416&3718|100047|conditiontext_100047|1|conditiontips_1;10416&3717|100046|conditiontext_100046|0|conditiontips_0	repute_jianghu|60418383
