STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	AcceptArea	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	NeedVip	TimeLimitLenghtEx	Plot	NotShowMenu	Relation	LuckValue	ReputationLimit	AcceptRepLimit 	ConditionPrize	ReputationLimit	AcceptReputationLimit
80300	∂Ò»Àπ»	story	s700101	11	5	WorldNpc09298	WorldNpc09298	2	2					15539;25665							title_80300	context_80300	accept_80300_1;menu_80300_1	complete_80300	uncom_80300	target_80300	task_TrackInfo_80300	next_80300	CanAcceptMenu_80300	UncompleteMenu_80300	CompleteMenu_80300					1	1	1	1	1											repute_jianghu|700
80301	∂Ò»Àπ»	story	s700101	11	5	WorldNpc09299	WorldNpc09299	2	2					15539;25665							title_80301	context_80301	accept_80301_1;menu_80301_1	complete_80301	uncom_80301	target_80301	task_TrackInfo_80301	next_80301	CanAcceptMenu_80301	UncompleteMenu_80301	CompleteMenu_80301					1	1	1	1	1											repute_jianghu|700
80302	∂Ò»Àπ»	story	s700101	11	5	WorldNpc09300	WorldNpc09300	2	2					15539;25665							title_80302	context_80302	accept_80302_1;menu_80302_1	complete_80302	uncom_80302	target_80302	task_TrackInfo_80302	next_80302	CanAcceptMenu_80302	UncompleteMenu_80302	CompleteMenu_80302					1	1	1	1	1											repute_jianghu|700
80303	∂Ò»Àπ»	story	s700101	11	5	WorldNpc09312	WorldNpc09312	2	2					15539;25665							title_80303	context_80303	accept_80303_1;menu_80303_1	complete_80303	uncom_80303	target_80303	task_TrackInfo_80303	next_80303	CanAcceptMenu_80303	UncompleteMenu_80303	CompleteMenu_80303					1	1	1	1	1											repute_jianghu|700
80342	∂Ò»Àπ»	hunter∫⁄ƒ‡π»collect∫⁄ƒ‡π»	s700101	11	5	WorldNpc09224	WorldNpc09224	2	2					15539;25665							title_80342	context_80342	accept_80342_1;menu_80342_1	complete_80342	uncom_80342	target_80342	task_TrackInfo_80342	next_80342	CanAcceptMenu_80342	UncompleteMenu_80342	CompleteMenu_80342					1	1	1	1	1											repute_jianghu|700
80344	∂Ò»Àπ»	hunter∫⁄ƒ‡π»collect∂Ò»Àπ»	s700101	11	5	WorldNpc09226	WorldNpc09226	2	2					15539;25665							title_80344	context_80344	accept_80344_1;menu_80344_1	complete_80344	uncom_80344	target_80344	task_TrackInfo_80344	next_80344	CanAcceptMenu_80344	UncompleteMenu_80344	CompleteMenu_80344					1	1	1	1	1											repute_jianghu|700
80349	∂Ò»Àπ»	hunter∫⁄ƒ‡π»collectÀÿ‘∆π¨	s700101	11	5	WorldNpc09231	WorldNpc09231	2	2					15539;25665							title_80349	context_80349	accept_80349_1;menu_80349_1	complete_80349	uncom_80349	target_80349	task_TrackInfo_80349	next_80349	CanAcceptMenu_80349	UncompleteMenu_80349	CompleteMenu_80349					1	1	1	1	1											repute_jianghu|700
80352	∂Ò»Àπ»	hunter∂Ò»Àπ»collect–«Àﬁ¬ÎÕ∑	s700101	11	5	WorldNpc09234	WorldNpc09234	2	2					15539;25665							title_80352	context_80352	accept_80352_1;menu_80352_1	complete_80352	uncom_80352	target_80352	task_TrackInfo_80352	next_80352	CanAcceptMenu_80352	UncompleteMenu_80352	CompleteMenu_80352					1	1	1	1	1											repute_jianghu|700
80361	∂Ò»Àπ»	interact∂Ò»Àπ»collect∂Ò»Àπ»	s700101	11	7		WorldNpc09243	2	2					10416;3675;15539;25665			21603				title_80361	context_80361	accept_80361_1;menu_80361_1	complete_80361	uncom_80361	target_80361	task_TrackInfo_80361	next_80361	CanAcceptMenu_80361	UncompleteMenu_80361	CompleteMenu_80361					1	1	1	1	1									10416&3679|100008|conditiontext_100008|0|conditiontips_0;10416&3678|100007|conditiontext_100007|14|conditiontips_14;10416&3677|100006|conditiontext_100006|17|conditiontips_17;10416&3676|100005|conditiontext_100005|13|conditiontips_13;10416&3675|100004|conditiontext_100004|17|conditiontips_17;10416&3674|100003|conditiontext_100003|13|conditiontips_13;10416&3673|100002|conditiontext_100002|1|conditiontips_1;10416&3672|100001|conditiontext_100001|0|conditiontips_0		repute_jianghu|700
80362	∂Ò»Àπ»	interact¿•¬ÿ≈…collectÀÿ‘∆π¨	s700101	11	5	WorldNpc09244	WorldNpc09244	2	2					15539;25665							title_80362	context_80362	accept_80362_1;menu_80362_1	complete_80362	uncom_80362	target_80362	task_TrackInfo_80362	next_80362	CanAcceptMenu_80362	UncompleteMenu_80362	CompleteMenu_80362					1	1	1	1	1											repute_jianghu|700
80363	∂Ò»Àπ»	interact∂Ò»Àπ»useitem	s700101	11	7	WorldNpc09245	WorldNpc09245	2	2					3174;10416;3674;15539;25665			21602				title_80363	context_80363	accept_80363_1;menu_80363_1	complete_80363	uncom_80363	target_80363	task_TrackInfo_80363	next_80363	CanAcceptMenu_80363	UncompleteMenu_80363	CompleteMenu_80363					1	1	1	1	1									10416&3679|100008|conditiontext_100008|0|conditiontips_0;10416&3678|100007|conditiontext_100007|14|conditiontips_14;10416&3677|100006|conditiontext_100006|17|conditiontips_17;10416&3676|100005|conditiontext_100005|13|conditiontips_13;10416&3675|100004|conditiontext_100004|17|conditiontips_17;10416&3674|100003|conditiontext_100003|13|conditiontips_13;10416&3673|100002|conditiontext_100002|1|conditiontips_1;10416&3672|100001|conditiontext_100001|0|conditiontips_0		repute_jianghu|60418383
80364	∂Ò»Àπ»	interact∂Ò»Àπ»collect∂Ò»Àπ»	s700101	11	5	WorldNpc09246	WorldNpc09246	2	2					15539;25665							title_80364	context_80364	accept_80364_1;menu_80364_1	complete_80364	uncom_80364	target_80364	task_TrackInfo_80364	next_80364	CanAcceptMenu_80364	UncompleteMenu_80364	CompleteMenu_80364					1	1	1	1	1											repute_jianghu|700
80365	∂Ò»Àπ»	interact∂Ò»Àπ»collect∂Ò»Àπ»	s700101	11	5			2	2					3174;25665							title_80365	context_80365	accept_80365_1;menu_80365_1	complete_80365	uncom_80365	target_80365	task_TrackInfo_80365	next_80365	CanAcceptMenu_80365	UncompleteMenu_80365	CompleteMenu_80365					1	1	1	1	1											repute_jianghu|60418383
