STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	AcceptReputationLimit	ReputationLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	NeedVip	TimeLimitLenghtEx	AcceptArea	AcceptRepLimit	ConditionPrize
84700		º´¿÷π»Œﬁ≥¶π»		s900303	5				8	8								3174	repute_jianghu|60418383										title_84700	context_84700	accept_84700_1;menu_84700_1	complete_84700	uncom_84650	target_84700	task_TrackInfo_84650	next_84700	CanAcceptMenu_84700	UncompleteMenu_84650	CompleteMenu_84700					1	1	1	1	1			212		10416&3733|100062|conditiontext_100062|0|conditiontips_0;10416&3732|100061|conditiontext_100061|14|conditiontips_14;10416&3731|100060|conditiontext_100060|17|conditiontips_17;10416&3729|100058|conditiontext_100058|17|conditiontips_17;10416&3728|100057|conditiontext_100057|13|conditiontips_13;10416&3727|100056|conditiontext_100056|1|conditiontips_1;10416&3726|100055|conditiontext_100055|0|conditiontips_0
84701		º´¿÷π»Œﬁ≥¶π»		s900303	5				8	8								3174	repute_jianghu|60418383										title_84701	context_84701	accept_84701_1;menu_84701_1	complete_84701	uncom_84651	target_84701	task_TrackInfo_84651	next_84701	CanAcceptMenu_84701	UncompleteMenu_84651	CompleteMenu_84701					1	1	1	1	1			212		
84702		º´¿÷π»Œﬁ≥¶π»		s900303	7				8	8								3174	repute_jianghu|60418383										title_84702	context_84702	accept_84702_1;menu_84702_1	complete_84702	uncom_84652	target_84702	task_TrackInfo_84652	next_84702	CanAcceptMenu_84702	UncompleteMenu_84652	CompleteMenu_84702					1	1	1	1	1			212		
84703		º´¿÷π»Œﬁ≥¶π»		s900303	5				8	8								3174	repute_jianghu|60418383										title_84703	context_84703	accept_84703_1;menu_84703_1	complete_84703	uncom_84653	target_84703	task_TrackInfo_84653	next_84703	CanAcceptMenu_84703	UncompleteMenu_84653	CompleteMenu_84703					1	1	1	1	1			212		10416&3733|100062|conditiontext_100062|0|conditiontips_0;10416&3732|100061|conditiontext_100061|14|conditiontips_14;10416&3731|100060|conditiontext_100060|17|conditiontips_17;10416&3729|100058|conditiontext_100058|17|conditiontips_17;10416&3728|100057|conditiontext_100057|13|conditiontips_13;10416&3727|100056|conditiontext_100056|1|conditiontips_1;10416&3726|100055|conditiontext_100055|0|conditiontips_0
84704		º´¿÷π»Œﬁ≥¶π»		s900303	5				8	8								3174	repute_jianghu|60418383					31800					title_84704	context_84704	accept_84704_1;menu_84704_1	complete_84704	uncom_84654	target_84704	task_TrackInfo_84654	next_84704	CanAcceptMenu_84704	UncompleteMenu_84654	CompleteMenu_84704					1	1	1	1	1			212		
84705		º´¿÷π»Œﬁ≥¶π»		s900303	5				8	8								3174	repute_jianghu|60418383										title_84705	context_84705	accept_84705_1;menu_84705_1	complete_84705	uncom_84655	target_84705	task_TrackInfo_84655	next_84705	CanAcceptMenu_84705	UncompleteMenu_84655	CompleteMenu_84705					1	1	1	1	1			212		10416&3733|100062|conditiontext_100062|0|conditiontips_0;10416&3732|100061|conditiontext_100061|14|conditiontips_14;10416&3731|100060|conditiontext_100060|17|conditiontips_17;10416&3729|100058|conditiontext_100058|17|conditiontips_17;10416&3728|100057|conditiontext_100057|13|conditiontips_13;10416&3727|100056|conditiontext_100056|1|conditiontips_1;10416&3726|100055|conditiontext_100055|0|conditiontips_0
84706		º´¿÷π»Œﬁ≥¶π»		s900303	7				8	8								3174	repute_jianghu|60418383										title_84706	context_84706	accept_84706_1;menu_84706_1	complete_84706	uncom_84656	target_84706	task_TrackInfo_84656	next_84706	CanAcceptMenu_84706	UncompleteMenu_84656	CompleteMenu_84706					1	1	1	1	1			212		
84707		º´¿÷π»Œﬁ≥¶π»		s900303	5				8	8								3174	repute_jianghu|60418383										title_84707	context_84707	accept_84707_1;menu_84707_1	complete_84707	uncom_84657	target_84707	task_TrackInfo_84657	next_84707	CanAcceptMenu_84707	UncompleteMenu_84657	CompleteMenu_84707					1	1	1	1	1			212		10416&3733|100062|conditiontext_100062|0|conditiontips_0;10416&3732|100061|conditiontext_100061|14|conditiontips_14;10416&3731|100060|conditiontext_100060|17|conditiontips_17;10416&3729|100058|conditiontext_100058|17|conditiontips_17;10416&3728|100057|conditiontext_100057|13|conditiontips_13;10416&3727|100056|conditiontext_100056|1|conditiontips_1;10416&3726|100055|conditiontext_100055|0|conditiontips_0
84708		º´¿÷π»Œﬁ≥¶π»		s900303	5				8	8								3174	repute_jianghu|60418383										title_84708	context_84708	accept_84708_1;menu_84708_1	complete_84708	uncom_84658	target_84708	task_TrackInfo_84658	next_84708	CanAcceptMenu_84708	UncompleteMenu_84658	CompleteMenu_84708					1	1	1	1	1			212		
