STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	AcceptArea	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	NeedVip	TimeLimitLenghtEx	Plot	NotShowMenu	Relation	LuckValue	AcceptDecMoney	ReputationLimit	AcceptRepLimit 	ConditionPrize	ReputationLimit	AcceptReputationLimit
84208	Ωı“¬Œ¿÷˜Ω®÷˛»∫		s870101	181	5	WorldNpc04110	WorldNpc04110	5	5					15539;25665							title_84208	context_84208	accept_84208_1;menu_84208_1	complete_84208	uncom_84208	target_84208	task_TrackInfo_84208	next_84208	CanAcceptMenu_84208	UncompleteMenu_84208	CompleteMenu_84208					1	1	1	1	1												repute_jianghu|700
84150	Ωı“¬Œ¿÷˜Ω®÷˛»∫		s870101	181	5	WorldNpc04321	WorldNpc04321	5	5					15539;25665							title_84150	context_84150	accept_84150_1;menu_84150_1	complete_84150	uncom_84150	target_84150	task_TrackInfo_84150	next_84150	CanAcceptMenu_84150	UncompleteMenu_84150	CompleteMenu_84150					1	1	1	1	1												repute_jianghu|700
84174	Ωı“¬Œ¿÷˜Ω®÷˛»∫		s870101	181	5	WorldNpc04324	WorldNpc04324	5	5					3174;25665			29601				title_84174	context_84174	accept_84174_1;menu_84174_1	complete_84174	uncom_84174	target_84174	task_TrackInfo_84174	next_84174	CanAcceptMenu_84174	UncompleteMenu_84174	CompleteMenu_84174					1	1	1	1	1										10416&3688|100017|conditiontext_100017|0|conditiontips_0;10416&3687|100016|conditiontext_100016|14|conditiontips_14;10416&3686|100015|conditiontext_100015|17|conditiontips_17;10416&3684|100013|conditiontext_100013|17|conditiontips_17;10416&3683|100012|conditiontext_100012|13|conditiontips_13;10416&3682|100011|conditiontext_100011|1|conditiontips_1;10416&3681|100010|conditiontext_100010|0|conditiontips_0		repute_jianghu|60418383
84165	Ωı“¬Œ¿÷˜Ω®÷˛»∫		s870101	181	5	WorldNpc04327	WorldNpc04327	5	5					15539;25665							title_84165	context_84165	accept_84165_1;menu_84165_1	complete_84165	uncom_84165	target_84165	task_TrackInfo_84165	next_84165	CanAcceptMenu_84165	UncompleteMenu_84165	CompleteMenu_84165					1	1	1	1	1												repute_jianghu|700
84178	Ωı“¬Œ¿÷˜Ω®÷˛»∫		s870101	181	5	WorldNpc04328	WorldNpc04328	5	5					15539;25665							title_84178	context_84178	accept_84178_1;menu_84178_1	complete_84178	uncom_84178	target_84178	task_TrackInfo_84178	next_84178	CanAcceptMenu_84178	UncompleteMenu_84178	CompleteMenu_84178					1	1	1	1	1										10416&3688|100017|conditiontext_100017|0|conditiontips_0;10416&3687|100016|conditiontext_100016|14|conditiontips_14;10416&3686|100015|conditiontext_100015|17|conditiontips_17;10416&3684|100013|conditiontext_100013|17|conditiontips_17;10416&3683|100012|conditiontext_100012|13|conditiontips_13;10416&3682|100011|conditiontext_100011|1|conditiontips_1;10416&3681|100010|conditiontext_100010|0|conditiontips_0		repute_jianghu|700
84166	Ωı“¬Œ¿÷˜Ω®÷˛»∫		s870101	181	7	WorldNpc04328	WorldNpc04328	5	5					3174;15539;10416;3685;25665							title_84166	context_84166	accept_84166_1;menu_84166_1	complete_84166	uncom_84166	target_84166	task_TrackInfo_84166	next_84166	CanAcceptMenu_84166	UncompleteMenu_84166	CompleteMenu_84166					1	1	1	1	1												repute_jianghu|60418383
84179	Ωı“¬Œ¿¬“‘·∏⁄		s870101	181	5	WorldNpc04329	WorldNpc04329	5	5					15539;25665							title_84179	context_84179	accept_84179_1;menu_84179_1	complete_84179	uncom_84179	target_84179	task_TrackInfo_84179	next_84179	CanAcceptMenu_84179	UncompleteMenu_84179	CompleteMenu_84179					1	1	1	1	1												repute_jianghu|700
84167	Ωı“¬Œ¿¬“‘·∏⁄		s870101	181	7		WorldNpc04329	5	5					15539;10416;3688;25665							title_84167	context_84167	accept_84167_1;menu_84167_1	complete_84167	uncom_84167	target_84167	task_TrackInfo_84167	next_84167	CanAcceptMenu_84167	UncompleteMenu_84167	CompleteMenu_84167					1	1	1	1	1												repute_jianghu|700
84180	Ωı“¬Œ¿÷˜Ω®÷˛»∫		s870101	181	5	WorldNpc04330	WorldNpc04330	5	5					15539;25665							title_84180	context_84180	accept_84180_1;menu_84180_1	complete_84180	uncom_84180	target_84180	task_TrackInfo_84180	next_84180	CanAcceptMenu_84180	UncompleteMenu_84180	CompleteMenu_84180					1	1	1	1	1										10416&3688|100017|conditiontext_100017|0|conditiontips_0;10416&3687|100016|conditiontext_100016|14|conditiontips_14;10416&3686|100015|conditiontext_100015|17|conditiontips_17;10416&3684|100013|conditiontext_100013|17|conditiontips_17;10416&3683|100012|conditiontext_100012|13|conditiontips_13;10416&3682|100011|conditiontext_100011|1|conditiontips_1;10416&3681|100010|conditiontext_100010|0|conditiontips_0		repute_jianghu|700
