STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	NeedVip	TimeLimitLenghtEx	AcceptArea	AcceptRepLimit	ConditionPrize	ReputationLimit	AcceptReputationLimit
81800		洛阳主城		s760101	7	WorldNpc10067	WorldNpc10067		16	16								3174;10416;3672;15539;25665									title_81800	context_81800	accept_81800_1;menu_81800_1	complete_81800	uncom_81800	target_81800	task_TrackInfo_81800	next_81800	CanAcceptMenu_81800	UncompleteMenu_81800	CompleteMenu_81800					1	0	1	1	1			72				repute_jianghu|60418383
81801		洛阳主城		s760101	5	WorldNpc10140	WorldNpc10140		16	16								15539;25665				23600					title_81801	context_81801	accept_81801_1;menu_81801_1	complete_81801	uncom_81801	target_81801	task_TrackInfo_81801	next_81801	CanAcceptMenu_81801	UncompleteMenu_81801	CompleteMenu_81801					1	0	1	1	1			72		10416&3679|100008|conditiontext_100008|0|conditiontips_0;10416&3678|100007|conditiontext_100007|14|conditiontips_14;10416&3677|100006|conditiontext_100006|17|conditiontips_17;10416&3676|100005|conditiontext_100005|13|conditiontips_13;10416&3675|100004|conditiontext_100004|17|conditiontips_17;10416&3674|100003|conditiontext_100003|13|conditiontips_13;10416&3673|100002|conditiontext_100002|1|conditiontips_1;10416&3672|100001|conditiontext_100001|0|conditiontips_0		repute_jianghu|700
81802		洛阳主城		s760101	5	WorldNpc10195	WorldNpc10195		16	16								15539;25665				23601					title_81802	context_81802	accept_81802_1;menu_81802_1	complete_81802	uncom_81802	target_81802	task_TrackInfo_81802	next_81802	CanAcceptMenu_81802	UncompleteMenu_81802	CompleteMenu_81802					1	0	1	1	1			72				repute_jianghu|700
81803		洛阳主城		s760101	5	WorldNpc10197	WorldNpc10197		16	16								15539;25665									title_81803	context_81803	accept_81803_1;menu_81803_1	complete_81803	uncom_81803	target_81803	task_TrackInfo_81803	next_81803	CanAcceptMenu_81803	UncompleteMenu_81803	CompleteMenu_81803					1	0	1	1	1			72		10416&3679|100008|conditiontext_100008|0|conditiontips_0;10416&3678|100007|conditiontext_100007|14|conditiontips_14;10416&3677|100006|conditiontext_100006|17|conditiontips_17;10416&3676|100005|conditiontext_100005|13|conditiontips_13;10416&3675|100004|conditiontext_100004|17|conditiontips_17;10416&3674|100003|conditiontext_100003|13|conditiontips_13;10416&3673|100002|conditiontext_100002|1|conditiontips_1;10416&3672|100001|conditiontext_100001|0|conditiontips_0		repute_jianghu|700
81804		洛阳主城		s760101	5	WorldNpc10211	WorldNpc10211		16	16								15539;25665									title_81804	context_81804	accept_81804_1;menu_81804_1	complete_81804	uncom_81804	target_81804	task_TrackInfo_81804	next_81804	CanAcceptMenu_81804	UncompleteMenu_81804	CompleteMenu_81804					1	0	1	1	1			72				repute_jianghu|700
81805		洛阳主城		s760101	7	WorldNpc10208	WorldNpc10208		16	16								3174;10416;3673;15539;25665									title_81805	context_81805	accept_81805_1;menu_81805_1	complete_81805	uncom_81805	target_81805	task_TrackInfo_81805	next_81805	CanAcceptMenu_81805	UncompleteMenu_81805	CompleteMenu_81805					1	0	1	1	1			72				repute_jianghu|60418383
81806		洛阳主城		s760101	5	WorldNpc10209	WorldNpc10209		16	16								15539;25665									title_81806	context_81806	accept_81806_1;menu_81806_1	complete_81806	uncom_81806	target_81806	task_TrackInfo_81806	next_81806	CanAcceptMenu_81806	UncompleteMenu_81806	CompleteMenu_81806					1	0	1	1	1			72		10416&3679|100008|conditiontext_100008|0|conditiontips_0;10416&3678|100007|conditiontext_100007|14|conditiontips_14;10416&3677|100006|conditiontext_100006|17|conditiontips_17;10416&3676|100005|conditiontext_100005|13|conditiontips_13;10416&3675|100004|conditiontext_100004|17|conditiontips_17;10416&3674|100003|conditiontext_100003|13|conditiontips_13;10416&3673|100002|conditiontext_100002|1|conditiontips_1;10416&3672|100001|conditiontext_100001|0|conditiontips_0		repute_jianghu|700
81807		洛阳主城		s760101	5	WorldNpc10191	WorldNpc10191		16	16								15539;25665									title_81807	context_81807	accept_81807_1;menu_81807_1	complete_81807	uncom_81807	target_81807	task_TrackInfo_81807	next_81807	CanAcceptMenu_81807	UncompleteMenu_81807	CompleteMenu_81807					1	0	1	1	1			72				repute_jianghu|700
81808		洛阳主城		s760101	5	WorldNpc10188	ly367		16	16								15539;25665									title_81808	context_81808	accept_81808_1;menu_81808_1	complete_81808;submit_81808	uncom_81808	target_81808	task_TrackInfo_81808	next_81808	CanAcceptMenu_81808	UncompleteMenu_81808	CompleteMenu_81808					1	0	1	1	1			72		10416&3679|100008|conditiontext_100008|0|conditiontips_0;10416&3678|100007|conditiontext_100007|14|conditiontips_14;10416&3677|100006|conditiontext_100006|17|conditiontips_17;10416&3676|100005|conditiontext_100005|13|conditiontips_13;10416&3675|100004|conditiontext_100004|17|conditiontips_17;10416&3674|100003|conditiontext_100003|13|conditiontips_13;10416&3673|100002|conditiontext_100002|1|conditiontips_1;10416&3672|100001|conditiontext_100001|0|conditiontips_0		repute_jianghu|700
