STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	AcceptReputationLimit	ReputationLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	NeedVip	TimeLimitLenghtEx	AcceptArea	AcceptRepLimit	ConditionPrize
82501		≈Ó¿≥œ…æ≥Ã´““œ…æ≥		s790202	5	WorldNpc02157	WorldNpc02157		19	19								3174;3168	repute_jianghu|60418383										title_82501	context_82501	accept_82501_1;menu_82501_1	complete_82501		target_82501		next_82501	CanAcceptMenu_82501		CompleteMenu_82501					1	1	1	1	1			102		
82502		≈Ó¿≥œ…æ≥Ã´““œ…æ≥		s790202	5	WorldNpc02157	WorldNpc02158		19	19								3174;3168	repute_jianghu|60418383										title_82502	context_82502	accept_82502_1;menu_82502_1	complete_82502		target_82502		next_82502	CanAcceptMenu_82502		CompleteMenu_82502					1	1	1	1	1			102		10416&3769|100098|conditiontext_100098|0|conditiontips_0;10416&3768|100097|conditiontext_100097|14|conditiontips_14;10416&3767|100096|conditiontext_100096|17|conditiontips_17;10416&3765|100094|conditiontext_100094|17|conditiontips_17;10416&3764|100093|conditiontext_100093|13|conditiontips_13;10416&3763|100092|conditiontext_100092|1|conditiontips_1;10416&3762|100091|conditiontext_100091|0|conditiontips_0
82503		≈Ó¿≥œ…æ≥Ã´““œ…æ≥		s790202	7	WorldNpc02158	WorldNpc02158		19	19								3174;3168;10416;3766	repute_jianghu|60418383										title_82503	context_82503	accept_82503_1;menu_82503_1	complete_82503		target_82503		next_82503	CanAcceptMenu_82503		CompleteMenu_82503					1	1	1	1	1			102		
82504		≈Ó¿≥œ…æ≥Ã´““œ…æ≥		s790202	5	WorldNpc02159	WorldNpc02159		19	19								3174;3168	repute_jianghu|60418383					37701					title_82504	context_82504	accept_82504_1;menu_82504_1	complete_82504		target_82504		next_82504	CanAcceptMenu_82504		CompleteMenu_82504					1	1	1	1	1			102		
82505		≈Ó¿≥œ…æ≥Ã´““œ…æ≥		s790202	5	WorldNpc02159	WorldNpc02159		19	19								3174;3168	repute_jianghu|60418383										title_82505	context_82505	accept_82505_1;menu_82505_1	complete_82505		target_82505		next_82505	CanAcceptMenu_82505		CompleteMenu_82505					1	1	1	1	1			102		10416&3769|100098|conditiontext_100098|0|conditiontips_0;10416&3768|100097|conditiontext_100097|14|conditiontips_14;10416&3767|100096|conditiontext_100096|17|conditiontips_17;10416&3765|100094|conditiontext_100094|17|conditiontips_17;10416&3764|100093|conditiontext_100093|13|conditiontips_13;10416&3763|100092|conditiontext_100092|1|conditiontips_1;10416&3762|100091|conditiontext_100091|0|conditiontips_0
82506		≈Ó¿≥œ…æ≥Ã´““œ…æ≥		s790202	7	WorldNpc02160	WorldNpc02160		19	19								3174;3168;10416;3767	repute_jianghu|60418383										title_82506	context_82506	accept_82506_1;menu_82506_1	complete_82506		target_82506		next_82506	CanAcceptMenu_82506		CompleteMenu_82506					1	1	1	1	1			102		
82507		≈Ó¿≥œ…æ≥Ã´““œ…æ≥		s790202	5	WorldNpc02161	WorldNpc02161		19	19								3174;3168	repute_jianghu|60418383					37700					title_82507	context_82507	accept_82507_1;menu_82507_1	complete_82507		target_82507		next_82507	CanAcceptMenu_82507		CompleteMenu_82507					1	1	1	1	1			102		
82508		≈Ó¿≥œ…æ≥Ã´““œ…æ≥		s790202	5	WorldNpc02161	WorldNpc02161		19	19								3174;3168	repute_jianghu|60418383										title_82508	context_82508	accept_82508_1;menu_82508_1	complete_82508		target_82508		next_82508	CanAcceptMenu_82508		CompleteMenu_82508					1	1	1	1	1			102		10416&3769|100098|conditiontext_100098|0|conditiontips_0;10416&3768|100097|conditiontext_100097|14|conditiontips_14;10416&3767|100096|conditiontext_100096|17|conditiontips_17;10416&3765|100094|conditiontext_100094|17|conditiontips_17;10416&3764|100093|conditiontext_100093|13|conditiontips_13;10416&3763|100092|conditiontext_100092|1|conditiontips_1;10416&3762|100091|conditiontext_100091|0|conditiontips_0
82509		≈Ó¿≥œ…æ≥Ã´““œ…æ≥		s790202	5	WorldNpc02159	WorldNpc02159		19	19								3174;3168	repute_jianghu|60418383										title_82509	context_82509	accept_82509_1;menu_82509_1	complete_82509		target_82509		next_82509	CanAcceptMenu_82509		CompleteMenu_82509					1	1	1	1	1			102		
82510		≈Ó¿≥œ…æ≥Ã´““œ…æ≥		s790202	5	WorldNpc02162	WorldNpc02162		19	19								3174;3168	repute_jianghu|60418383										title_82510	context_82510	accept_82510_1;menu_82510_1	complete_82510		target_82510		next_82510	CanAcceptMenu_82510		CompleteMenu_82510					1	1	1	1	1			102		10416&3769|100098|conditiontext_100098|0|conditiontips_0;10416&3768|100097|conditiontext_100097|14|conditiontips_14;10416&3767|100096|conditiontext_100096|17|conditiontips_17;10416&3765|100094|conditiontext_100094|17|conditiontips_17;10416&3764|100093|conditiontext_100093|13|conditiontips_13;10416&3763|100092|conditiontext_100092|1|conditiontips_1;10416&3762|100091|conditiontext_100091|0|conditiontips_0
82512		≈Ó¿≥œ…æ≥Ã´““œ…æ≥		s790202	7	WorldNpc02164	WorldNpc02164		19	19								3174;3168;10416;3768	repute_jianghu|60418383										title_82512	context_82512	accept_82512_1;menu_82512_1	complete_82512		target_82512		next_82512	CanAcceptMenu_82512		CompleteMenu_82512					1	1	1	1	1			102		
82513		≈Ó¿≥œ…æ≥Ã´““œ…æ≥		s790202	5	WorldNpc02161	WorldNpc02161		19	19								3174;3168	repute_jianghu|60418383										title_82513	context_82513	accept_82513_1;menu_82513_1	complete_82513		target_82513		next_82513	CanAcceptMenu_82513		CompleteMenu_82513					1	1	1	1	1			102		
82514		≈Ó¿≥œ…æ≥Ã´““œ…æ≥		s790202	5	WorldNpc02166	WorldNpc02166		19	19								3174;3168	repute_jianghu|60418383										title_82514	context_82514	accept_82514_1;menu_82514_1	complete_82514		target_82514		next_82514	CanAcceptMenu_82514		CompleteMenu_82514					1	1	1	1	1			102		10416&3769|100098|conditiontext_100098|0|conditiontips_0;10416&3768|100097|conditiontext_100097|14|conditiontips_14;10416&3767|100096|conditiontext_100096|17|conditiontips_17;10416&3765|100094|conditiontext_100094|17|conditiontips_17;10416&3764|100093|conditiontext_100093|13|conditiontips_13;10416&3763|100092|conditiontext_100092|1|conditiontips_1;10416&3762|100091|conditiontext_100091|0|conditiontips_0
82515		≈Ó¿≥œ…æ≥Ã´““œ…æ≥		s790202	5	WorldNpc02166	WorldNpc02166		19	19								3174;3168	repute_jianghu|60418383										title_82515	context_82515	accept_82515_1;menu_82515_1	complete_82515		target_82515		next_82515	CanAcceptMenu_82515		CompleteMenu_82515					1	1	1	1	1			102		
82516		≈Ó¿≥œ…æ≥Ã´““œ…æ≥		s790202	7	WorldNpc02167	WorldNpc02167		19	19								3174;3168;10416;3769	repute_jianghu|60418383										title_82516	context_82516	accept_82516_1;menu_82516_1	complete_82516		target_82516		next_82516	CanAcceptMenu_82516		CompleteMenu_82516					1	1	1	1	1			102		
82517		≈Ó¿≥œ…æ≥Ã´““œ…æ≥		s790202	5	WorldNpc02167	WorldNpc02167		19	19								3174;3168	repute_jianghu|60418383										title_82517	context_82517	accept_82517_1;menu_82517_1	complete_82517		target_82517		next_82517	CanAcceptMenu_82517		CompleteMenu_82517					1	1	1	1	1			102		10416&3769|100098|conditiontext_100098|0|conditiontips_0;10416&3768|100097|conditiontext_100097|14|conditiontips_14;10416&3767|100096|conditiontext_100096|17|conditiontips_17;10416&3765|100094|conditiontext_100094|17|conditiontips_17;10416&3764|100093|conditiontext_100093|13|conditiontips_13;10416&3763|100092|conditiontext_100092|1|conditiontips_1;10416&3762|100091|conditiontext_100091|0|conditiontips_0
