STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	AcceptArea	AcceptRepLimit	ConditionPrize	ReputationLimit	AcceptReputationLimit
80192	Ç§µÆÕòÌôµÆÑÂ		s690303	5			1	1					3174								title_80192	context_80192	accept_80192_1;menu_80192_1	complete_80192	uncom_80192	target_80192	task_TrackInfo_80192	next_80192	CanAcceptMenu_80192	UncompleteMenu_80192	CompleteMenu_80192					1	1	1	1	1			32		10416&3706|100035|conditiontext_100035|0|conditiontips_0;10416&3705|100034|conditiontext_100034|14|conditiontips_14;10416&3704|100033|conditiontext_100033|17|conditiontips_17;10416&3702|100031|conditiontext_100031|17|conditiontips_17;10416&3701|100030|conditiontext_100030|13|conditiontips_13;10416&3700|100029|conditiontext_100029|1|conditiontips_1;10416&3699|100028|conditiontext_100028|0|conditiontips_0		repute_jianghu|60418383
80193	Ç§µÆÕòÌôµÆÑÂ		s690303	7			1	1					3174								title_80193	context_80193	accept_80193_1;menu_80193_1	complete_80193	uncom_80193	target_80193	task_TrackInfo_80193	next_80193	CanAcceptMenu_80193	UncompleteMenu_80193	CompleteMenu_80193					1	1	1	1	1			32				repute_jianghu|60418383
80194	Ç§µÆÕòÌôµÆÑÂ		s690303	5			1	1					3174								title_80194	context_80194	accept_80194_1;menu_80194_1	complete_80194	uncom_80194	target_80194	task_TrackInfo_80194	next_80194	CanAcceptMenu_80194	UncompleteMenu_80194	CompleteMenu_80194					1	1	1	1	1			32		10416&3706|100035|conditiontext_100035|0|conditiontips_0;10416&3705|100034|conditiontext_100034|14|conditiontips_14;10416&3704|100033|conditiontext_100033|17|conditiontips_17;10416&3702|100031|conditiontext_100031|17|conditiontips_17;10416&3701|100030|conditiontext_100030|13|conditiontips_13;10416&3700|100029|conditiontext_100029|1|conditiontips_1;10416&3699|100028|conditiontext_100028|0|conditiontips_0		repute_jianghu|60418383
80195	Ç§µÆÕòÌôµÆÑÂ		s690303	5			1	1					3174								title_80195	context_80195	accept_80195_1;menu_80195_1	complete_80195	uncom_80195	target_80195	task_TrackInfo_80195	next_80195	CanAcceptMenu_80195	UncompleteMenu_80195	CompleteMenu_80195					1	1	1	1	1			32				repute_jianghu|60418383
80196	Ç§µÆÕòÌôµÆÑÂ		s690303	5			1	1					3174								title_80196	context_80196	accept_80196_1;menu_80196_1	complete_80196	uncom_80196	target_80196	task_TrackInfo_80196	next_80196	CanAcceptMenu_80196	UncompleteMenu_80196	CompleteMenu_80196					1	1	1	1	1			32		10416&3706|100035|conditiontext_100035|0|conditiontips_0;10416&3705|100034|conditiontext_100034|14|conditiontips_14;10416&3704|100033|conditiontext_100033|17|conditiontips_17;10416&3702|100031|conditiontext_100031|17|conditiontips_17;10416&3701|100030|conditiontext_100030|13|conditiontips_13;10416&3700|100029|conditiontext_100029|1|conditiontips_1;10416&3699|100028|conditiontext_100028|0|conditiontips_0		repute_jianghu|60418383
80197	Ç§µÆÕòÌôµÆÑÂ		s690303	7			1	1					3174								title_80197	context_80197	accept_80197_1;menu_80197_1	complete_80197	uncom_80197	target_80197	task_TrackInfo_80197	next_80197	CanAcceptMenu_80197	UncompleteMenu_80197	CompleteMenu_80197					1	1	1	1	1			32				repute_jianghu|60418383
80198	Ç§µÆÕòÌôµÆÑÂ		s690303	5			1	1					3174								title_80198	context_80198	accept_80198_1;menu_80198_1	complete_80198	uncom_80198	target_80198	task_TrackInfo_80198	next_80198	CanAcceptMenu_80198	UncompleteMenu_80198	CompleteMenu_80198					1	1	1	1	1			32				repute_jianghu|60418383
80199	Ç§µÆÕòÌôµÆÑÂ		s690303	5			1	1				80200	3174								title_80199	context_80199	accept_80199_1;menu_80199_1	complete_80199	uncom_80199	target_80199	task_TrackInfo_80199	next_80199	CanAcceptMenu_80199	UncompleteMenu_80199	CompleteMenu_80199					1	1	1	1	1			32		10416&3706|100035|conditiontext_100035|0|conditiontips_0;10416&3705|100034|conditiontext_100034|14|conditiontips_14;10416&3704|100033|conditiontext_100033|17|conditiontips_17;10416&3702|100031|conditiontext_100031|17|conditiontips_17;10416&3701|100030|conditiontext_100030|13|conditiontips_13;10416&3700|100029|conditiontext_100029|1|conditiontips_1;10416&3699|100028|conditiontext_100028|0|conditiontips_0		repute_jianghu|60418383
80200	Ç§µÆÕòÌôµÆÑÂ		s690303	5			1	1					3174								title_80200	context_80200	accept_80200_1;menu_80200_1	complete_80200	uncom_80200	target_80200	task_TrackInfo_80200	next_80200	CanAcceptMenu_80200	UncompleteMenu_80200	CompleteMenu_80200					1	1	1	1	1			32				repute_jianghu|60418383
80201	Ç§µÆÕòÌôµÆÑÂ		s690303	5			1	1					3174								title_80201	context_80201	accept_80201_1;menu_80201_1	complete_80201	uncom_80201	target_80201	task_TrackInfo_80201	next_80201	CanAcceptMenu_80201	UncompleteMenu_80201	CompleteMenu_80201					1	1	1	1	1			32		10416&3706|100035|conditiontext_100035|0|conditiontips_0;10416&3705|100034|conditiontext_100034|14|conditiontips_14;10416&3704|100033|conditiontext_100033|17|conditiontips_17;10416&3702|100031|conditiontext_100031|17|conditiontips_17;10416&3701|100030|conditiontext_100030|13|conditiontips_13;10416&3700|100029|conditiontext_100029|1|conditiontips_1;10416&3699|100028|conditiontext_100028|0|conditiontips_0		repute_jianghu|60418383
