STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ReputationLimit	AcceptArea	AcceptRepLimit	ConditionPrize	AcceptReputationLimit
83950	塞北草原九曲牧场		s860202	7	WorldNpc06937	WorldNpc06937	26	26					3169;10416;3741								title_83950	context_83950	accept_83950_1;menu_83950_1	complete_83950		target_83950		next_83950	CanAcceptMenu_83950		CompleteMenu_83950					1	1	1	1	1				172			repute_jianghu|4432383
83951	塞北草原九曲牧场		s860202	5	WorldNpc06938	WorldNpc06938	26	26					3169								title_83951	context_83951	accept_83951_1;menu_83951_1	complete_83951		target_83951		next_83951	CanAcceptMenu_83951		CompleteMenu_83951					1	1	1	1	1				172		10416&3742|100071|conditiontext_100071|0|conditiontips_0;10416&3741|100070|conditiontext_100070|14|conditiontips_14;10416&3740|100069|conditiontext_100069|17|conditiontips_17;10416&3739|100068|conditiontext_100068|13|conditiontips_13;10416&3738|100067|conditiontext_100067|17|conditiontips_17;10416&3737|100066|conditiontext_100066|13|conditiontips_13;10416&3736|100065|conditiontext_100065|1|conditiontips_1;10416&3735|100064|conditiontext_100064|0|conditiontips_0	repute_jianghu|4432383
83952	塞北草原九曲牧场		s860202	5	WorldNpc06939	WorldNpc06939	26	26					3169								title_83952	context_83952	accept_83952_1;menu_83952_1	complete_83952		target_83952		next_83952	CanAcceptMenu_83952		CompleteMenu_83952					1	1	1	1	1				172			repute_jianghu|4432383
83953	塞北草原九曲牧场		s860202	5	WorldNpc06929	WorldNpc06929	26	26					3169								title_83953	context_83953	accept_83953_1;menu_83953_1	complete_83953		target_83953		next_83953	CanAcceptMenu_83953		CompleteMenu_83953					1	1	1	1	1				172		10416&3742|100071|conditiontext_100071|0|conditiontips_0;10416&3741|100070|conditiontext_100070|14|conditiontips_14;10416&3740|100069|conditiontext_100069|17|conditiontips_17;10416&3739|100068|conditiontext_100068|13|conditiontips_13;10416&3738|100067|conditiontext_100067|17|conditiontips_17;10416&3737|100066|conditiontext_100066|13|conditiontips_13;10416&3736|100065|conditiontext_100065|1|conditiontips_1;10416&3735|100064|conditiontext_100064|0|conditiontips_0	repute_jianghu|4432383
83954	塞北草原九曲牧场		s860202	7	WorldNpc06930	WorldNpc06930	26	26					3169;10416;3742								title_83954	context_83954	accept_83954_1;menu_83954_1	complete_83954		target_83954		next_83954	CanAcceptMenu_83954		CompleteMenu_83954					1	1	1	1	1				172			repute_jianghu|4432383
83955	塞北草原九曲牧场		s860202	5	WorldNpc06931	WorldNpc06931	26	26					3169								title_83955	context_83955	accept_83955_1;menu_83955_1	complete_83955		target_83955		next_83955	CanAcceptMenu_83955		CompleteMenu_83955					1	1	1	1	1				172		10416&3742|100071|conditiontext_100071|0|conditiontips_0;10416&3741|100070|conditiontext_100070|14|conditiontips_14;10416&3740|100069|conditiontext_100069|17|conditiontips_17;10416&3739|100068|conditiontext_100068|13|conditiontips_13;10416&3738|100067|conditiontext_100067|17|conditiontips_17;10416&3737|100066|conditiontext_100066|13|conditiontips_13;10416&3736|100065|conditiontext_100065|1|conditiontips_1;10416&3735|100064|conditiontext_100064|0|conditiontips_0	repute_jianghu|4432383
83956	塞北草原九曲牧场		s860202	5	WorldNpc06932	WorldNpc06932	26	26					3169								title_83956	context_83956	accept_83956_1;menu_83956_1	complete_83956		target_83956		next_83956	CanAcceptMenu_83956		CompleteMenu_83956					1	1	1	1	1				172			repute_jianghu|4432383
83957	塞北草原九曲牧场		s860202	7	WorldNpc06933	WorldNpc06933	26	26					3169;10416;3740								title_83957	context_83957	accept_83957_1;menu_83957_1	complete_83957		target_83957		next_83957	CanAcceptMenu_83957		CompleteMenu_83957					1	1	1	1	1				172			repute_jianghu|4432383
83958	塞北草原九曲牧场		s860202	5	WorldNpc06934	WorldNpc06934	26	26					3169								title_83958	context_83958	accept_83958_1;menu_83958_1	complete_83958		target_83958		next_83958	CanAcceptMenu_83958		CompleteMenu_83958					1	1	1	1	1				172		10416&3742|100071|conditiontext_100071|0|conditiontips_0;10416&3741|100070|conditiontext_100070|14|conditiontips_14;10416&3740|100069|conditiontext_100069|17|conditiontips_17;10416&3739|100068|conditiontext_100068|13|conditiontips_13;10416&3738|100067|conditiontext_100067|17|conditiontips_17;10416&3737|100066|conditiontext_100066|13|conditiontips_13;10416&3736|100065|conditiontext_100065|1|conditiontips_1;10416&3735|100064|conditiontext_100064|0|conditiontips_0	repute_jianghu|4432383
