STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ReputationLimit	AcceptArea	AcceptRepLimit	AcceptReputationLimit
84050	塞北草原西夏王陵		s860404	5	WorldNpc07254	WorldNpc07254	26	26					3171								title_84050	context_84050	accept_84050_1;menu_84050_1	complete_84050		target_84050		next_84050	CanAcceptMenu_84050		CompleteMenu_84050					1	1	1	1	1				173	10416&3751|100080|conditiontext_100080|0|conditiontips_0;10416&3750|100079|conditiontext_100079|14|conditiontips_14;10416&3749|100078|conditiontext_100078|17|conditiontips_17;10416&3747|100076|conditiontext_100076|17|conditiontips_17;10416&3746|100075|conditiontext_100075|13|conditiontips_13;10416&3745|100074|conditiontext_100074|1|conditiontips_1;10416&3744|100073|conditiontext_100073|0|conditiontips_0	repute_jianghu|14578383
84051	塞北草原西夏王陵		s860404	5	WorldNpc07255	WorldNpc07255	26	26					3171								title_84051	context_84051	accept_84051_1;menu_84051_1	complete_84051		target_84051		next_84051	CanAcceptMenu_84051		CompleteMenu_84051					1	1	1	1	1				173		repute_jianghu|14578383
84052	塞北草原西夏王陵		s860404	5	WorldNpc07252	WorldNpc07253	26	26					3171								title_84052	context_84052	accept_84052_1;menu_84052_1	complete_84052		target_84052		next_84052	CanAcceptMenu_84052		CompleteMenu_84052					1	1	1	1	1				173	10416&3751|100080|conditiontext_100080|0|conditiontips_0;10416&3750|100079|conditiontext_100079|14|conditiontips_14;10416&3749|100078|conditiontext_100078|17|conditiontips_17;10416&3747|100076|conditiontext_100076|17|conditiontips_17;10416&3746|100075|conditiontext_100075|13|conditiontips_13;10416&3745|100074|conditiontext_100074|1|conditiontips_1;10416&3744|100073|conditiontext_100073|0|conditiontips_0	repute_jianghu|14578383
84053	塞北草原西夏王陵		s860404	7	WorldNpc07251	WorldNpc07251	26	26					3171;10416;3752								title_84053	context_84053	accept_84053_1;menu_84053_1	complete_84053		target_84053		next_84053	CanAcceptMenu_84053		CompleteMenu_84053					1	1	1	1	1				173		repute_jianghu|14578383
84054	塞北草原西夏王陵		s860404	5	WorldNpc07257	WorldNpc07257	26	26					3171			42780					title_84054	context_84054	accept_84054_1;menu_84054_1	complete_84054		target_84054		next_84054	CanAcceptMenu_84054		CompleteMenu_84054					1	1	1	1	1				173		repute_jianghu|14578383
84055	塞北草原西夏王陵		s860404	5	WorldNpc07262	WorldNpc07262	26	26					3171			42781					title_84055	context_84055	accept_84055_1;menu_84055_1	complete_84055		target_84055		next_84055	CanAcceptMenu_84055		CompleteMenu_84055					1	1	1	1	1				173	10416&3751|100080|conditiontext_100080|0|conditiontips_0;10416&3750|100079|conditiontext_100079|14|conditiontips_14;10416&3749|100078|conditiontext_100078|17|conditiontips_17;10416&3747|100076|conditiontext_100076|17|conditiontips_17;10416&3746|100075|conditiontext_100075|13|conditiontips_13;10416&3745|100074|conditiontext_100074|1|conditiontips_1;10416&3744|100073|conditiontext_100073|0|conditiontips_0	repute_jianghu|14578383
84056	塞北草原西夏王陵		s860404	5	WorldNpc07262	WorldNpc07262	26	26					3171								title_84056	context_84056	accept_84056_1;menu_84056_1	complete_84056		target_84056		next_84056	CanAcceptMenu_84056		CompleteMenu_84056					1	1	1	1	1				173		repute_jianghu|14578383
84057	塞北草原西夏王陵		s860404	5	WorldNpc07263	WorldNpc07263	26	26					3171								title_84057	context_84057	accept_84057_1;menu_84057_1	complete_84057		target_84057		next_84057	CanAcceptMenu_84057		CompleteMenu_84057					1	1	1	1	1				173	10416&3751|100080|conditiontext_100080|0|conditiontips_0;10416&3750|100079|conditiontext_100079|14|conditiontips_14;10416&3749|100078|conditiontext_100078|17|conditiontips_17;10416&3747|100076|conditiontext_100076|17|conditiontips_17;10416&3746|100075|conditiontext_100075|13|conditiontips_13;10416&3745|100074|conditiontext_100074|1|conditiontips_1;10416&3744|100073|conditiontext_100073|0|conditiontips_0	repute_jianghu|14578383
84058	塞北草原西夏王陵		s860404	5	WorldNpc07264	WorldNpc07264	26	26					3171								title_84058	context_84058	accept_84058_1;menu_84058_1	complete_84058		target_84058		next_84058	CanAcceptMenu_84058		CompleteMenu_84058					1	1	1	1	1				173		repute_jianghu|14578383
