STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	AcceptArea	AcceptRepLimit	ConditionPrize	AcceptReputationLimit
81250	苏州主城		s740101	5	WorldNpc01017	WorldNpc01035	14	14					15539;25665								title_81250	context_81250	accept_81250_1;menu_81250_1	complete_81250		target_81250		next_81250	CanAcceptMenu_81250		CompleteMenu_81250					1	1	1	1	1			54			repute_jianghu|700
81251	苏州主城		s740101	5	WorldNpc01040	WorldNpc01110	14	14					15539;25665								title_81251	context_81251	accept_81251_1;menu_81251_1	complete_81251		target_81251		next_81251	CanAcceptMenu_81251		CompleteMenu_81251					1		1	1	1			54		10416&3679|100008|conditiontext_100008|0|conditiontips_0;10416&3678|100007|conditiontext_100007|14|conditiontips_14;10416&3677|100006|conditiontext_100006|17|conditiontips_17;10416&3676|100005|conditiontext_100005|13|conditiontips_13;10416&3675|100004|conditiontext_100004|17|conditiontips_17;10416&3674|100003|conditiontext_100003|13|conditiontips_13;10416&3673|100002|conditiontext_100002|1|conditiontips_1;10416&3672|100001|conditiontext_100001|0|conditiontips_0	repute_jianghu|700
81252	苏州主城		s740101	5	WorldNpc01133	WorldNpc01133	14	14					15539;25665								title_81252	context_81252	accept_81252_1;menu_81252_1	complete_81252		target_81252		next_81252	CanAcceptMenu_81252		CompleteMenu_81252					1	1	1	1	1			54			repute_jianghu|700
81253	苏州主城		s740101	5	WorldNpc01624	WorldNpc01624	14	14					15539;25665								title_81253	context_81253	accept_81253_1;menu_81253_1	complete_81253		target_81253		next_81253	CanAcceptMenu_81253		CompleteMenu_81253					1		1	1	1			54		10416&3679|100008|conditiontext_100008|0|conditiontips_0;10416&3678|100007|conditiontext_100007|14|conditiontips_14;10416&3677|100006|conditiontext_100006|17|conditiontips_17;10416&3676|100005|conditiontext_100005|13|conditiontips_13;10416&3675|100004|conditiontext_100004|17|conditiontips_17;10416&3674|100003|conditiontext_100003|13|conditiontips_13;10416&3673|100002|conditiontext_100002|1|conditiontips_1;10416&3672|100001|conditiontext_100001|0|conditiontips_0	repute_jianghu|700
81254	苏州主城		s740101	5	WorldNpc01625	WorldNpc01625	14	14					15539;25665								title_81254	context_81254	accept_81254_1;menu_81254_1	complete_81254		target_81254		next_81254	CanAcceptMenu_81254		CompleteMenu_81254					1	1	1	1	1			54			repute_jianghu|700
81255	苏州主城		s740101	7	WorldNpc01626	WorldNpc01626	14	14					3174;15539;10416;3672;25665								title_81255	context_81255	accept_81255_1;menu_81255_1	complete_81255		target_81255		next_81255	CanAcceptMenu_81255		CompleteMenu_81255					1	1	1	1	1			54			repute_jianghu|60418383
81256	苏州主城		s740101	5	WorldNpc01627	WorldNpc01044	14	14					15539;25665			19602;19603					title_81256	context_81256	accept_81256_1;menu_81256_1	complete_81256		target_81256		next_81256	CanAcceptMenu_81256		CompleteMenu_81256					1	1	1	1	1			54			repute_jianghu|700
81257	苏州主城		s740101	5	WorldNpc01628	WorldNpc01628	14	14					3174;25665						SubmitNpcEx_81257		title_81257	context_81257	accept_81257_1;menu_81257_1	complete_81257		target_81257		next_81257	CanAcceptMenu_81257		CompleteMenu_81257					1		1	1	1			54		10416&3679|100008|conditiontext_100008|0|conditiontips_0;10416&3678|100007|conditiontext_100007|14|conditiontips_14;10416&3677|100006|conditiontext_100006|17|conditiontips_17;10416&3676|100005|conditiontext_100005|13|conditiontips_13;10416&3675|100004|conditiontext_100004|17|conditiontips_17;10416&3674|100003|conditiontext_100003|13|conditiontips_13;10416&3673|100002|conditiontext_100002|1|conditiontips_1;10416&3672|100001|conditiontext_100001|0|conditiontips_0	repute_jianghu|60418385
81258	苏州主城		s740101	5	WorldNpc01629	WorldNpc01024	14	14					15539;25665								title_81258	context_81258	accept_81258_1;menu_81258_1	complete_81258		target_81258		next_81258	CanAcceptMenu_81258		CompleteMenu_81258					1	1	1	1	1			54			repute_jianghu|700
81259	苏州主城		s740101	5	WorldNpc01630	WorldNpc01630	14	14					15539;25665								title_81259	context_81259	accept_81259_1;menu_81259_1	complete_81259		target_81259		next_81259	CanAcceptMenu_81259		CompleteMenu_81259					1		1	1	1			54		10416&3679|100008|conditiontext_100008|0|conditiontips_0;10416&3678|100007|conditiontext_100007|14|conditiontips_14;10416&3677|100006|conditiontext_100006|17|conditiontips_17;10416&3676|100005|conditiontext_100005|13|conditiontips_13;10416&3675|100004|conditiontext_100004|17|conditiontips_17;10416&3674|100003|conditiontext_100003|13|conditiontips_13;10416&3673|100002|conditiontext_100002|1|conditiontips_1;10416&3672|100001|conditiontext_100001|0|conditiontips_0	repute_jianghu|700
81260	苏州主城		s740101	5	WorldNpc01631	WorldNpc01047	14	14					15539;25665								title_81260	context_81260	accept_81260_1;menu_81260_1	complete_81260		target_81260		next_81260	CanAcceptMenu_81260		CompleteMenu_81260					1	1	1	1	1			54			repute_jianghu|700
