STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ReputationLimit	AcceptArea	AcceptRepLimit	ConditionPrize	AcceptReputationLimit
81300	苏州慕容世家		s740202	5			14	14					3174								title_81300	context_81300	accept_81300_1;menu_81300_1	complete_81300		target_81300		next_81300	CanAcceptMenu_81300		CompleteMenu_81300					1	1	1	1	1				56		10416&3715|100044|conditiontext_100044|0|conditiontips_0;10416&3714|100043|conditiontext_100043|14|conditiontips_14;10416&3713|100042|conditiontext_100042|17|conditiontips_17;10416&3711|100040|conditiontext_100040|17|conditiontips_17;10416&3710|100039|conditiontext_100039|13|conditiontips_13;10416&3709|100038|conditiontext_100038|1|conditiontips_1;10416&3708|100037|conditiontext_100037|0|conditiontips_0	repute_jianghu|60418383
81301	苏州慕容世家		s740202	5			14	14					3174			19650					title_81301	context_81301	accept_81301_1;menu_81301_1	complete_81301		target_81301		next_81301	CanAcceptMenu_81301		CompleteMenu_81301					1	1	1	1	1				56			repute_jianghu|60418383
81302	苏州慕容世家		s740202	5			14	14					3174								title_81302	context_81302	accept_81302_1;menu_81302_1	complete_81302		target_81302		next_81302	CanAcceptMenu_81302		CompleteMenu_81302					1	1	1	1	1				56		10416&3715|100044|conditiontext_100044|0|conditiontips_0;10416&3714|100043|conditiontext_100043|14|conditiontips_14;10416&3713|100042|conditiontext_100042|17|conditiontips_17;10416&3711|100040|conditiontext_100040|17|conditiontips_17;10416&3710|100039|conditiontext_100039|13|conditiontips_13;10416&3709|100038|conditiontext_100038|1|conditiontips_1;10416&3708|100037|conditiontext_100037|0|conditiontips_0	repute_jianghu|60418383
81303	苏州慕容世家		s740202	5			14	14					3174								title_81303	context_81303	accept_81303_1;menu_81303_1	complete_81303		target_81303		next_81303	CanAcceptMenu_81303		CompleteMenu_81303					1	1	1	1	1				56			repute_jianghu|60418383
81304	苏州慕容世家		s740202	5			14	14					3174								title_81304	context_81304	accept_81304_1;menu_81304_1	complete_81304		target_81304		next_81304	CanAcceptMenu_81304		CompleteMenu_81304					1	1	1	1	1				56		10416&3715|100044|conditiontext_100044|0|conditiontips_0;10416&3714|100043|conditiontext_100043|14|conditiontips_14;10416&3713|100042|conditiontext_100042|17|conditiontips_17;10416&3711|100040|conditiontext_100040|17|conditiontips_17;10416&3710|100039|conditiontext_100039|13|conditiontips_13;10416&3709|100038|conditiontext_100038|1|conditiontips_1;10416&3708|100037|conditiontext_100037|0|conditiontips_0	repute_jianghu|60418383
81305	苏州慕容世家		s740202	5			14	14					3174								title_81305	context_81305	accept_81305_1;menu_81305_1	complete_81305		target_81305		next_81305	CanAcceptMenu_81305		CompleteMenu_81305					1	1	1	1	1				56			repute_jianghu|60418383
81306	苏州慕容世家		s740202	5			14	14					3174			19652					title_81306	context_81306	accept_81306_1;menu_81306_1	complete_81306		target_81306		next_81306	CanAcceptMenu_81306		CompleteMenu_81306					1	1	1	1	1				56			repute_jianghu|60418383
81307	苏州慕容世家		s740202	7			14	14					3174								title_81307	context_81307	accept_81307_1;menu_81307_1	complete_81307		target_81307		next_81307	CanAcceptMenu_81307		CompleteMenu_81307					1	1	1	1	1				56			repute_jianghu|60418383
81308	苏州慕容世家		s740202	7			14	14					3174								title_81308	context_81308	accept_81308_1;menu_81308_1	complete_81308		target_81308		next_81308	CanAcceptMenu_81308		CompleteMenu_81308					1	1	1	1	1				56			repute_jianghu|60418383
