STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	NeedVip	TimeLimitLenghtEx	AcceptArea	AcceptRepLimit	ConditionPrize	AcceptReputationLimit
85150		武当主建筑群		s930101	7		WorldNpc04734		11	11								15539;10416;3681;25665				28600;28602					title_85150	context_85150	accept_85150_1;menu_85150_1	complete_85150	uncom_85150	target_85150	task_TrackInfo_85150	next_85150	CanAcceptMenu_85150	UncompleteMenu_85150	CompleteMenu_85150					1	1	1	1	1			241			repute_jianghu|700
85151		武当主建筑群		s930101	5	WorldNpc04735	WorldNpc04735		11	11								15539;25665									title_85151	context_85151	accept_85151_1;menu_85151_1	complete_85151		target_85151		next_85151	CanAcceptMenu_85151		CompleteMenu_85151					1		1	1	1			241		10416&3688|100017|conditiontext_100017|0|conditiontips_0;10416&3687|100016|conditiontext_100016|14|conditiontips_14;10416&3686|100015|conditiontext_100015|17|conditiontips_17;10416&3684|100013|conditiontext_100013|17|conditiontips_17;10416&3683|100012|conditiontext_100012|13|conditiontips_13;10416&3682|100011|conditiontext_100011|1|conditiontips_1;10416&3681|100010|conditiontext_100010|0|conditiontips_0	repute_jianghu|700
85153		武当主建筑群		s930101	5	WorldNpc04727	WorldNpc04726		11	11								15539;25665									title_85153	context_85153	accept_85153_1;menu_85153_1	complete_85153	uncom_85153	target_85153	task_TrackInfo_85153	next_85153	CanAcceptMenu_85153	UncompleteMenu_85153	CompleteMenu_85153					1	1	1	1	1			241			repute_jianghu|700
85154		武当主建筑群		s930101	5	WorldNpc04726	WorldNpc04726		11	11								15539;25665									title_85154	context_85154	accept_85154_1;menu_85154_1	complete_85154;submit_85154	uncom_85154	target_85154	task_TrackInfo_85154	next_85154	CanAcceptMenu_85154	UncompleteMenu_85154	CompleteMenu_85154					1		1	1	1			241		10416&3688|100017|conditiontext_100017|0|conditiontips_0;10416&3687|100016|conditiontext_100016|14|conditiontips_14;10416&3686|100015|conditiontext_100015|17|conditiontips_17;10416&3684|100013|conditiontext_100013|17|conditiontips_17;10416&3683|100012|conditiontext_100012|13|conditiontips_13;10416&3682|100011|conditiontext_100011|1|conditiontips_1;10416&3681|100010|conditiontext_100010|0|conditiontips_0	repute_jianghu|700
85155		武当主建筑群		s930101	7	WorldNpc04736	WorldNpc04736		11	11								3174;15539;10416;3682;25665									title_85155	context_85155	accept_85155_1;menu_85155_1	complete_85155	uncom_85155	target_85155	task_TrackInfo_85155	next_85155	CanAcceptMenu_85155	UncompleteMenu_85155	CompleteMenu_85155					1	1	1	1	1			241			repute_jianghu|60418383
85156		武当主建筑群		s930101	5	WorldNpc04739	WorldNpc04739		11	11								15539;25665									title_85156	context_85156	accept_85156_1;menu_85156_1	complete_85156	uncom_85156	target_85156	task_TrackInfo_85156	next_85156	CanAcceptMenu_85156	UncompleteMenu_85156	CompleteMenu_85156					1	1	1	1	1			241			repute_jianghu|700
85157		武当主建筑群		s930101	5	WorldNpc04740	WorldNpc04740		11	11								15539;25665									title_85157	context_85157	accept_85157_1;menu_85157_1	complete_85157	uncom_85157	target_85157	task_TrackInfo_85157	next_85157	CanAcceptMenu_85157	UncompleteMenu_85157	CompleteMenu_85157					1	1	1	1	1			241		10416&3688|100017|conditiontext_100017|0|conditiontips_0;10416&3687|100016|conditiontext_100016|14|conditiontips_14;10416&3686|100015|conditiontext_100015|17|conditiontips_17;10416&3684|100013|conditiontext_100013|17|conditiontips_17;10416&3683|100012|conditiontext_100012|13|conditiontips_13;10416&3682|100011|conditiontext_100011|1|conditiontips_1;10416&3681|100010|conditiontext_100010|0|conditiontips_0	repute_jianghu|700
85158		武当主建筑群		s930101	5	WorldNpc04736	WorldNpc04736		11	11								15539;25665									title_85158	context_85158	accept_85158_1;menu_85158_1	complete_85158	uncom_85158	target_85158	task_TrackInfo_85158	next_85158	CanAcceptMenu_85158	UncompleteMenu_85158	CompleteMenu_85158					1	1	1	1	1			241			repute_jianghu|700
85159		武当主建筑群		s930101	5	WorldNpc04745	WorldNpc04745		11	11								15539;25665									title_85159	context_85159	accept_85159_1;menu_85159_1	complete_85159	uncom_85159	target_85159	task_TrackInfo_85159	next_85159	CanAcceptMenu_85159	UncompleteMenu_85159	CompleteMenu_85159					1		1	1	1			241		10416&3688|100017|conditiontext_100017|0|conditiontips_0;10416&3687|100016|conditiontext_100016|14|conditiontips_14;10416&3686|100015|conditiontext_100015|17|conditiontips_17;10416&3684|100013|conditiontext_100013|17|conditiontips_17;10416&3683|100012|conditiontext_100012|13|conditiontips_13;10416&3682|100011|conditiontext_100011|1|conditiontips_1;10416&3681|100010|conditiontext_100010|0|conditiontips_0	repute_jianghu|700
