STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	NeedVip	TimeLimitLenghtEx	AcceptArea	AcceptRepLimit	ConditionPrize	ReputationLimit	AcceptReputationLimit
86400		武当龙南村		s930606	7	WorldNpc04607	WorldNpc04607		11	11								3174;3161;10416;3681;25665									title_86400	context_86400	accept_86400_1;menu_86400_1	complete_86400	uncom_86400	target_86400	task_TrackInfo_86400	next_86400	CanAcceptMenu_86400	UncompleteMenu_86400	CompleteMenu_86400					1	1	1	1	1			246				repute_jianghu|60418383
86401		武当龙南村		s930606	5	WorldNpc04606	WorldNpc04606		11	11								3161;25665				28814					title_86401	context_86401	accept_86401_1;menu_86401_1	complete_86401	uncom_86401	target_86401	task_TrackInfo_86401	next_86401	CanAcceptMenu_86401	UncompleteMenu_86401	CompleteMenu_86401					1	1	1	1	1			246		10416&3688|100017|conditiontext_100017|0|conditiontips_0;10416&3687|100016|conditiontext_100016|14|conditiontips_14;10416&3686|100015|conditiontext_100015|17|conditiontips_17;10416&3684|100013|conditiontext_100013|17|conditiontips_17;10416&3683|100012|conditiontext_100012|13|conditiontips_13;10416&3682|100011|conditiontext_100011|1|conditiontips_1;10416&3681|100010|conditiontext_100010|0|conditiontips_0		repute_jianghu|1783
86402		武当龙南村		s930606	5	WorldNpc04603	WorldNpc04603		11	11								3161;25665									title_86402	context_86402	accept_86402_1;menu_86402_1	complete_86402	uncom_86402	target_86402	task_TrackInfo_86402	next_86402	CanAcceptMenu_86402	UncompleteMenu_86402	CompleteMenu_86402					1	1	1	1	1			246				repute_jianghu|1783
86403		武当龙南村		s930606	5	WorldNpc04605	WorldNpc04604		11	11								3161;25665									title_86403	context_86403	accept_86403_1;menu_86403_1	complete_86403	uncom_86403	target_86403	task_TrackInfo_86403	next_86403	CanAcceptMenu_86403	UncompleteMenu_86403	CompleteMenu_86403					1	1	1	1	1			246				repute_jianghu|1783
86404		武当龙南村		s930606	5	WorldNpc04610	WorldNpc04605		11	11								3161;25665				28815					title_86404	context_86404	accept_86404_1;menu_86404_1	complete_86404	uncom_86404	target_86404	task_TrackInfo_86404	next_86404	CanAcceptMenu_86404	UncompleteMenu_86404	CompleteMenu_86404					1	1	1	1	1			246		10416&3688|100017|conditiontext_100017|0|conditiontips_0;10416&3687|100016|conditiontext_100016|14|conditiontips_14;10416&3686|100015|conditiontext_100015|17|conditiontips_17;10416&3684|100013|conditiontext_100013|17|conditiontips_17;10416&3683|100012|conditiontext_100012|13|conditiontips_13;10416&3682|100011|conditiontext_100011|1|conditiontips_1;10416&3681|100010|conditiontext_100010|0|conditiontips_0		repute_jianghu|1783
86405		武当龙南村		s930606	7	WorldNpc04608	WorldNpc04608		11	11								3174;3161;10416;3682;25665				28816;28817					title_86405	context_86405	accept_86405_1;menu_86405_1	complete_86405	uncom_86405	target_86405	task_TrackInfo_86405	next_86405	CanAcceptMenu_86405	UncompleteMenu_86405	CompleteMenu_86405					1	1	1	1	1			246				repute_jianghu|60418383
86406		武当龙南村		s930606	5	WorldNpc04588	WorldNpc04608		11	11								3161;25665									title_86406	context_86406	accept_86406_1;menu_86406_1	complete_86406	uncom_86406	target_86406	task_TrackInfo_86406	next_86406	CanAcceptMenu_86406	UncompleteMenu_86406	CompleteMenu_86406					1	1	1	1	1			246				repute_jianghu|1783
86407		武当龙南村		s930606	5	WorldNpc04608	WorldNpc04609		11	11								3161;25665									title_86407	context_86407	accept_86407_1;menu_86407_1	complete_86407	uncom_86407	target_86407	task_TrackInfo_86407	next_86407	CanAcceptMenu_86407	UncompleteMenu_86407	CompleteMenu_86407					1	1	1	1	1			246		10416&3688|100017|conditiontext_100017|0|conditiontips_0;10416&3687|100016|conditiontext_100016|14|conditiontips_14;10416&3686|100015|conditiontext_100015|17|conditiontips_17;10416&3684|100013|conditiontext_100013|17|conditiontips_17;10416&3683|100012|conditiontext_100012|13|conditiontips_13;10416&3682|100011|conditiontext_100011|1|conditiontips_1;10416&3681|100010|conditiontext_100010|0|conditiontips_0		repute_jianghu|1783
86408		武当龙南村		s930606	5	WorldNpc04892	WorldNpc04604		11	11								3161;25665									title_86408	context_86408	accept_86408_1;menu_86408_1	complete_86408	uncom_86408	target_86408	task_TrackInfo_86408	next_86408	CanAcceptMenu_86408	UncompleteMenu_86408	CompleteMenu_86408					1	1	1	1	1			246				repute_jianghu|1783
