STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	AcceptReputationLimit	ReputationLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	NeedVip	TimeLimitLenghtEx	AcceptArea	ConditionPrize
82900		œÚ—Ù∆¬¬Ê»ﬁ≈£≥°		s810202	7	WorldNpc05808	WorldNpc05808		21	21								3165;10416;3708	repute_jianghu|128783										title_82900	context_82900	accept_82900_1;menu_82900_1	complete_82900	uncom_82900	target_82900	task_TrackInfo_82900	next_82900	CanAcceptMenu_82900	UncompleteMenu_82900	CompleteMenu_82900					1	1	1	1	1			123	
82901		œÚ—Ù∆¬¬Ê»ﬁ≈£≥°		s810202	5	WorldNpc05808	WorldNpc05808		21	21								3165	repute_jianghu|128783										title_82901	context_82901	accept_82901_1;menu_82901_1	complete_82901	uncom_82901	target_82901	task_TrackInfo_82901	next_82901	CanAcceptMenu_82901	UncompleteMenu_82901	CompleteMenu_82901					1	1	1	1	1			123	10416&3715|100044|conditiontext_100044|0|conditiontips_0;10416&3714|100043|conditiontext_100043|14|conditiontips_14;10416&3713|100042|conditiontext_100042|17|conditiontips_17;10416&3711|100040|conditiontext_100040|17|conditiontips_17;10416&3710|100039|conditiontext_100039|13|conditiontips_13;10416&3709|100038|conditiontext_100038|1|conditiontips_1;10416&3708|100037|conditiontext_100037|0|conditiontips_0
82902		œÚ—Ù∆¬¬Ê»ﬁ≈£≥°		s810202	5	WorldNpc05738	WorldNpc05738		21	21								3165	repute_jianghu|128783										title_82902	context_82902	accept_82902_1;menu_82902_1	complete_82902	uncom_82902	target_82902	task_TrackInfo_82902	next_82902	CanAcceptMenu_82902	UncompleteMenu_82902	CompleteMenu_82902					1	1	1	1	1			123	
82903		œÚ—Ù∆¬¬Ê»ﬁ≈£≥°		s810202	7	WorldNpc06068	WorldNpc06068		21	21								3165;10416;3711	repute_jianghu|128783										title_82903	context_82903	accept_82903_1;menu_82903_1	complete_82903	uncom_82903	target_82903	task_TrackInfo_82903	next_82903	CanAcceptMenu_82903	UncompleteMenu_82903	CompleteMenu_82903					1	1	1	1	1			123	
82904		œÚ—Ù∆¬¬Ê»ﬁ≈£≥°		s810202	5	WorldNpc06068	WorldNpc06068		21	21								3165	repute_jianghu|128783										title_82904	context_82904	accept_82904_1;menu_82904_1	complete_82904	uncom_82904	target_82904	task_TrackInfo_82904	next_82904	CanAcceptMenu_82904	UncompleteMenu_82904	CompleteMenu_82904					1	1	1	1	1			123	10416&3715|100044|conditiontext_100044|0|conditiontips_0;10416&3714|100043|conditiontext_100043|14|conditiontips_14;10416&3713|100042|conditiontext_100042|17|conditiontips_17;10416&3711|100040|conditiontext_100040|17|conditiontips_17;10416&3710|100039|conditiontext_100039|13|conditiontips_13;10416&3709|100038|conditiontext_100038|1|conditiontips_1;10416&3708|100037|conditiontext_100037|0|conditiontips_0
82905		œÚ—Ù∆¬¬Ê»ﬁ≈£≥°		s810202	5	WorldNpc05738	WorldNpc05738		21	21								3165	repute_jianghu|128783										title_82905	context_82905	accept_82905_1;menu_82905_1	complete_82905	uncom_82905	target_82905	task_TrackInfo_82905	next_82905	CanAcceptMenu_82905	UncompleteMenu_82905	CompleteMenu_82905					1	1	1	1	1			123	
82906		œÚ—Ù∆¬¬Ê»ﬁ≈£≥°		s810202	5	WorldNpc06068	WorldNpc06068		21	21								3165	repute_jianghu|128783										title_82906	context_82906	accept_82906_1;menu_82906_1	complete_82906	uncom_82906	target_82906	task_TrackInfo_82906	next_82906	CanAcceptMenu_82906	UncompleteMenu_82906	CompleteMenu_82906					1	1	1	1	1			123	
82907		œÚ—Ù∆¬¬Ê»ﬁ≈£≥°		s810202	5	WorldNpc06068	WorldNpc06068		21	21								3165	repute_jianghu|128783										title_82907	context_82907	accept_82907_1;menu_82907_1	complete_82907	uncom_82907	target_82907	task_TrackInfo_82907	next_82907	CanAcceptMenu_82907	UncompleteMenu_82907	CompleteMenu_82907					1	1	1	1	1			123	10416&3715|100044|conditiontext_100044|0|conditiontips_0;10416&3714|100043|conditiontext_100043|14|conditiontips_14;10416&3713|100042|conditiontext_100042|17|conditiontips_17;10416&3711|100040|conditiontext_100040|17|conditiontips_17;10416&3710|100039|conditiontext_100039|13|conditiontips_13;10416&3709|100038|conditiontext_100038|1|conditiontips_1;10416&3708|100037|conditiontext_100037|0|conditiontips_0
82908		œÚ—Ù∆¬¬Ê»ﬁ≈£≥°		s810202	5	WorldNpc06067	WorldNpc06067		21	21								3165	repute_jianghu|128783										title_82908	context_82908	accept_82908_1;menu_82908_1	complete_82908	uncom_82908	target_82908	task_TrackInfo_82908	next_82908	CanAcceptMenu_82908	UncompleteMenu_82908	CompleteMenu_82908					1	1	1	1	1			123	
