STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	AcceptReputationLimit	ReputationLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	NeedVip	TimeLimitLenghtEx	AcceptArea	AcceptRepLimit	ConditionPrize
82950		向阳坡叹息城		s810303	5	WorldNpc06087	WorldNpc06087		21	21								3165	repute_jianghu|128783										title_82950	context_82950	accept_82950_1;menu_82950_1	complete_82950	uncom_82950	target_82950	task_TrackInfo_82950	next_82950	CanAcceptMenu_82950	UncompleteMenu_82950	CompleteMenu_82950					1	1	1	1	1			121		10416&3697|100026|conditiontext_100026|0|conditiontips_0;10416&3696|100025|conditiontext_100025|14|conditiontips_14;10416&3695|100024|conditiontext_100024|17|conditiontips_17;10416&3694|100023|conditiontext_100023|13|conditiontips_13;10416&3693|100022|conditiontext_100022|17|conditiontips_17;10416&3692|100021|conditiontext_100021|13|conditiontips_13;10416&3691|100020|conditiontext_100020|1|conditiontips_1;10416&3690|100019|conditiontext_100019|0|conditiontips_0
82951		向阳坡叹息城		s810303	5	WorldNpc05707	WorldNpc05707		21	21								3165	repute_jianghu|128783										title_82951	context_82951	accept_82951_1;menu_82951_1	complete_82951	uncom_82951	target_82951	task_TrackInfo_82951	next_82951	CanAcceptMenu_82951	UncompleteMenu_82951	CompleteMenu_82951					1	1	1	1	1			121		
82952		向阳坡叹息城		s810303	7	WorldNpc06040	WorldNpc06040		21	21								3165;10416;3691	repute_jianghu|128783										title_82952	context_82952	accept_82952_1;menu_82952_1	complete_82952	uncom_82952	target_82952	task_TrackInfo_82952	next_82952	CanAcceptMenu_82952	UncompleteMenu_82952	CompleteMenu_82952					1	1	1	1	1			121		
82953		向阳坡叹息城		s810303	5	WorldNpc06040	WorldNpc06040		21	21								3165	repute_jianghu|128783										title_82953	context_82953	accept_82953_1;menu_82953_1	complete_82953	uncom_82953	target_82953	task_TrackInfo_82953	next_82953	CanAcceptMenu_82953	UncompleteMenu_82953	CompleteMenu_82953					1	1	1	1	1			121		
82954		向阳坡叹息城		s810303	5	WorldNpc05727	WorldNpc05727		21	21								3165	repute_jianghu|128783										title_82954	context_82954	accept_82954_1;menu_82954_1	complete_82954	uncom_82954	target_82954	task_TrackInfo_82954	next_82954	CanAcceptMenu_82954	UncompleteMenu_82954	CompleteMenu_82954					1	1	1	1	1			121		10416&3697|100026|conditiontext_100026|0|conditiontips_0;10416&3696|100025|conditiontext_100025|14|conditiontips_14;10416&3695|100024|conditiontext_100024|17|conditiontips_17;10416&3694|100023|conditiontext_100023|13|conditiontips_13;10416&3693|100022|conditiontext_100022|17|conditiontips_17;10416&3692|100021|conditiontext_100021|13|conditiontips_13;10416&3691|100020|conditiontext_100020|1|conditiontips_1;10416&3690|100019|conditiontext_100019|0|conditiontips_0
82955		向阳坡叹息城		s810303	5	WorldNpc06041	WorldNpc06041		21	21								3165	repute_jianghu|128783					33701					title_82955	context_82955	accept_82955_1;menu_82955_1	complete_82955	uncom_82955	target_82955	task_TrackInfo_82955	next_82955	CanAcceptMenu_82955	UncompleteMenu_82955	CompleteMenu_82955					1	1	1	1	1			121		
82956		向阳坡叹息城		s810303	7	WorldNpc05730	WorldNpc05730		21	21								3165;10416;3693	repute_jianghu|128783										title_82956	context_82956	accept_82956_1;menu_82956_1	complete_82956	uncom_82956	target_82956	task_TrackInfo_82956	next_82956	CanAcceptMenu_82956	UncompleteMenu_82956	CompleteMenu_82956					1	1	1	1	1			121		
82957		向阳坡叹息城		s810303	5	WorldNpc05730	WorldNpc06042		21	21								3165	repute_jianghu|128783										title_82957	context_82957	accept_82957_1;menu_82957_1	complete_82957	uncom_82957	target_82957	task_TrackInfo_82957	next_82957	CanAcceptMenu_82957	UncompleteMenu_82957	CompleteMenu_82957					1	1	1	1	1			121		10416&3697|100026|conditiontext_100026|0|conditiontips_0;10416&3696|100025|conditiontext_100025|14|conditiontips_14;10416&3695|100024|conditiontext_100024|17|conditiontips_17;10416&3694|100023|conditiontext_100023|13|conditiontips_13;10416&3693|100022|conditiontext_100022|17|conditiontips_17;10416&3692|100021|conditiontext_100021|13|conditiontips_13;10416&3691|100020|conditiontext_100020|1|conditiontips_1;10416&3690|100019|conditiontext_100019|0|conditiontips_0
82958		向阳坡叹息城		s810303	5	WorldNpc06009	WorldNpc06009		21	21								3165	repute_jianghu|128783										title_82958	context_82958	accept_82958_1;menu_82958_1	complete_82958	uncom_82958	target_82958	task_TrackInfo_82958	next_82958	CanAcceptMenu_82958	UncompleteMenu_82958	CompleteMenu_82958					1	1	1	1	1			121		
