STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	AcceptReputationLimit	ReputationLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	NeedVip	TimeLimitLenghtEx	AcceptArea	AcceptRepLimit	ConditionPrize
82300		幽云十六州碣石		s780303	5	WorldNpc05488	WorldNpc05488		18	18								3174;3171	repute_jianghu|60418383										title_82300	context_82300	accept_82300_1;menu_82300_1	complete_82300		target_82300		next_82300	CanAcceptMenu_82300		CompleteMenu_82300					1	1	1	1	1			95		
82301		幽云十六州碣石		s780303	5	WorldNpc05488	WorldNpc05488		18	18								3174;3171	repute_jianghu|60418383										title_82301	context_82301	accept_82301_1;menu_82301_1	complete_82301		target_82301		next_82301	CanAcceptMenu_82301		CompleteMenu_82301					1	1	1	1	1			95		10416&3751|100080|conditiontext_100080|0|conditiontips_0;10416&3750|100079|conditiontext_100079|14|conditiontips_14;10416&3749|100078|conditiontext_100078|17|conditiontips_17;10416&3747|100076|conditiontext_100076|17|conditiontips_17;10416&3746|100075|conditiontext_100075|13|conditiontips_13;10416&3745|100074|conditiontext_100074|1|conditiontips_1;10416&3744|100073|conditiontext_100073|0|conditiontips_0
82302		幽云十六州碣石		s780303	5	WorldNpc05489	WorldNpc05490		18	18								3174;3171	repute_jianghu|60418383										title_82302	context_82302	accept_82302_1;menu_82302_1	complete_82302		target_82302		next_82302	CanAcceptMenu_82302		CompleteMenu_82302					1	1	1	1	1			95		
82303		幽云十六州碣石		s780303	7	WorldNpc05491	WorldNpc05489		18	18								3174;3171;10416;3744	repute_jianghu|60418383										title_82303	context_82303	accept_82303_1;menu_82303_1	complete_82303		target_82303		next_82303	CanAcceptMenu_82303		CompleteMenu_82303					1	1	1	1	1			95		
82304		幽云十六州碣石		s780303	5	WorldNpc05492	WorldNpc05492		18	18								3174;3171	repute_jianghu|60418383										title_82304	context_82304	accept_82304_1;menu_82304_1	complete_82304		target_82304		next_82304	CanAcceptMenu_82304		CompleteMenu_82304					1	1	1	1	1			95		10416&3751|100080|conditiontext_100080|0|conditiontips_0;10416&3750|100079|conditiontext_100079|14|conditiontips_14;10416&3749|100078|conditiontext_100078|17|conditiontips_17;10416&3747|100076|conditiontext_100076|17|conditiontips_17;10416&3746|100075|conditiontext_100075|13|conditiontips_13;10416&3745|100074|conditiontext_100074|1|conditiontips_1;10416&3744|100073|conditiontext_100073|0|conditiontips_0
82305		幽云十六州碣石		s780303	5	WorldNpc05493	WorldNpc05493		18	18								3174;3171	repute_jianghu|60418383										title_82305	context_82305	accept_82305_1;menu_82305_1	complete_82305		target_82305		next_82305	CanAcceptMenu_82305		CompleteMenu_82305					1	1	1	1	1			95		
82306		幽云十六州碣石		s780303	5	WorldNpc05494	WorldNpc05494		18	18								3174;3171	repute_jianghu|60418383										title_82306	context_82306	accept_82306_1;menu_82306_1	complete_82306		target_82306		next_82306	CanAcceptMenu_82306		CompleteMenu_82306					1	1	1	1	1			95		10416&3751|100080|conditiontext_100080|0|conditiontips_0;10416&3750|100079|conditiontext_100079|14|conditiontips_14;10416&3749|100078|conditiontext_100078|17|conditiontips_17;10416&3747|100076|conditiontext_100076|17|conditiontips_17;10416&3746|100075|conditiontext_100075|13|conditiontips_13;10416&3745|100074|conditiontext_100074|1|conditiontips_1;10416&3744|100073|conditiontext_100073|0|conditiontips_0
82307		幽云十六州碣石		s780303	7	WorldNpc05495	WorldNpc05495		18	18								3174;3171;10416;3745	repute_jianghu|60418383										title_82307	context_82307	accept_82307_1;menu_82307_1	complete_82307		target_82307		next_82307	CanAcceptMenu_82307		CompleteMenu_82307					1	1	1	1	1			95		
82308		幽云十六州碣石		s780303	5	WorldNpc05496	WorldNpc05496		18	18								3174;3171	repute_jianghu|60418383										title_82308	context_82308	accept_82308_1;menu_82308_1	complete_82308		target_82308		next_82308	CanAcceptMenu_82308		CompleteMenu_82308					1	1	1	1	1			95		
