STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	RoundID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ReputationLimit	AcceptReputationLimit	TiaozhanTime
72701					s1610601	10	newmp_mjzyb_001	newmp_mj_001	769	769				72702	3160;1410;104641;103014;103016;103018;26393;109803						SubmitNpcEx_72701		title_72701	context_72701	accept_72701_1;menu_72701_1	complete_72701;submit_72701		target_72701		next_72701	CanAcceptMenu_72701		CompleteMenu_72701					0	0	0	0	0					
72702					s1610601	10	newmp_mj_001	newmp_mj_001	769	769	73175		72701	73175	738;1410;20033;20034;104641;103014;103016;103018;26393;109803;116307								title_72702	context_72702	accept_72702_1;menu_72702_1	complete_72702;submit_72702		target_72702		next_72702	CanAcceptMenu_72702		CompleteMenu_72702					0	0	0	0	0					
73175					s1610301	10		Npc_yd_wg_jx_mj01	769	770			72702;51638;45578	73176	116066						SubmitNpcEx_73175		title_73175	context_73175	accept_73175_1;menu_73175_1	complete_73175;submit_73175		target_73175		next_73175	CanAcceptMenu_73175		CompleteMenu_73175					0	0	0							
73176					s1610301	10	Npc_yd_wg_jx_mj01	Npc_yd_wg_jx_mj01	770	770			73175	73177	116066						SubmitNpcEx_73176		title_73176	context_73176	accept_73176_1;menu_73176_1	complete_73176;submit_73176		target_73176		next_73176	CanAcceptMenu_73176		CompleteMenu_73176					0	0	0							
73177					s1610301	10	Npc_yd_wg_jx_mj01	Npc_yd_wg_jx_mj01	770	770			73176	73178	116066						SubmitNpcEx_73177		title_73177	context_73177	accept_73177_1;menu_73177_1	complete_73177;submit_73177		target_73177			CanAcceptMenu_73177		CompleteMenu_73177					0	0	0	0	0					
73178					s1610301	10	Npc_yd_wg_jx_mj01	Npc_yd_wg_jx_mj01	770	770			73177	73179	116066						SubmitNpcEx_73178		title_73178	context_73178	accept_73178_1;menu_73178_1	complete_73178;submit_73178		target_73178		next_73178	CanAcceptMenu_73178		CompleteMenu_73178					0	0	0	0	0					
73179					s1610301	10	Npc_yd_wg_jx_mj01	Npc_yd_wg_jx_mj01	770	770			73178	73180	116066						SubmitNpcEx_73179		title_73179	context_73179	accept_73179_1;menu_73179_1	complete_73179;submit_73179		target_73179		next_73179	CanAcceptMenu_73179		CompleteMenu_73179					0	0	0	0	0					
73180					s1610301	10	Npc_yd_wg_jx_mj01	Npc_yd_wg_jx_mj01	770	770			73179	73181	116066						SubmitNpcEx_73180		title_73180	context_73180	accept_73180_1;menu_73180_1	complete_73180;submit_73180		target_73180		next_73180	CanAcceptMenu_73180		CompleteMenu_73180					0	0	0	0	0					
73181					s1610301	10	Npc_yd_wg_jx_mj01	newmp_mj_006	770	769	73182		73180		116066						SubmitNpcEx_73181		title_73181	context_73181	accept_73181_1;menu_73181_1	complete_73181;submit_73181		target_73181		next_73181	CanAcceptMenu_73181		CompleteMenu_73181					0	0	0	0	0					
