STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ReputationLimit	AcceptReputationLimit	TiaozhanTime
22001	恍若隔世		s030101	1	WorldNpc00501	WorldNpc00501	3	3			22096	22003	10636;15539						SubmitNpcEx_22001		title_22001	context_22001	accept_22001_1;menu_22001_1	complete_22001;submit_22001	uncom_22001	target_22001	task_TrackInfo_22001		CanAcceptMenu_22001	UncompleteMenu_22001	CompleteMenu_22001	94		yyz01_1		0	1	0	0	0	1				
22003	恍若隔世		s030101	1	WorldNpc00501	FuncNpc00058	3	3			22001	22006							SubmitNpcEx_22003		title_22003	context_22003	accept_22003_1;menu_22003_1	complete_22003;submit_22003	uncom_22003	target_22003	task_TrackInfo_22003		CanAcceptMenu_22003	UncompleteMenu_22003	CompleteMenu_22003					0	1	0	0	0	1				
22006	恍若隔世		s030101	1	FuncNpc00058	FuncNpc00051	3	3			22003	22007							SubmitNpcEx_22006		title_22006	context_22006	accept_22006_1;menu_22006_1	complete_22006;submit_22006	uncom_22006	target_22006	task_TrackInfo_22006		CanAcceptMenu_22006	UncompleteMenu_22006	CompleteMenu_22006					0	1	0	0	0	1				
22007	恍若隔世		s030101	1	FuncNpc00051	FuncNpc00054	3	3			22006	22008							SubmitNpcEx_22007		title_22007	context_22007	accept_22007_1;menu_22007_1	complete_22007;submit_22007	uncom_22007	target_22007	task_TrackInfo_22007		CanAcceptMenu_22007	UncompleteMenu_22007	CompleteMenu_22007					0	1	0	0	0	1				
22008	恍若隔世		s030101	1	FuncNpc00054	FuncNpc00054	3	3			22007	22011							SubmitNpcEx_22008		title_22008	context_22008	accept_22008_1;menu_22008_1	complete_22008	uncom_22008	target_22008	task_TrackInfo_22008		CanAcceptMenu_22008	UncompleteMenu_22008	CompleteMenu_22008					0	1	0	0	0	1				
22011	恍若隔世		s030101	1	FuncNpc00054	FuncNpc00054	3	3			22008	22012							SubmitNpcEx_22011		title_22011	context_22011	accept_22011_1;menu_22011_1	complete_22011;submit_22011	uncom_22011	target_22011	task_TrackInfo_22011		CanAcceptMenu_22011	UncompleteMenu_22011	CompleteMenu_22011					0	1	0	0	0	1				
22012	恍若隔世		s030101	1	FuncNpc00054	WorldNpc00501	3	3			22011	22013							SubmitNpcEx_22012		title_22012	context_22012	accept_22012_1;menu_22012_1	complete_22012;submit_22012	uncom_22012	target_22012	task_TrackInfo_22012		CanAcceptMenu_22012	UncompleteMenu_22012	CompleteMenu_22012					0	1	0	0	0	1				
22096			s030101	1					22001	1		22001									title_22096	context_22096				target_22096		next_22096								0	0	0	0	0					
22013	庄中奇遇		s030102	1	WorldNpc00501	WorldNpc00963	3	3			22012	22014							SubmitNpcEx_22013		title_22013	context_22013	accept_22013_1;menu_22013_1	complete_22013;submit_22013	uncom_22013	target_22013	task_TrackInfo_22013		CanAcceptMenu_22013	UncompleteMenu_22013	CompleteMenu_22013			yyz01_24		0	1	0	0	0	1				
22014	庄中奇遇		s030102	1	WorldNpc00963	WorldNpc00951	3	3			22013	22015				19			SubmitNpcEx_22014		title_22014	context_22014	accept_22014_1;menu_22014_1	complete_22014;submit_22014	uncom_22014	target_22014	task_TrackInfo_22014	next_22014	CanAcceptMenu_22014	UncompleteMenu_22014	CompleteMenu_22014					0	1	0	0	0	1				
22015	庄中奇遇		s030102	1	WorldNpc00951	WorldNpc00951	3	3			22014	22016							SubmitNpcEx_22015		title_22015	context_22015	accept_22015_1;menu_22015_1	complete_22015;submit_22015	uncom_22015	target_22015	task_TrackInfo_22015		CanAcceptMenu_22015	UncompleteMenu_22015	CompleteMenu_22015					0	1	0	0	0	1				
22016			s030102	1	WorldNpc00951	WorldNpc00629	3	3			22015	22017							SubmitNpcEx_22016		title_22016	context_22016	accept_22016_1;menu_22016_1	complete_22016;submit_22016		target_22016		next_22016	CanAcceptMenu_22016		CompleteMenu_22016					0	1	0	0	0					
22017	庄中奇遇		s030102	1	WorldNpc00629	WorldNpc00694	3	3			22016	22018				11;12			SubmitNpcEx_22017		title_22017	context_22017	accept_22017_1;menu_22017_1	complete_22017;submit_22017	uncom_22017	target_22017	task_TrackInfo_22017	next_22017	CanAcceptMenu_22017	UncompleteMenu_22017	CompleteMenu_22017					0	1	0	0	0	1				
22018			s030102	1	WorldNpc00694	WorldNpc00629	3	3			22017	22019							SubmitNpcEx_22018		title_22018	context_22018	accept_22018_1;menu_22018_1	complete_22018;submit_22018		target_22018		next_22018	CanAcceptMenu_22018		CompleteMenu_22018					0	1	0	0	0					
22019	庄中奇遇		s030102	1	WorldNpc00629	WorldNpc00595	3	3			22018	22021							SubmitNpcEx_22019		title_22019	context_22019	accept_22019_1;menu_22019_1	complete_22019;submit_22019|complete_22019_1;submit_22019_1	uncom_22019	target_22019	task_TrackInfo_22019	next_22019	CanAcceptMenu_22019	UncompleteMenu_22019	CompleteMenu_22019	134				0	1	0	0	0	1				
22021	庄中奇遇		s030102	1	WorldNpc00595	WorldNpc00591	3	3			22019	22024							SubmitNpcEx_22021		title_22021	context_22021	accept_22021_1;menu_22021_1	complete_22021;submit_22021|complete_22021_1;submit_22021_1	uncom_22021	target_22021	task_TrackInfo_22021	next_22021	CanAcceptMenu_22021	UncompleteMenu_22021	CompleteMenu_22021					0	1	0	0	0	1				
22024	庄中奇遇		s030102	1	WorldNpc00591	WorldNpc00591	3	3			22021	22025							SubmitNpcEx_22024		title_22024	context_22024	accept_22024_1;menu_22024_1|accept_22024_2;menu_22024_2	complete_22024;submit_22024|complete_22024_1;submit_22024_1	uncom_22024	target_22024	task_TrackInfo_22024	next_22024	CanAcceptMenu_22024	UncompleteMenu_22024	CompleteMenu_22024					0	1	0	0	0	1				
22025	天外之音		s030103	1	WorldNpc00591	WorldNpc00953	3	3			22024	22026							SubmitNpcEx_22025		title_22025	context_22025	accept_22025_1;menu_22025_1	complete_22025;submit_22025	uncom_22025	target_22025	task_TrackInfo_22025		CanAcceptMenu_22025	UncompleteMenu_22025	CompleteMenu_22025	135		yyz01_52		0	1	0	0	0	1				
22026	天外之音		s030103	1	WorldNpc00953	WorldNpc00952	3	3			22025	22027							SubmitNpcEx_22026		title_22026	context_22026	accept_22026_1;menu_22026_1	complete_22026;submit_22026	uncom_22026	target_22026	task_TrackInfo_22026	next_22026	CanAcceptMenu_22026	UncompleteMenu_22026	CompleteMenu_22026					0	1	0	0	0	1				
22027	天外之音		s030103	1	WorldNpc00952		3				22026	22028;22029									title_22027	context_22027	accept_22027_1;menu_22027_1	complete_22027;submit_22027	uncom_22027	target_22027	task_TrackInfo_22027		CanAcceptMenu_22027	UncompleteMenu_22027	CompleteMenu_22027					0	1	0	0	0	1				
22028	天外之音		s030103	1		WorldNpc00965		3	22030		22027	22030							SubmitNpcEx_22028		title_22028	context_22028	accept_22028_1;menu_22028_1	complete_22028;submit_22028	uncom_22028	target_22028	task_TrackInfo_22028		CanAcceptMenu_22028	UncompleteMenu_22028	CompleteMenu_22028					0	1	0	0	0	1				
22029			s030103	1		WorldNpc00965		3	22030		22027	22030							SubmitNpcEx_22029		title_22029	context_22029	accept_22029_1;menu_22029_1	complete_22029;submit_22029		target_22029		next_22029	CanAcceptMenu_22029		CompleteMenu_22029					0	1	0	0	0					
22030	天外之音		s030103	1	WorldNpc00965	WorldNpc00574	3	3			22028;22029	22031							SubmitNpcEx_22030		title_22030	context_22030	accept_22030_1;menu_22030_1	complete_22030;submit_22030	uncom_22030	target_22030	task_TrackInfo_22030	next_22030	CanAcceptMenu_22030	UncompleteMenu_22030	CompleteMenu_22030					0	1	0	0	0	1				
22031	天外之音		s030103	1	WorldNpc00574	WorldNpc00966	3	3			22030	22032				13			SubmitNpcEx_22031		title_22031	context_22031	accept_22031_1;menu_22031_1	complete_22031;submit_22031	uncom_22031	target_22031	task_TrackInfo_22031	next_22031	CanAcceptMenu_22031	UncompleteMenu_22031	CompleteMenu_22031	133				0	1	0	0	0	1				
22032	天外之音		s030103	1	WorldNpc00966	WorldNpc00966	3	3			22031	22033							SubmitNpcEx_22032		title_22032	context_22032	accept_22032_1;menu_22032_1|accept_22032_2;menu_22032_2	complete_22032;submit_22032	uncom_22032	target_22032	task_TrackInfo_22032	next_22032	CanAcceptMenu_22032	UncompleteMenu_22032	CompleteMenu_22032	129				0	1	0	0	0	1				
22033	天外之音		s030103	1	WorldNpc00966	WorldNpc00955	3	3			22032	22034				14			SubmitNpcEx_22033		title_22033	context_22033	accept_22033_1;menu_22033_1	complete_22033;submit_22033	uncom_22033	target_22033	task_TrackInfo_22033		CanAcceptMenu_22033	UncompleteMenu_22033	CompleteMenu_22033					0	1	0	0	0	1				
22034	天外之音		s030103	1	WorldNpc00955	WorldNpc00967	3	3			22033	22037;22038							SubmitNpcEx_22034		title_22034	context_22034	accept_22034_1;menu_22034_1	complete_22034;submit_22034	uncom_22034	target_22034	task_TrackInfo_22034	next_22034	CanAcceptMenu_22034	UncompleteMenu_22034	CompleteMenu_22034					0	1	0	0	0	1				
22037	重入江湖		s030104	1	WorldNpc00967	WorldNpc00950	3	3			22034	22040	10396						SubmitNpcEx_22037		title_22037	context_22037	accept_22037_1;menu_22037_1	complete_22037;submit_22037	uncom_22037	target_22037	task_TrackInfo_22037	next_22037	CanAcceptMenu_22037	UncompleteMenu_22037	CompleteMenu_22037			yyz01_90		0	1	0	0	0	1				
