STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
40001	TaskItemClone_001012	1	1	1	2014
40002	TaskItemClone_001011	1	1	1	
40003	TaskItemClone_001026	1	1	1	
40004	TaskItemClone_001010	1	1	1	
40005	TaskItemClone_0171127	1	0	1	2801
40006	useitemclone017001	1	0	1	2803
40007	TaskItemClone_0171137	1	0	1	
40008	TaskItemClone_0171134	1	0	1	
40009	TaskItemClone_0171135	1	0	1	
40010	TaskItemClone_002001	1	0	1	2053
40011	useitemclone002004	1	0	1	2068
40012	TaskItemClone_002002	1	0	1	2238
40013	TaskItemClone_002003	1	0	1	2433
40014	TaskItemClone_002004	1	0	1	2440
40015	TaskItemClone_002005	1	0	1	2442
40016	useitemclone002002	1	0	1	2837
40017	useitemclone002005	1	0	1	2332
40018	useitemclone002008	1	1	1	
40019	TaskItemClone_002016	1	0	1	
40020	TaskItemClone_002017	1	0	1	2838
40022	useitemclone002007	1	0	1	2447
40023	TaskItemClone009006	1	0	1	
40024	TaskItemClone009007	1	0	1	
40030	useitemclone002006	1	0	1	2054
40031	TaskItemClone_007014	1	1	1	2303
40032	TaskItemClone_007015	1	1	1	2303
40033	TaskItemClone_007012	1	1	1	2305
40034	TaskItemClone_007013	1	1	1	2310
40035	useitemclone007001	1	0	1	2311
40036	TaskItemClone_007019	1	1	1	2312
40037	TaskItemClone_004004	1	0	1	2189
40038	TaskItemClone_004005	1	1	1	2180
40039	ItemClone007001	1	1	1	
40040	ItemClone007001	1	0	1	2301;2302;2305
40041	ItemClone007001	0	1	1	2307
40081	useitemclone005001	1	0	1	2201
40082	TaskItemClone005003	1	1	1	2202
40083	useitemclone005002	1	0	1	2205
40084	useitemclone005003	1	0	1	2205
40085	useitemclone005004	1	0	1	2208
40361	taskitemclone019001	1	0	1	
40362	taskitemclone019002	1	0	1	
40363	taskitemclone019003	1	0	1	
40364	taskitemclone019004	1	0	1	2928
40201	TaskItemClone_011001	1	0	1	2503
40202	TaskItemClone_011002	1	0	1	2503
40203	TaskItemClone_011004	1	0	1	2508
40281	TaskItemClone_015001	1	1	1	
40282	TaskItemClone_015006	1	0	1	2712
40241	TaskItemClone_013001	1	1	1	2602
40242	TaskItemClone_013004	1	0	1	2608
40243	TaskItemClone_013003	1	1	1	2615
40401	TaskItemClone_021002	1	0	1	3009
40402	TaskItemClone_021003	1	0	1	3009
40403	useitemclone021018	1	0	1	3014
40404	TaskItemClone_021008	1	0	1	3018
40405	TaskItemClone_021006	1	0	1	3023
40406	TaskItemClone_021007	1	0	1	3023
40283	TaskItemClone_015007	1	1	1	2716
40284	TaskItemClone_015001	1	1	1	2703
40407	TaskItemClone_021009	1	0	1	3005
40086	useitemclone005005	0	1	1	2227
40087	TaskItemClone005019	1	0	1	2228
40285	TaskItemClone019003	1	1	1	2708
40244	useitemclone019004	1	0	1	2920
40245	useitemclone019002	1	0	1	2920
40061	TaskItemClone_004009	1	0	1	
40421	TaskItemClone_004014	1	0	1	4514
40422	useitemclone004003	1	0	1	4514
40423	TaskItemClone_004015	1	0	1	4515
40424	TaskItemClone_004012	1	1	1	4521
40042	TaskItemClone_004018	1	0	1	2185
