STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
71651	item_mmzw_mpfg_ct_001	1	1	1	71651
71800	item_tm_mxm01	1		2	
71660	useitem_mm_dy_04	0	1	1	
71661	item_mmus_dy_01	0	1	1	
71662	item_mmus_dy_02	0	1	1	
71663	item_mm_dy_02	0	1	2	71903
71664	useitem_mm_dy_03	0	1	1	71903
71665	useitem_mm_dy_04	0	1	1	71909
71666	useitem_mm_dy_01	0	1	1	71903
71667	item_mm_dy_03	0	1	1	
71668	UseItem_gmp_001	1	0	1	
71669	taskitem_88yinshi_04	1	0	1	71686
71670	taskitem_88yinshi_05	1	0	1	71687
71671	taskitem_88yinshi_07	1	0	1	71688
71672	taskitem_88yinshi_06	1	0	1	71689
71673	taskitem_88yinshi_08	1	0	1	71690
71674	taskitem_88yinshi_01	1	0	1	71691
71675	taskitem_88yinshi_02	1	0	1	71692
71676	taskitem_88yinshi_03	1	0	1	71693
71677	useitem_mm_dy_02	0	1	1	71900
