STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
8003	taskitem_w135	0	1	1	42037
8005	taskitem_x014	1	1	1	42056
8006	useitem_001x	1	0	1	42071
8007	useitem_002x	1	0	1	42074
8008	taskitem_x017	1	1	1	42083
8009	taskitem_x019	0	1	1	42090
8010	taskitem_x020	0	1	1	42110
8011	taskitem_x022	1	1	1	42130
8012	useitem_007x	1	0	1	42140
8013	taskitem_x027	0	1	1	
8014	taskitem_x032	0	1	1	
8015	taskitem_x033	0	1	1	
8016	taskitem_x036	1	0	1	42217
8017	taskitem_x036	1	0	1	42218
8018	taskitem_x038	0	1	1	
8200	taskitem_w135	1	0	1	42242
8201	taskitem_w136	1	0	1	42243
8202	taskitem_w137	0	1	1	42245
8203	taskitem_w139	0	1	1	42246
8204	useitem_14w	1	0	1	42252
8205	useitem_16w	1	0	1	42261
8206	useitem_17w	1	0	1	42263
8207	taskitem_w141	0	1	1	42265
8208	taskitem_w142	0	1	1	
8209	taskitem_w143	0	1	1	42275
8210	useitem_008jx	1	0	1	42280
8211	taskitem_w145	0	1	1	42283
8212	taskitem_w146	0	1	1	42293
8213	useitem_20w	1	0	1	42295
8214	taskitem_w149	0	1	1	42303
8215	taskitem_w149	1	0	1	42304
8216	taskitem_w151	1	0	1	42310
8217	taskitem_w151	0	1	1	42310
8218	useitem_21w	1	0	1	42312
8219	taskitem_w152	0	1	1	42314
8220	taskitem_w150	1	0	1	42316
8221	taskitem_w150	0	1	1	42316
8222	useitem_22w	1	0	1	42325
8223	taskitem_w155	1	0	1	42341
8224	useitem_23w	1	0	1	42359
8225	taskitem_w158	1	0	1	42363
8300	taskitem_yc022	1	1	1	42392
8301	taskitem_yc023	1	1	1	42469
8302	taskitem_yc024	1	1	1	42479
8304	useitem_14yc	1	0	1	42448
8305	useitem_15yc	1	0	1	42475
8306	taskitem_yc025	1	1	1	42504
8307	taskitem_yc026	1	1	1	42496
8600	taskitem_hy004	1	0	1	
8601	taskitem_hy005	1	0	1	
8602	taskitem_hy004	0	1	1	
8603	taskitem_hy005	0	1	1	
8604	taskitem_014jx	1	0	1	42427
8605	useitem_13yc	1	0	1	42400
8606	useitem_003x	1	0	1	42120
8607	useitem_005x	1	0	1	42138
8608	useitem_006x	1	0	1	42140
8609	useitem_008x	1	0	1	42152
8610	useitem_010x	1	0	1	42162
8611	taskitem_x025	0	1	1	
8612	useitem_012x	1	0	1	42186
8613	useitem_013x	1	0	1	42189
8614	taskitem_x036	0	1	1	42217
8615	useitem_015x	1	0	1	42219
8616	taskitem_x038	0	1	1	42226
8617	taskitem_w136	0	1	1	42247
8618	useitem_011x	1	0	1	42181
8619	taskitem_x020	1	1	1	42113
8620	useitem_016x	1	0	1	42225
8621	useitem_006hy	1	0	1	42646
8622	taskitem_hy005	0	1	1	42629
8623	taskitem_hy004	0	1	1	42629
8624	useitem_16yc	1	0	1	42423
8625	useitem_003hy	1	0	1	42637
8626	useitem_004hy	1	0	1	42637
8627	taskitem_040cc	1	1	1	42065
8628	taskitem_x039	1	0	1	42175
8629	taskitem_x032	0	1	1	42213
8630	taskitem_x033	0	1	1	42213
8632	taskitem_x023	0	1	1	42140
8001	taskitem_w135	1	0	1	42015
8633	task_jy_42018	1	0	1	
8634	taskitem_yl086	1	1	3	42008
8635	taskitem_yl080	1	0	4	42004
