STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
9000	taskitem_w001	1	0	1	46001
9001	useitem_1w	1	0	1	46027
9002	taskitem_w006	0	1	1	
9003	useitem_2w	1	0	1	46039
9004	taskitem_w007	1	0	1	46040
9005	useitem_4w	1	0	1	
9006	taskitem_w008	1	0	1	46051
9007	useitem_5w	1	0	1	46060
9008	taskitem_w110	1	0	1	46077
9009	useitem_6w	1	0	1	46102
9010	taskitem_w115	0	1	1	46102
9011	useitem_7w	1	0	1	46110
9012	taskitem_w118	1	0	1	46131
9013	taskitem_w120	1	0	1	46166
9014	taskitem_w120	0	1	1	46166
9015	taskitem_w120	1	0	1	46168
9016	taskitem_w120	0	1	1	46168
9017	taskitem_w120	1	0	1	46169
9018	taskitem_w121	1	0	1	46177
9019	useitem_8w	1	0	1	46181
9020	taskitem_w123	1	0	1	46187
9021	useitem_9w	1	0	1	46240
9022	taskitem_w130	1	0	1	46246
9023	taskitem_w130	0	1	1	46246
9024	taskitem_w130	1	0	1	46247
9025	taskitem_w130	0	1	1	46247
9026	taskitem_w131	1	0	2	46251
9027	taskitem_w132	1	0	1	46254
9028	taskitem_w134	0	1	6	
9029	useitem_12w	1	0	1	46267
9201					
9202	useitem_2yc	1	0	1	46328
9203	useitem_3yc	1	0	1	46328
9204	taskitem_yc006	1	1	1	46334
9205	taskitem_yc005	0	0	1	
9206	taskitem_yc005	0	1	1	46321
9207	taskitem_yc010	1	1	1	46384
9208	taskitem_yc007	0	1	1	46350
9209	useitem_4yc	0	1	1	46344
9210	taskitem_yc014	1	0	1	46393
9211	taskitem_yc015	1	1	1	46424
9212	taskitem_yc016	0	1	1	46475
9213	useitem_9yc	1	0	1	46443
9214	useitem_7yc	1	0	1	46457
9215	taskitem_yc017	1	1	1	46448
9216	useitem_10yc	1	0	1	46500
9217	useitem_11yc	1	0	1	
9218	useitem_12yc	1	0	1	
9219	taskitem_w006	1	0	1	
9220	taskitem_022cyh	0	1	1	
9221					
9222					
9223					
9224					
9225					
9226					
9227					
9228					
9229					
9230					
9231					
9232					
9233					
9234					
9235					
9236					
9237					
9238					
9239					
9240					
9241					
9242					
9243					
9244					
9245					
9246					
9247					
9248					
9249					
9250					
9251					
9252					
9253					
9254					
9255					
9256					
9257					
9258					
9259					
9260					
9261					
9262					
9263					
9264					
9265					
9266					
9267					
9268					
9269					
9270					
9271					
9272					
9273					
9274					
9275					
9276					
9277					
9278	taskitem_024cyh	1	1	1	46046
9279	useitem_3w	1	0	1	46039
