STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
3001	taskitem_296	1	0	1	
3002	taskitem_359	0	1	1	
3003	useitem_1g	0	1	1	
3004	taskitem_hy081	1	0	1	
3005	taskitem_372	0	1	1	
3006	taskitem_372	1	0	1	
3007	taskitem_368	1	0	1	
3008	useitem_11b	1	0	1	
3009	useitem_5b	1	0	1	
3010	useitem_12b	1	0	1	
3011	useitem_1j	1	1	1	38054
3012	useitem_2j	1	0	1	38056
3013	useitem_3j	1	0	1	38060
3014	taskitem_36g	0	1	1	38293
3015	taskitem_2j	1	0	1	38081
3016	useitem_4j	1	1	1	38081
3017	useitem_5j	1	0	1	
3018	taskitem_14b	1	1	1	38103
3019	taskitem_14b	1	1	1	38104
3020	useitem_3g	1	1	1	38296
3021	taskitem_15b	1	1	1	38107
3022	taskitem_23b	1	0	1	38111
3023	taskitem_18b	1	1	1	38116
3024	useitem_10b	1	0	1	38120
3025	taskitem_20b	1	0	1	38123
3026	useitem_36b	1	0	1	38141
3027	taskitem_379	1	1	1	38145
3028	taskitem_381	1	0	1	38152
3029	taskitem_383	1	0	1	38160
3030	taskitem_385	1	0	1	38163
3031	taskitem_388	1	0	1	38185
3032	taskitem_396	1	1	1	38239
3033	taskitem_1g	2	0	2	38261
3034	taskitem_2g	1	1	1	38271
3035	taskitem_3g	1	1	1	38271
3036	taskitem_2g	1	0	1	38274
3037	taskitem_3g	1	0	1	38274
3038	taskitem_353	1	1	1	38274
3039	useitem_1g	0	1	1	38277
3040	useitem_1g	1	1	1	38279
3041	useitem_2g	1	1	1	38279
3042	useitem_1g	1	1	1	38280
3043	useitem_2g	1	1	1	38280
3044	useitem_2g	1	0	1	38281
3045	useitem_1g	1	0	1	38282
3046	useitem_5g	1	1	1	38324
3047	taskitem_6g	0	1	1	38300
3048	useitem_4g	1	0	1	38304
3049	taskitem_15g	1	0	1	38307
3050	useitem_7g	1	1	1	38307
3051	taskitem_8d	0	1	1	38507
3052	taskitem_4g	0	1	1	38318
3053	useitem_5g	0	1	1	38321
3054	taskitem_4d	0	1	1	38498
3055	useitem_6g	1	0	1	38334
3056	taskitem_42j	0	1	1	38463
3057	taskitem_43j	0	1	3	38470
3058	taskitem_397	1	0	1	
3059	taskitem_408	1	0	1	38343
3060	useitem_6b	1	0	1	38359
3061	taskitem_419	1	0	1	38361
3062	useitem_2b	1	0	1	38362
3063	useitem_1b	1	0	1	38367
3064	taskitem_41j	1	0	1	38369
3065	taskitem_401	1	1	1	38389
3066	taskitem_409	1	1	1	38389
3067	taskitem_398	1	1	1	38410
3068	taskitem_402	1	1	1	38420
3069	useitem_3b	1	0	1	38425
3070	taskitem_405	0	1	1	38430
3071	taskitem_6e	1	1	1	38433
3072	taskitem_5e	1	1	1	38433
3073	taskitem_6e	1	1	1	38447
3074	taskitem_8e	1	1	1	38447
3075	taskitem_2e	1	1	1	38453
3076	useitem_1d	1	0	1	38497
3077	taskitem_4d	1	1	1	38500
3078	taskitem_7d	1	1	1	38504
3079	useitem_2d	1	0	1	38506
3080	taskitem_8d	1	1	1	38508
3081	taskitem_13d	1	0	3	38513
3082	taskitem_11d	1	1	1	38520
3083	taskitem_12d	1	1	1	38525
3084	taskitem_14d	1	1	1	38528
3085	taskitem_1h	1	1	1	38530
3086	useitem_1h	1	0	1	38532
3087	useitem_2h	1	1	1	38534
3088	useitem_4h	1	0	1	38543
3089	taskitem_2h	1	1	1	38547
3090	useitem_7h	1	0	1	38561
3091	taskitem_3h	1	1	1	38569
3092	taskitem_313	1	0	4	38536
3093	taskitem_19	1	0	4	38539
3094	useitem_3h	1	0	1	38546
3095	taskitem_1g	1	1	1	
3096	taskitem_40e	1	1	1	
3097	taskitem_353	0	1	1	
3098	taskitem_11g	1	0	1	38326
3099	taskitem_11g	0	1	1	38327
3100	taskitem_11g	1	0	1	38328
3101	useitem_5g	1	1	1	38332
3102	taskitem_44j	1	0	1	38474
3103	taskitem_19b	0	1	1	38118
3104	taskitem_93	0	1	1	38532
3105	taskitem_yl055	1	0	4	
3106	taskitem_7j	1	1	1	38083
3107	useitem_117m	1	0	1	38068
3108	taskitem_yl064	0	1	1	38060
3109	taskitem_yl066	0	1	1	38068
3110	taskitem_1j	0	1	1	38081
3111	taskitem_9k	0	1	1	38060
3112	useitem_119m	1	0	1	38011
3113	taskitem_372	0	1	1	38028
3114	taskitem_yl072	0	1	1	38011
3115					
3116					
3117					
3118					
3119					
