STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
4500	taskitem_yl160	1	0	1	45510
4501	taskitem_yl161	1	1	1	45510
4502	ore_1007	0	1	4	
4503	yaopin10253	0	1	50	
4504	yaopin90006	0	1	80	
4505	cropper_60005	0	1	6	
4506	yrxs_box_1	1	0	1	
4507	taskitem_yl162	0	1	1	
4508	taskitem_yl163	0	1	1	
4509	item_yirong_07	0	1	1	
4510	item_yirong_08	0	1	1	
4511	taskitem_yl166	0	1	1	
4512	item_yirong_05	0	1	50	
4513	item_yirong_12	0	1	1	
4514	item_yirong_10	0	1	1	
4515	item_yirong_09	0	1	1	
4516	duyao10291	0	1	100	
4517	duyao10194	0	1	5	
4518	caiyao10197	0	1	20	
4519	taskitem_wy_sl		1	1	45538
4520	taskitem_wy_em		1	1	45539
4521	taskitem_wy_wd		1	1	45540
4522	taskitem_wy_gb		1	1	45541
4523	taskitem_wy_tm		1	1	45542
4524	taskitem_wy_jl		1	1	45543
4525	taskitem_wy_jy		1	1	45544
4526	taskitem_wy_jz		1	1	45545
4527	item_yxd_1	1	0	1	
4528	xsll_box_1	1	0	1	
4529	taskitem_yl182	1	0	1	
4530	taskitem_yl182	1	0	1	
4531	taskitem_yl182	1	0	1	
4532	taskitem_yl182	1	0	1	
4533	taskitem_yl182	1	0	1	
4534	taskitem_yl182	1	0	1	
4535	taskitem_yl182	1	0	1	
4536	taskitem_yl182	1	0	1	
4537	taskitem_xiashan_01	1	0	1	45559
4538	taskitem_xiashan_01	1	0	1	45561
4539	taskitem_xiashan_01	1	0	1	45563
4551					
4540	taskitem_xiashan_01	1	0	1	45565
4541	taskitem_xiashan_01	1	0	1	45567
4542	taskitem_xiashan_01	1	0	1	45569
4543	taskitem_xiashan_01	1	0	1	45571
4544	taskitem_xiashan_01	1	0	1	45573
4545	taskitem_panshi_01	1	0	1	45551
4546	taskitem_panshi_01	1	0	1	45552
4547	taskitem_panshi_01	1	0	1	45553
4548	taskitem_panshi_01	1	0	1	45554
4549	taskitem_panshi_01	1	0	1	45555
4550	taskitem_panshi_01	1	0	1	45556
4552	taskitem_panshi_01	1	0	1	45558
4553	taskitem_wy_mj		1	1	45578
4554	taskitem_guj_ts		1	1	45598
