STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
60001	hd_dw_2015_a	1	0	1	
60002	hd_dw_2015_b	1	0	1	
60003	hd_dw_2015_c	1	0	1	
60004	hd_dw_2015_d	1	0	1	
60005	hd_dw_2015_e	1	0	1	
60006	hd_dw_2015_f	1	0	1	
60007	item_wjd_wjd_003	1	0	1	70500
60008	item_wjd_wjd_001	0	1	1	70504
60009	item_wjd_wjd_002	0	1	1	70504
60010	item_wjd_wjd_003	0	1	1	70517
60011	item_guj_sdhd_xnzf_renwu001	1	0	1	70070
60012	item_yd_jl_005	1	0	4	70146
60013	item_yd_jl_005	1	0	1	70072
60014	item_yd_jl_005	1	0	1	70073
60015	item_yd_jl_005	1	0	1	70074
60016	useitem_lzy_huodong_ergjb	1	0	1	70401
60018	item_guj_sdhd_xnzf_renwu002	1	0	1	70405
60017	item2017_4yzytsl_002	1	0	3	70087
60019	useitem_hd_201751_001	1	0	3	70089
60020	useitem_hd_201751_002	1	0	3	70092
60021	taskitem_hd_201751_003	0	1	3	70092
60022	item_guj_sdhd_xnzf_renwu003	1	0	1	70126
60023	item_guj_sdhd_xnzf_renwu004	1	0	1	70145
60024	item_guj_sdhd_xnzf_renwu005	1	0	1	70157
60025	item_guj_sdhd_xnzf_renwu006	1	0	1	70185
60026	item_guj_sdhd_xnzf_renwu007	1	0	1	70187
60027	useitem_20190318_fc_001	1	0	1	70520
60028	taskitem_xinge_fc_001	1	0	1	70261
