STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
10500	useitem_shenjia_001	1	1	1	41501
10501	useitem_shenjia_002	1		10	
10502	useitem_shenjia_005	1		1	
10503	useitem_shenjia_006	1		1	
10504	useitem_shenjia_007	1		1	
10505	useitem_shenjia_008	1	0	5	41507
10506	useitem_shenjia_013	1	1	1	41520
10507	useitem_shenjia_011	1		5	
10508	useitem_shenjia_014	1	1	1	
10509	useitem_shenjia_015	1		1	
10510	useitem_shenjia_016	1	1	1	
10511	useitem_shenjia_017	1		1	
10512	item_jzsj_richang_009	1		1	
10513	taskitem_jzsj_018	1		1	
10514	taskitem_jzsj_025	1		2	41536
10515	taskitem_jzsj_026	1	1	1	41534
10516	box_jzsj_task_41537	1		1	
10517	item_jzsj_jz_002	1		1	
10518	useitem_shenjia_029	1	1	1	41717
10818	useitem_shenjia_41542	1		1	41542
10519	useitem_shenjia_030	1	1	1	41718
10520	useitem_shenjia_031	1	1	1	41719
10521	useitem_shenjia_032	1	1	1	41720
10522	taskitem_jzsj_015	1	1	1	
10523	taskitem_jzsj_035	1	1	1	
10524	item_jzsj_richang_010	1		4	41618
10525	Item_nmp_sj007	1	0	1	41647
10526	Item_nmp_sj008	1	0	1	41647
10819	useitem_shenjia_41538	1		1	41538
10820	useitem_shenjia_41514_bangchui	1	0	1	41514
10821	useitem_shenjia_012	1	1	1	41518
