STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
2750	item_nlb_mxm04	0	1	1	21273
2751	item_nlb_ww01	1	0	1	21299
2752	item_nlb_ww02	1	0	1	21300
2753	item_nlb_ww03	1	0	1	21301
2754	item_nlb_ww04	1	0	1	21302
2755	item_nlb_ww05	1	0	1	21303
2756	item_nlb_ww06	1	0	1	21304
2757	item_nlb_ww07	1	0	1	21305
2758	useitem_nlb_dy_lz	1	0	1	21354
2759	useitem_nlb_dy_lz	0	1	1	21354
2760	item_nlb_ww26	1	0	1	21323
2761	item_nlb_mxm01	0	1	1	21261
2762	item_nlb_mxm02	0	1	1	21262
2763	item_nlb_mxm04	1	0	1	21273
2764	item_nlb_hhrm_lh_01	0	1	1	
2765	item_nlb_dy_zw	0	1	10	21354
2766	item_nlbhh_hp01	0	1	1	21350
