STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
14501	item_wxj_zlcy_007	1	0	1	30002
14502	item_wxj_jgjz_003	1	0	1	30001
14503	item_wxj_dg_001	1	0	1	30031
14504	item_wxj_dg_007	0	1	1	30031
14505	item_wxj_ttlz_001	1	1	1	30004
14506	item_wxj_ttlz_003	1	1	1	30006
14507	item_wxj_ttlz_004	1	1	1	30007
14508	item_wxj_ttlz_005	1	1	1	30008
14509	item_wxj_ttlz_006	1	1	1	30009
14510	item_wxj_ttlz_007	1	1	1	30010
14511	item_wxj_ttlz_002	1	1	1	30005
14512	item_wuxianjiao_rumen_xiezi	1	0	1	30125
14513	item_wuxianjiao_rumen_she	1	0	1	30125
14514	item_wuxianjiao_rumen_hama	1	0	1	30125
14515	item_wuxianjiao_rumen_zhizhu	1	0	1	30125
14516	item_wuxianjiao_rumen_wugong	1	0	1	30125
14517	item_wxj_dg_003	1	0	1	30038
14519	item_wxj_jgjz_002	0	0	3	30001
14520	item_wxj_dg_005	0	1	1	30032
14521	item_wxj_dg_005	1	0	1	30031
14522	item_wxj_dg_002	1	0	2	30033
14523	item_wxj_dg_006	1	0	2	30034
14525	item_wxj_zyb_004	1	0	1	30208
14526	item_feedinsect_005a	1	0	1	30037
