STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	IsBind	TaskID
3400	useitem_xjz_004	1	1	1		38804
3401	useitem_xjz_005	1	1	1		38804
3402	useitem_xjz_006	1	1	1		38804
3404	taskitem_xjz_015	1	0	1		38866
3405	taskitem_xjz_016	1	0	1		38866
3406	taskitem_xjz_017	1	0	1		38866
3403	taskitem_xjz_014	1	0	1		38864
3407						
3408	taskitem_xjz_018	1	0	1		38872
3409	taskitem_xjz_018	0	1	1		38894
3410	item_revise_name	1	1	1	1	
3411	useitem_xjz_009	1	1	1		38915
3412	useitem_xjz_010	1	1	1		38915
3414	useitem_xjz_003	1	0	1		38803
3415	useitem_xjz_002	0	1	1		38820
3416	taskitem_xjz_002	1		1	1	38930
3417	taskitem_xjz_003	1		1		38930
3418	taskitem_xjz_004	1		1		38930
3419	taskitem_xjz_005	1		1		38930
3500	item_xjz_zc001	1	0	50		38801
3501	item_xjz_zc002	0	1	1		38801
