STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
29600	taskitem_20sl	1	0	1	
29601	taskitem_77sl	1	0	1	84174
29602	taskitem_32sl	1	0	1	
29603	taskitem_162sl	1	0	1	84183
29604	taskitem_23sl	1	0	1	
29605	taskitem_36sl	1	0	1	
29606	taskitem_208sl	1	0	1	84213
29607	taskitem_209sl	1	0	1	84213
29608	taskitem_210sl	0	1	1	
29609	taskitem_hs74	1	1	1	
29610	taskitem_hs74	1	1	1	
29611	taskitem_hs74	1	0	1	
29612	taskitem_100a	1	0	1	
29613	taskitem_100a	1	0	1	
29614	taskitem_356	1	1	1	
29615	taskitem_55b	1	1	1	
29616	taskitem17001	1	0	1	
29617	useitem_49a	1	0	1	
29618	useitem_48a	1	0	1	
29619	taskitem_001cyh	1	0	1	
