STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
30675	taskitem_121y	1	0	1	84466
30676		1	1	1	
30677		1	1	1	
30678		1	1	1	
30679		1	1	1	
30680		1	1	1	
30681		1	1	1	
30682		1	1	1	
30683		1	1	1	
30684		1	1	1	
30685		1	1	1	
30686		1	1	1	
30687		1	1	1	
30688		1	1	1	
30689		1	1	1	
30690		1	1	1	
30691		1	1	1	
30692		1	1	1	
30693		1	1	1	
30694		1	1	1	
30695		1	1	1	
30696		1	1	1	
30697		1	1	1	
30698		1	1	1	
30699		1	1	1	
30700		1	1	1	
30701		1	1	1	
30702		1	1	1	
30703		1	1	1	
30704		1	1	1	
30705		1	1	1	
30706		1	1	1	
30707		1	1	1	
30708		1	1	1	
30709		1	1	1	
30710		1	1	1	
30711		1	1	1	
30712		1	1	1	
30713		1	1	1	
30714		1	1	1	
30715		1	1	1	
30716		1	1	1	
30717		1	1	1	
