STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
39700		1	1	1	
39701		1	1	1	
39702		1	1	1	
39703		1	1	1	
39704		1	1	1	
39705		1	1	1	
39706		1	1	1	
39707		1	1	1	
39708		1	1	1	
39709		1	1	1	
39710		1	1	1	
39711		1	1	1	
39712		1	1	1	
39713		1	1	1	
39714		1	1	1	
39715		1	1	1	
39716		1	1	1	
39717		1	1	1	
39718		1	1	1	
39719		1	1	1	
39720		1	1	1	
39721		1	1	1	
39722		1	1	1	
39723		1	1	1	
39724		1	1	1	
39725		1	1	1	
39726		1	1	1	
39727		1	1	1	
39728		1	1	1	
39729		1	1	1	
39730		1	1	1	
39731		1	1	1	
39732		1	1	1	
39733		1	1	1	
39734		1	1	1	
39735		1	1	1	
39736		1	1	1	
39737		1	1	1	
39738		1	1	1	
39739		1	1	1	
39740		1	1	1	
39741		1	1	1	
39742		1	1	1	
