STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
37600	taskitem_224m	1	0	1	82450
37601	taskitem_233m	1	0	1	82472
37602	taskitem_244m	1	0	1	82473
37603	taskitem_234m	1	0	1	82474
37604	taskitem_235m	1	0	1	82475
37605	taskitem_236m	0	1	1	82476
37606	taskitem_237m	1	0	1	82478
37607	useitem_71m	1	0	1	82483
37608	useitem_72m	1	0	1	82486
37609	useitem_73m	1	0	1	82488
37610	taskitem_245m	1	0	1	82490
37611	useitem_70m	1	0	1	82455
37612	taskitem_225m	0	1	1	82451
37613	taskitem_243m	0	1	1	82487
