STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
11080	taskitem_p075	1	1	1	28200
11081	taskitem_p086	1	1	1	28229
11082	useitem_040p	1	0	1	28258
11083	taskitem_p095	1	0	1	28271
11084	taskitem_p096	1	0	1	28275
11085	taskitem_p097	1	0	1	28297
11086	taskitem_p100	1	0	1	28331
11087	taskitem_p098	0	1	1	28334
11088	taskitem_p094	1	0	1	28260
11089	taskitem_p092	0	1	1	28277
11090	taskitem_p093	0	1	1	28277
11091	taskitem_p094	0	1	1	28277
11092	taskitem_p095	0	1	1	28277
11093	taskitem_p096	0	1	1	28277
