STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
73304	item_sjy_zcgw	1		1	
73307	item_sjy_zclsy	1	1	1	
73306	item_sjy_zcxz	0	1	1	
73301	item_sjy_zcgw	1		1	73301;73302;73303;73304;73306;73307;73309
73309	item_sjy_zcsb	1	1	1	
73201	item_sjyzyb_002	1	0	1	73206
73400	useitem_lzy_sjyrc001	1	1	1	73403
73401	useitem_lzy_sjyrc002	1	1	1	73403
73402	useitem_lzy_sjyrc003	1	1	1	73403
73403	useitem_lzy_sjyrc004	0	0	1	73403
73202	item_jqsjy_zyb005	0	1	1	73216
73203	item_jqsjy_zyb006	0	1	1	73216
