STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemID	ProCount	AddPro	TrackInfoID	DeleteSelf	LockTarget	Radius	SceneID	Water	AddItems	DeleteItems	TargetConfig	TaskID
8005	useitem_5y	1	1	useiteminfo_8005	1	1	50	8	0			WorldNpc03925	
8007	useitem_7y	1	1	useiteminfo_8007	0	1	5	8	0	taskitem_15y		ItemNpc02803	48063
8009	useitem_9y	1	1	useiteminfo_8009	1	1	5	8	0			WorldNpc03833	48138
8010	useitem_10y	1	1	useiteminfo_8010	1	1	5	8	0			ItemNpc02805	48148
8011	useitem_11y	1	1	useiteminfo_8011	1	1	5	17	0			WorldNpc09815	48164
8013	useitem_13y	1	1	useiteminfo_8013	1	1	5	8	0			WorldNpc03811	48180
8014	useitem_14y	1	1	useiteminfo_8014	1	1	5	24	0			WorldNpc05105	48096
8015	useitem_15y	1	1	useiteminfo_8015	1	1	5	24	0			WorldNpc05105	48112
8016	useitem_16y	1	1	useiteminfo_8016	1	1	5	8	0			WorldNpc04008	48206
8017	useitem_17y	1	1	useiteminfo_8017	1	1	5	8	0			WorldNpc04008	48210
8018	useitem_18y	1	1	useiteminfo_8018	1	1	5	8	0			ItemNpc02809	48235
8019	useitem_19y	1	1	useiteminfo_8019	1	1	5	8	0			WorldNpc03834	48240
8021	useitem_21y	1	1	useiteminfo_8021	1	0	0		0				48274
8022	useitem_22y	1	1	useiteminfo_8022	1	1	5	14	0			WorldNpc01329	48300
8023	useitem_23y	1	1	useiteminfo_8023	1	0	0		0				48303
8024	useitem_24y	1	1	useiteminfo_8024	1	1	5	14	0			ItemNpc00802	48309
8025	useitem_25y	1	1	useiteminfo_8025	1	1	5	8	0			WorldNpc03816	48318
8027	useitem_27y	1	1	useiteminfo_8027	1	0	0		0				48351
8029	useitem_29y	1	1	useiteminfo_8029	1	0	0	8	0			EventNpc48402	48402
8050	useitem_13m	1	1	useiteminfo_8050	1	1	5	14	0			ItemNpc00803	48423
8051	useitem_14m	1	1	useiteminfo_8051	1	1	5	12	0			WorldNpc00232	48433
8052	useitem_15m	1	1	useiteminfo_8052	1	1	5	12	0			WorldNpc00488	48440
8070	useitem_16m	1	1	useiteminfo_8070	1	1	5	9	0			WorldNpc02430	48482
8071	useitem_17m	1	1	useiteminfo_8071_1	1	1	5	8	0			WorldNpc03807	48494
8072	useitem_18m	1	1	useiteminfo_8072_2	1	1	5	8	0			WorldNpc03807	48494
8073	useitem_31y	1	1	useiteminfo_8073	1	0	0		0				48534
8074	useitem_32y	1	1	useiteminfo_8074	1	1	5	21	0			WorldNpc05814	48544
8075	useitem_33y	1	1	useiteminfo_8075_1	1	1	5	21	0			ItemNpc04006	48555
8076	useitem_34y	1	1	useiteminfo_8076_2	1	1	5	21	0			ItemNpc04006	48555
8077	useitem_35y	1	1	useiteminfo_8077_3	1	1	5	21	0	taskitem_82y		ItemNpc04006	48555
8008	useitem_8y	1	1	useiteminfo_8008	0	1	5	8	0			WorldNpc03928	48067
8006	useitem_6y	1	1	useiteminfo_8006	1	0	5	8	0	taskitem_14y		Event48058	48058
8004	useitem_4y	1	1	useiteminfo_8004	1	1	50	8	0			WorldNpc03925	48045
8012	useitem_12y	1	1	useiteminfo_8012	1	1	50	8	0			WorldNpc03811	48172
8020	useitem_20y	1	1	useiteminfo_8020	1	0	5	2	0			WorldNpc09305	48249
8026	useitem_26y	1	1	useiteminfo_8026	0	0	5	7	0			EventNpc48335	48335
8028	useitem_28y	1	1	useiteminfo_8028	1	1	5	3	0			WorldNpc00699	48372
8030	useitem_30y	1	1	useiteminfo_8030	1	1	50	8	0			WorldNpc03825	48415
8002	useitem_2y	1	1	useiteminfo_8002	1	1	50	8	0			WorldNpc03856	
8078	useitem_112m	1	1	useiteminfo_8078	1		20	8	0	useitem_113m			48019
8082	useitem_115m	1	1	useiteminfo_8082	1		20	8	0				48027
8079	useitem_113m	1	1	useiteminfo_8079	1	1	20	8	0			WorldNpc03847	48019
8080	useitem_110m	1	1	useiteminfo_8080	1		20	8	0				48018
8081	useitem_111m	1	1	useiteminfo_8081			20	8	0				48020
8003	useitem_3y	1	1	useiteminfo_8003	1	1	50	8	0			WorldNpc03810	
8084	useitem_114m	1	1	useiteminfo_8084	1	1	20	8	0			WorldNpc03810	48032
8001	useitem_1y	1	1	useiteminfo_8001	1	1	20	8	0			JlgNpc033	
8087	useitem_009mm	1	1	useiteminfo_8087	1		3	8					48009
8085	useitem_007mm	1	1	useiteminfo_8085	1			8					48008
8086	useitem_008mm	1	1	useiteminfo_8086	1			8					48008
8088	task_jl_48017	1	1	useiteminfo_8088				8					
8083	useitem_116m	1	1	useiteminfo_8083	1	1	5	8	0			JlgNpc198	48030
