STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemID	ProCount	AddPro	TrackInfoID	DeleteSelf	LockTarget	Radius	SceneID	Water	AddItems	DeleteItems	TargetConfig	TaskID	BufferID
80501	useitem_4nei_mx	1	1	useiteminfo_80501	1			11	0	item_4nei_mxdk			55511	
80502	useitem_4nei_xiangzi	1	1	useiteminfo_80502	1		10	11	0			Event_4nei_wd_yc	55505	buff_4nei_wudang_yincang
80506	useitem_5nei_z2_ywt	1	1	useiteminfo_80506	1			17	0				55569	buf_5nei_z2_bg
80505	useitem_5nei_z2_hx	1	1	useiteminfo_80505	1	1	5	17	0			cd353	55566	buf_5nei_z2_huax
80507	useitem_5nei_z2_ct	1	1	useiteminfo_80507			10	14	0			Event_5nei_z2_55573	55573	
80508	useitem_5nei_z2_ct	1	1	useiteminfo_80508			10	14	0			Event_5nei_z2_55573a	55573	
80509	useitem_5nei_z2_ct	1	1	useiteminfo_80509	1		10	14	0	item_5nei_z2_yq		Event_5nei_z2_55573b	55573	
80503	useitem_4nei_gh	1	1	useiteminfo_80503				16	0				55521	
80504	useitem_5nei_z2_zh	1	1	useiteminfo_80504			5	15	0			Event_5nei_z2_55565		buf_5nei_z2_55565
80510	useitem_yxhd_dy_01	1	1	useiteminfo_80510			5	14	0			yxhd_dy_chz	55580	buf_yxhd_dy_hj
80511	useitem_ycsy_dy_01	3	1	useiteminfo_80511			3	14				ycsy_dy_hua	55581	
80512	useitem_ycsy_dy_02	3	1	useiteminfo_80512			3	14				ycsy_dy_hua	55581	
80523	useitem_ssfnpc_dy_01	5	1	useiteminfo_80523		1	10	633				NPC_ssfnpc_dy_01		buf_ssf_dy_11
80524	useitem_ssfnpc_dy_01	5	1	useiteminfo_80524		1	10	633				NPC_ssfnpc_dy_02		buf_ssf_dy_11
80525	useitem_ssfnpc_dy_01	5	1	useiteminfo_80525		1	10	633				NPC_ssfnpc_dy_03		buf_ssf_dy_11
80526	useitem_ssfnpc_dy_01	5	1	useiteminfo_80526		1	10	633				NPC_ssfnpc_dy_04		buf_ssf_dy_11
80527	useitem_ssfnpc_dy_01	5	1	useiteminfo_80527		1	10	633				NPC_ssfnpc_dy_05		buf_ssf_dy_11
80528	useitem_ssfnpc_dy_01	5	1	useiteminfo_80528		1	10	633				NPC_ssfnpc_dy_06		buf_ssf_dy_11
80529	useitem_ssfnpc_dy_01	5	1	useiteminfo_80529		1	10	633				NPC_ssfnpc_dy_07		buf_ssf_dy_11
80530	useitem_ssfnpc_dy_01	5	1	useiteminfo_80530		1	10	633				NPC_ssfnpc_dy_08		buf_ssf_dy_11
