STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemID	ProCount	AddPro	TrackInfoID	DeleteSelf	LockTarget	Radius	SceneID	Water	AddItems	DeleteItems	TargetConfig	TaskID	BuffID
15261														
15252	UseItem_gmp_001	1	1	useiteminfo_15252	1	1	4	541				newmp_gumu_001		
15251	UseItem_gmp_002	1	1	useiteminfo_15251	1		10	541				Event_gmp_001		
15253	useitem_gmp_gj001	1	1	useiteminfo_15253		0	4	541	0			Event_gmp_006		
15254	useitem_gmp_gj002	1	1	useiteminfo_15254		0	5	541	0			Event_gmp_007		
15255	useitem_gmp_gj003	1	1	useiteminfo_15255		0	5	541	0			Event_gmp_008		
15256	useitem_gmp_gj004	1	1	useiteminfo_15256	1			541	0					
15257	useitem_gmp_gj005	1	1	useiteminfo_15257	1			541	0					
15258	useitem_gmp_gj006	1	1	useiteminfo_15258		1	4	541	0			newmp_gumu_rc010		
15259	useitem_gmp_gj007	1	1	useiteminfo_15259		1	4	541	0			newmp_gumu_rc011		
15260	useitem_gmp_gj008	1	1	useiteminfo_15260			4	13	0			Event_gmp_009		
15262						0	3							
15355	item_yinshibapai_qiyu_007a	1	1	useiteminfo_15355	1		5	14				newschool_rumen_qiyu_010		
15263	itm_gmp_shuitong	1	1	useiteminfo_15263	1	1	3	541	0			gmp_flowers		
