STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemID	ProCount	AddPro	TrackInfoID	DeleteSelf	LockTarget	Radius	SceneID	Water	AddItems	DeleteItems	TargetConfig	TaskID	BufferID
15506	item_xdm_010	1	1	useiteminfo_15506	1	1		2	0			npc_xdm_014	20811	
15507	item_xdm_009	1	1	useiteminfo_15507	1		5	2	0			Event_xdm_008	20812	
15571	xdm_tl_wy001	1	1	useiteminfo_15571	1			552					20893	xuedaomen_tiaoya_shuaxin
15573	xdm_xst_gdj003	1	1	useiteminfo_15573	1			552	1				20898	buff_shuizhi_gdj
15572	xdm_item_gdj001	5	1	useiteminfo_15572				552					20894	
15552	useitem_xdm_dy_xhd	1	1	useiteminfo_15552	1		5	552	0			Event_xdm_dy_20843	20843	buf_xdm_dy_16
15503	items_xdm_kyf_02	3	1	useiteminfo_15503		1		553	0			npc_xdm_kyf_009	20808	buff_kyf_02
15504	items_xdm_kyf_03	5	1	useiteminfo_15504		1		553	0			npc_xdm_kyf_010	20808	buff_kyf_03
15505	item_xdm_006	1	1	useiteminfo_15505	1		5	2	0			Event_xdm_010	20811	
15501	item_xdm_004	1	1	useiteminfo_15501	1	1		15	0			npc_xdm_006	20804	buf_xdm_cc_006
15508	item_xdm_012	1	1	useiteminfo_15508	1	1	3	5	0			npc_xdm_019	20814	
15502	items_xdm_kyf_01	1	1	useiteminfo_15502	1	1		13	0			npc_xdm_kyf_008		
15551	useitem_xdm_dy_xd	1	1	useiteminfo_15551	1		10	552	0			Event_xdm_dy_20833b		
15574	item_xdm_ww04	1	1	useiteminfo_15574	1	1	1	552	0			npc_xdm_ww07	"2,081,720,913"	
15553	useitem_xdm_ww04	1	1	useiteminfo_15553	1	1		552	0			npc_xdm_ww07	20839	
15651	Item_xdm_qy_key005	1	1	useiteminfo_15651	1	1	5	552	0	Item_xdm_qy_key004		npc_xdm_ww07	20962	
