STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemID	ProCount	AddPro	TrackInfoID	DeleteSelf	LockTarget	Radius	SceneID	Water	AddItems	DeleteItems	TargetConfig	TaskID
56782		1	1	useiteminfo_56782	1	1	5	20	0				
56783		1	1	useiteminfo_56783	1	1	5	20	0				
56784		1	1	useiteminfo_56784	1	1	5	20	0				
56785		1	1	useiteminfo_56785	1	1	5	20	0				
56786		1	1	useiteminfo_56786	1	1	5	20	0				
56787		1	1	useiteminfo_56787	1	1	5	20	0				
56788		1	1	useiteminfo_56788	1	1	5	20	0				
56789		1	1	useiteminfo_56789	1	1	5	20	0				
56790		1	1	useiteminfo_56790	1	1	5	20	0				
56791		1	1	useiteminfo_56791	1	1	5	20	0				
56792		1	1	useiteminfo_56792	1	1	5	20	0				
56793		1	1	useiteminfo_56793	1	1	5	20	0				
56794		1	1	useiteminfo_56794	1	1	5	20	0				
56795		1	1	useiteminfo_56795	1	1	5	20	0				
56796		1	1	useiteminfo_56796	1	1	5	20	0				
56797		1	1	useiteminfo_56797	1	1	5	20	0				
56798		1	1	useiteminfo_56798	1	1	5	20	0				
56799		1	1	useiteminfo_56799	1	1	5	20	0				
56800		1	1	useiteminfo_56800	1	1	5	20	0				
56801		1	1	useiteminfo_56801	1	1	5	20	0				
56802		1	1	useiteminfo_56802	1	1	5	20	0				
56803		1	1	useiteminfo_56803	1	1	5	20	0				
56804		1	1	useiteminfo_56804	1	1	5	20	0				
56805		1	1	useiteminfo_56805	1	1	5	20	0				
56806		1	1	useiteminfo_56806	1	1	5	20	0				
56807		1	1	useiteminfo_56807	1	1	5	20	0				
56808		1	1	useiteminfo_56808	1	1	5	20	0				
56809		1	1	useiteminfo_56809	1	1	5	20	0				
56810		1	1	useiteminfo_56810	1	1	5	20	0				
56811		1	1	useiteminfo_56811	1	1	5	20	0				
56812		1	1	useiteminfo_56812	1	1	5	20	0				
56813		1	1	useiteminfo_56813	1	1	5	20	0				
56814		1	1	useiteminfo_56814	1	1	5	20	0				
56815		1	1	useiteminfo_56815	1	1	5	20	0				
56816		1	1	useiteminfo_56816	1	1	5	20	0				
56817		1	1	useiteminfo_56817	1	1	5	20	0				
56818		1	1	useiteminfo_56818	1	1	5	20	0				
56819		1	1	useiteminfo_56819	1	1	5	20	0				
56820		1	1	useiteminfo_56820	1	1	5	20	0				
56821		1	1	useiteminfo_56821	1	1	5	20	0				
56822		1	1	useiteminfo_56822	1	1	5	20	0				
56780	useitem_028hy	1	1	useiteminfo_56780	1	1	5	20	0			WorldNpc06758	
56781	useitem_029hy	1	1	useiteminfo_56781	1	1	5	20	0	taskitem_hy042			
