STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemID	ProCount	AddPro	TrackInfoID	DeleteSelf	LockTarget	Radius	SceneID	Water	AddItems	DeleteItems	TargetConfig	TaskID
50602		1	1	useiteminfo_50602	1	1	5	6	0				
50603		1	1	useiteminfo_50603	1	1	5	6	0				
50604		1	1	useiteminfo_50604	1	1	5	6	0				
50605		1	1	useiteminfo_50605	1	1	5	6	0				
50606		1	1	useiteminfo_50606	1	1	5	6	0				
50607		1	1	useiteminfo_50607	1	1	5	6	0				
50608		1	1	useiteminfo_50608	1	1	5	6	0				
50609		1	1	useiteminfo_50609	1	1	5	6	0				
50610		1	1	useiteminfo_50610	1	1	5	6	0				
50611		1	1	useiteminfo_50611	1	1	5	6	0				
50612		1	1	useiteminfo_50612	1	1	5	6	0				
50613		1	1	useiteminfo_50613	1	1	5	6	0				
50614		1	1	useiteminfo_50614	1	1	5	6	0				
50615		1	1	useiteminfo_50615	1	1	5	6	0				
50616		1	1	useiteminfo_50616	1	1	5	6	0				
50617		1	1	useiteminfo_50617	1	1	5	6	0				
50618		1	1	useiteminfo_50618	1	1	5	6	0				
50619		1	1	useiteminfo_50619	1	1	5	6	0				
50620		1	1	useiteminfo_50620	1	1	5	6	0				
50621		1	1	useiteminfo_50621	1	1	5	6	0				
50622		1	1	useiteminfo_50622	1	1	5	6	0				
50623		1	1	useiteminfo_50623	1	1	5	6	0				
50624		1	1	useiteminfo_50624	1	1	5	6	0				
50625		1	1	useiteminfo_50625	1	1	5	6	0				
50626		1	1	useiteminfo_50626	1	1	5	6	0				
50627		1	1	useiteminfo_50627	1	1	5	6	0				
50628		1	1	useiteminfo_50628	1	1	5	6	0				
50629		1	1	useiteminfo_50629	1	1	5	6	0				
50630		1	1	useiteminfo_50630	1	1	5	6	0				
50631		1	1	useiteminfo_50631	1	1	5	6	0				
50632		1	1	useiteminfo_50632	1	1	5	6	0				
50633		1	1	useiteminfo_50633	1	1	5	6	0				
50634		1	1	useiteminfo_50634	1	1	5	6	0				
50635		1	1	useiteminfo_50635	1	1	5	6	0				
50636		1	1	useiteminfo_50636	1	1	5	6	0				
50637		1	1	useiteminfo_50637	1	1	5	6	0				
50638		1	1	useiteminfo_50638	1	1	5	6	0				
50639		1	1	useiteminfo_50639	1	1	5	6	0				
50640		1	1	useiteminfo_50640	1	1	5	6	0				
50641		1	1	useiteminfo_50641	1	1	5	6	0				
50642		1	1	useiteminfo_50642	1	1	5	6	0				
50600	useitem_2pc	1	1	useiteminfo_50600	1	1	5	6	0			WorldNpc03147	84302
50601	useitem_3pc	1	1	useiteminfo_50601	1	1	5	6	0			WorldNpc03169	
