STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemID	ProCount	AddPro	TrackInfoID	DeleteSelf	LockTarget	Radius	SceneID	Water	AddItems	DeleteItems	TargetConfig	TaskID
46800		1	1	useiteminfo_46800	1	1	5	24	0				
46801		1	1	useiteminfo_46801	1	1	5	24	0				
46802		1	1	useiteminfo_46802	1	1	5	24	0				
46803		1	1	useiteminfo_46803	1	1	5	24	0				
46804		1	1	useiteminfo_46804	1	1	5	24	0				
46805		1	1	useiteminfo_46805	1	1	5	24	0				
46806		1	1	useiteminfo_46806	1	1	5	24	0				
46807		1	1	useiteminfo_46807	1	1	5	24	0				
46808		1	1	useiteminfo_46808	1	1	5	24	0				
46809		1	1	useiteminfo_46809	1	1	5	24	0				
46810		1	1	useiteminfo_46810	1	1	5	24	0				
46811		1	1	useiteminfo_46811	1	1	5	24	0				
46812		1	1	useiteminfo_46812	1	1	5	24	0				
46813		1	1	useiteminfo_46813	1	1	5	24	0				
46814		1	1	useiteminfo_46814	1	1	5	24	0				
46815		1	1	useiteminfo_46815	1	1	5	24	0				
46816		1	1	useiteminfo_46816	1	1	5	24	0				
46817		1	1	useiteminfo_46817	1	1	5	24	0				
46818		1	1	useiteminfo_46818	1	1	5	24	0				
46819		1	1	useiteminfo_46819	1	1	5	24	0				
46820		1	1	useiteminfo_46820	1	1	5	24	0				
46821		1	1	useiteminfo_46821	1	1	5	24	0				
46822		1	1	useiteminfo_46822	1	1	5	24	0				
46823		1	1	useiteminfo_46823	1	1	5	24	0				
46824		1	1	useiteminfo_46824	1	1	5	24	0				
46825		1	1	useiteminfo_46825	1	1	5	24	0				
46826		1	1	useiteminfo_46826	1	1	5	24	0				
46827		1	1	useiteminfo_46827	1	1	5	24	0				
46828		1	1	useiteminfo_46828	1	1	5	24	0				
46829		1	1	useiteminfo_46829	1	1	5	24	0				
46830		1	1	useiteminfo_46830	1	1	5	24	0				
46831		1	1	useiteminfo_46831	1	1	5	24	0				
46832		1	1	useiteminfo_46832	1	1	5	24	0				
46833		1	1	useiteminfo_46833	1	1	5	24	0				
46834		1	1	useiteminfo_46834	1	1	5	24	0				
46835		1	1	useiteminfo_46835	1	1	5	24	0				
46836		1	1	useiteminfo_46836	1	1	5	24	0				
46837		1	1	useiteminfo_46837	1	1	5	24	0				
46838		1	1	useiteminfo_46838	1	1	5	24	0				
46839		1	1	useiteminfo_46839	1	1	5	24	0				
46840		1	1	useiteminfo_46840	1	1	5	24	0				
46841		1	1	useiteminfo_46841	1	1	5	24	0				
46842		1	1	useiteminfo_46842	1	1	5	24	0				
