STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemID	ProCount	AddPro	TrackInfoID	DeleteSelf	LockTarget	Radius	SceneID	Water	AddItems	DeleteItems	TargetConfig	TaskID
41643	useitem_1a	1	1	useiteminfo_41643	1	1	5	11	0			WorldNpc04603	86200
41644	useitem_1a	1	1	useiteminfo_41644	1	1	5	11	0			WorldNpc04603	86201
41645	useitem_1a	1	1	useiteminfo_41645	1	1	5	11	0			WorldNpc04603	86202
41646	useitem_1a	1	1	useiteminfo_41646	1	1	5	11	0			WorldNpc04603	86203
41647	useitem_1a	1	1	useiteminfo_41647	1	1	5	11	0			WorldNpc04603	86204
41648	useitem_1a	1	1	useiteminfo_41648	1	1	5	11	0			WorldNpc04603	86205
41649	useitem_1a	1	1	useiteminfo_41649	1	1	5	11	0			WorldNpc04603	86206
41650	useitem_1a	1	1	useiteminfo_41650	1	1	5	11	0			WorldNpc04603	86207
41651	useitem_1a	1	1	useiteminfo_41651	1	1	5	11	0			WorldNpc04603	86208
41652	useitem_1a	1	1	useiteminfo_41652	1	1	5	11	0			WorldNpc04603	86209
41653	useitem_1a	1	1	useiteminfo_41653	1	1	5	11	0			WorldNpc04603	86210
41654	useitem_1a	1	1	useiteminfo_41654	1	1	5	11	0			WorldNpc04603	86211
41655	useitem_1a	1	1	useiteminfo_41655	1	1	5	11	0			WorldNpc04603	86212
41656	useitem_1a	1	1	useiteminfo_41656	1	1	5	11	0			WorldNpc04603	86213
41657	useitem_1a	1	1	useiteminfo_41657	1	1	5	11	0			WorldNpc04603	86214
41658	useitem_1a	1	1	useiteminfo_41658	1	1	5	11	0			WorldNpc04603	86215
41659	useitem_1a	1	1	useiteminfo_41659	1	1	5	11	0			WorldNpc04603	86216
41660	useitem_1a	1	1	useiteminfo_41660	1	1	5	11	0			WorldNpc04603	86217
41661	useitem_1a	1	1	useiteminfo_41661	1	1	5	11	0			WorldNpc04603	86218
41662	useitem_1a	1	1	useiteminfo_41662	1	1	5	11	0			WorldNpc04603	86219
41663	useitem_1a	1	1	useiteminfo_41663	1	1	5	11	0			WorldNpc04603	86220
41664	useitem_1a	1	1	useiteminfo_41664	1	1	5	11	0			WorldNpc04603	86221
41665	useitem_1a	1	1	useiteminfo_41665	1	1	5	11	0			WorldNpc04603	86222
41666	useitem_1a	1	1	useiteminfo_41666	1	1	5	11	0			WorldNpc04603	86223
41667	useitem_1a	1	1	useiteminfo_41667	1	1	5	11	0			WorldNpc04603	86224
41668	useitem_1a	1	1	useiteminfo_41668	1	1	5	11	0			WorldNpc04603	86225
41669	useitem_1a	1	1	useiteminfo_41669	1	1	5	11	0			WorldNpc04603	86226
41670	useitem_1a	1	1	useiteminfo_41670	1	1	5	11	0			WorldNpc04603	86227
41671	useitem_1a	1	1	useiteminfo_41671	1	1	5	11	0			WorldNpc04603	86228
41672	useitem_1a	1	1	useiteminfo_41672	1	1	5	11	0			WorldNpc04603	86229
41673	useitem_1a	1	1	useiteminfo_41673	1	1	5	11	0			WorldNpc04603	86230
41674	useitem_1a	1	1	useiteminfo_41674	1	1	5	11	0			WorldNpc04603	86231
41675	useitem_1a	1	1	useiteminfo_41675	1	1	5	11	0			WorldNpc04603	86232
41676	useitem_1a	1	1	useiteminfo_41676	1	1	5	11	0			WorldNpc04603	86233
41677	useitem_1a	1	1	useiteminfo_41677	1	1	5	11	0			WorldNpc04603	86234
41678	useitem_1a	1	1	useiteminfo_41678	1	1	5	11	0			WorldNpc04603	86235
41679	useitem_1a	1	1	useiteminfo_41679	1	1	5	11	0			WorldNpc04603	86236
41680	useitem_1a	1	1	useiteminfo_41680	1	1	5	11	0			WorldNpc04603	86237
41681	useitem_1a	1	1	useiteminfo_41681	1	1	5	11	0			WorldNpc04603	86238
41682	useitem_1a	1	1	useiteminfo_41682	1	1	5	11	0			WorldNpc04603	86239
41683	useitem_1a	1	1	useiteminfo_41683	1	1	5	11	0			WorldNpc04603	86240
41684	useitem_1a	1	1	useiteminfo_41684	1	1	5	11	0			WorldNpc04603	86241
41685	useitem_1a	1	1	useiteminfo_41685	1	1	5	11	0			WorldNpc04603	86242
