STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemID	ProCount	AddPro	TrackInfoID	DeleteSelf	LockTarget	Radius	SceneID	Water	AddItems	DeleteItems	TargetConfig	TaskID	ActionID
17006	useitem_35w	1	1	useiteminfo_17006	1			17	0				34101	
17002	useitem_31w	1	1	useiteminfo_17002	1	0	5	17	0			EventNpc34033	34033	
17001	useitem_125m	1	1	useiteminfo_17001	1	1	5	17	0			cd481	34023	ty_bow
17003	useitem_32w	1	1	useiteminfo_17003	1	1	5	3	0			yyz167		
17004	useitem_33w	1	1	useiteminfo_17004	1			3	0					
17005	useitem_34w	1	1	useiteminfo_17005	1	1	5	3	0			yyz172		
17007	useitem_129m	1	1	useiteminfo_17007	1	1	20	16	0			ly766	34048	
17009	useitem_130m	1	1	useiteminfo_17009	1	0	20	16	0			EventNpc34064		
17008	useitem_131m	1	1	useiteminfo_17008	1	1	20	16	0			ly762	34061	ty_kv1_3
